# value_kind: latency_per_step_ms=measured(CUDA event); bytes_analytic,bytes_analytic_w_weight,achieved_bw_GBs,bw_util_pct=derived; model,cell,scope,sm_count,batch,context_len,backend,status=metadata
model,cell,scope,sm_count,batch,context_len,latency_per_step_ms,bytes_analytic,bytes_analytic_w_weight,achieved_bw_GBs,bw_util_pct,backend,status
zamba2,decode_attn,kernel,40,8,8192,4.283008098602295,1879048192,,438.7216061097814,21.93608030548907,sdpa,ok
zamba2,decode_attn,kernel,40,8,32768,17.045791625976562,7516192768,,440.9412559370878,22.04706279685439,sdpa,ok
zamba2,decode_attn,kernel,40,16,512,0.5472639799118042,234881024,,429.191455351863,21.459572767593148,sdpa,ok
zamba2,decode_attn,kernel,40,16,2048,2.0334079265594482,939524096,,462.0440806433201,23.102204032166004,sdpa,ok
zamba2,decode_attn,kernel,40,16,8192,7.981296062469482,3758096384,,470.86292183442845,23.54314609172142,sdpa,ok
zamba2,decode_attn,kernel,40,16,32768,31.754575729370117,15032385536,,473.39273760462805,23.669636880231405,sdpa,ok
zamba2,decode_attn,kernel,40,32,512,1.0875519514083862,469762048,,431.94446701296,21.597223350647997,sdpa,ok
zamba2,decode_attn,kernel,40,32,2048,4.059967994689941,1879048192,,462.823400198627,23.14117000993135,sdpa,ok
zamba2,decode_attn,kernel,40,32,8192,15.947680473327637,7516192768,,471.30319550675534,23.56515977533777,sdpa,ok
zamba2,decode_attn,kernel,40,32,32768,63.463134765625,30064771072,,473.73599150171,23.686799575085498,sdpa,ok
zamba2,decode_attn,kernel,54,1,512,0.03807999938726425,14680064,,385.5058885560199,19.275294427800997,sdpa,ok
zamba2,decode_attn,kernel,54,1,2048,0.09499199688434601,58720256,,618.160033749924,30.9080016874962,sdpa,ok
zamba2,decode_attn,kernel,54,1,8192,0.273936003446579,234881024,,857.4302794988567,42.871513974942836,sdpa,ok
zamba2,decode_attn,kernel,54,1,32768,0.9860799908638,939524096,,952.7868983295996,47.63934491647998,sdpa,ok
zamba2,decode_attn,kernel,54,4,512,0.10011199861764908,58720256,,586.545636994685,29.32728184973425,sdpa,ok
zamba2,decode_attn,kernel,54,4,2048,0.27852800488471985,234881024,,843.2941028576823,42.16470514288412,sdpa,ok
zamba2,decode_attn,kernel,54,4,8192,0.9914399981498718,939524096,,947.6358607210198,47.38179303605099,sdpa,ok
zamba2,decode_attn,kernel,54,4,32768,3.8419039249420166,3758096384,,978.1859352603979,48.909296763019896,sdpa,ok
zamba2,decode_attn,kernel,54,8,512,0.2136159986257553,117440512,,549.7739530537223,27.488697652686113,sdpa,ok
zamba2,decode_attn,kernel,54,8,2048,0.784991979598999,469762048,,598.4291052756624,29.92145526378312,sdpa,ok
zamba2,decode_attn,kernel,54,8,8192,3.073967933654785,1879048192,,611.2777467284478,30.56388733642239,sdpa,ok
zamba2,decode_attn,kernel,54,8,32768,12.226544380187988,7516192768,,614.7438339306494,30.737191696532474,sdpa,ok
zamba2,decode_attn,kernel,54,16,512,0.4212000072002411,234881024,,557.6472459278381,27.882362296391904,sdpa,ok
zamba2,decode_attn,kernel,54,16,2048,1.5618879795074463,939524096,,601.5310370057949,30.076551850289746,sdpa,ok
zamba2,decode_attn,kernel,54,16,8192,6.123104095458984,3758096384,,613.7567360298641,30.687836801493205,sdpa,ok
zamba2,decode_attn,kernel,54,16,32768,24.369583129882812,15032385536,,616.8503357600227,30.84251678800114,sdpa,ok
zamba2,decode_attn,kernel,54,32,512,0.8000800013542175,469762048,,587.1438446216372,29.357192231081857,sdpa,ok
zamba2,decode_attn,kernel,54,32,2048,2.9755361080169678,1879048192,,631.4990387571814,31.57495193785907,sdpa,ok
zamba2,decode_attn,kernel,54,32,8192,11.688672065734863,7516192768,,643.0322217725303,32.15161108862652,sdpa,ok
zamba2,decode_attn,kernel,54,32,32768,46.49311828613281,30064771072,,646.649916810747,32.33249584053735,sdpa,ok
zamba2,decode_attn,kernel,68,1,512,0.029519999399781227,14680064,,497.2921510326587,24.864607551632933,sdpa,ok
zamba2,decode_attn,kernel,68,1,2048,0.07648000121116638,58720256,,767.78576189963,38.3892880949815,sdpa,ok
zamba2,decode_attn,kernel,68,1,8192,0.2117599993944168,234881024,,1109.1850428395533,55.459252141977665,sdpa,ok
zamba2,decode_attn,kernel,68,1,32768,0.7484800219535828,939524096,,1255.2427164959986,62.76213582479993,sdpa,ok
zamba2,decode_attn,kernel,68,4,512,0.08376000076532364,58720256,,701.0536707672762,35.05268353836381,sdpa,ok
zamba2,decode_attn,kernel,68,4,2048,0.21881599724292755,234881024,,1073.4179719924095,53.67089859962048,sdpa,ok
zamba2,decode_attn,kernel,68,4,8192,0.7544320225715637,939524096,,1245.3396301995901,62.2669815099795,sdpa,ok
zamba2,decode_attn,kernel,68,4,32768,2.9042720794677734,3758096384,,1293.9890895789265,64.69945447894632,sdpa,ok
zamba2,decode_attn,kernel,68,8,512,0.17272000014781952,117440512,,679.9473824657857,33.99736912328928,sdpa,ok
zamba2,decode_attn,kernel,68,8,2048,0.6292160153388977,469762048,,746.5831074674485,37.32915537337242,sdpa,ok
zamba2,decode_attn,kernel,68,8,8192,2.4588959217071533,1879048192,,764.1837035117051,38.209185175585255,sdpa,ok
zamba2,decode_attn,kernel,68,8,32768,9.780719757080078,7516192768,,768.4703124797304,38.42351562398652,sdpa,ok
