"# value_kind: measured=solo_a_ms,solo_b_ms,concurrent_ms; derived=overlap_ratio,throughput_gain; metadata=model,device,config_status,budget_mode,a_layer_type,b_layer_type,batch,seq,chunk_granularity,prefill_sm,other_sm,total_sm,status"
model__metadata,device__metadata,config_status__metadata,budget_mode__metadata,a_layer_type__metadata,b_layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,prefill_sm__metadata,other_sm__metadata,total_sm__metadata,status__metadata,solo_a_ms__measured,solo_b_ms__measured,concurrent_ms__measured,overlap_ratio__derived,throughput_gain__derived
zamba2_1.2b,a100_sxm4_80gb,verified,uniform_50_50,ssm,attn,8,2048,256,54,54,108,ok,0.597,0.0829,0.6932,1.0196,0.9808
zamba2_1.2b,a100_sxm4_80gb,verified,aware_0.7,ssm,attn,8,2048,256,76,32,108,ok,0.5857,0.084,0.639,0.9541,1.0481
