metric,batch,context_len,value,unit,value_kind,note
forward_ratio_R,32,512,0.240193,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,1024,0.34406,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,2048,0.551794,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,4096,0.967262,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,8192,1.798198,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,16384,3.46007,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,32768,6.783815,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,65536,13.431305,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,32,131072,26.726285,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
mixer_only_kv_over_state,1,512,0.165161,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,1024,0.330323,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,2048,0.660645,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,4096,1.32129,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,8192,2.642581,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,16384,5.285161,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,32768,10.570323,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,65536,21.140645,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,1,131072,42.28129,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,4,512,0.165161,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,4,1024,0.330323,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,4,2048,0.660645,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,4,4096,1.32129,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,4,8192,2.642581,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,4,16384,5.285161,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,4,32768,10.570323,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
