# value_kind: latency_ms,latency_std_ms=measured(CUDA event); read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct=derived; rest=metadata
model,device,layer_type,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_chunks,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct,state_passing_active,status
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,68,62.96,512,1,1,3584,False,1.4581760168075562,0.007479029930736668,123470496,117440512,165.214,2039.0,8.103,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,81,75.0,512,1,1,3584,False,1.3004800081253052,0.009005649577862342,123470496,117440512,185.248,2039.0,9.085,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,94,87.04,512,1,1,3584,False,1.210368037223816,0.006313295140571527,123470496,117440512,199.039,2039.0,9.762,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,108,100.0,512,1,1,3584,False,1.1279360055923462,0.006868339462038694,123470496,117440512,213.586,2039.0,10.475,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,14,12.96,512,1,1,7168,False,10.603007793426514,0.006018368040240403,246940320,234881024,45.442,2039.0,2.229,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,27,25.0,512,1,1,7168,False,5.481472015380859,0.0019429070216343597,246940320,234881024,87.9,2039.0,4.311,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,40,37.04,512,1,1,7168,False,3.9695359468460083,0.002977654722661624,246940320,234881024,121.38,2039.0,5.953,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,54,50.0,512,1,1,7168,False,3.0622719526290894,0.006874339584843035,246940320,234881024,157.341,2039.0,7.717,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,68,62.96,512,1,1,7168,False,2.550784111022949,0.003605832835398395,246940320,234881024,188.891,2039.0,9.264,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,81,75.0,512,1,1,7168,False,2.230272054672241,0.00565418205291164,246940320,234881024,216.037,2039.0,10.595,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,94,87.04,512,1,1,7168,False,2.0331519842147827,0.002646179160087425,246940320,234881024,236.982,2039.0,11.622,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,32,108,100.0,512,1,1,7168,False,1.869312047958374,0.004740711314536743,246940320,234881024,257.753,2039.0,12.641,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,2048,1,14,12.96,512,4,4,224,False,2.291200041770935,0.01935964943086288,30870144,29360128,26.288,2039.0,1.289,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,2048,1,27,25.0,512,4,4,224,False,2.1457918882369995,0.010068434935518759,30870144,29360128,28.069,2039.0,1.377,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,2048,1,40,37.04,512,4,4,224,False,2.116607904434204,0.013457805574685575,30870144,29360128,28.456,2039.0,1.396,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,2048,1,54,50.0,512,4,4,224,False,2.081279993057251,0.014139599717434073,30870144,29360128,28.939,2039.0,1.419,True,ok
