sm_count,sm_ratio,seq_len,batch_size,context_len,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,error
14,0.12962962962962962,512,1,4096,0.9820160269737244,1.196042287349701,40.57559846838035,1000.0,4.057559846838035,falcon_h1,attn,
14,0.12962962962962962,512,4,4096,3.458048105239868,3.4652159214019775,26.987265983544386,1000.0,2.6987265983544386,falcon_h1,attn,
14,0.12962962962962962,512,16,4096,13.454336166381836,13.461503982543945,22.835223098385057,1000.0,2.283522309838506,falcon_h1,attn,
14,0.12962962962962962,512,32,4096,26.75609588623047,26.76531219482422,22.142447183592697,1000.0,2.2142447183592697,falcon_h1,attn,
14,0.12962962962962962,1024,1,4096,1.521664023399353,1.5309106945991515,35.144010226733954,1000.0,3.5144010226733955,falcon_h1,attn,
14,0.12962962962962962,1024,4,4096,5.696000099182129,5.705738291740418,25.956673705330378,1000.0,2.5956673705330378,falcon_h1,attn,
14,0.12962962962962962,1024,16,4096,22.29248046875,22.305822582244872,23.565640294557006,1000.0,2.3565640294557006,falcon_h1,attn,
14,0.12962962962962962,1024,32,4096,44.32691192626953,44.34330627441406,23.20606176471291,1000.0,2.320606176471291,falcon_h1,attn,
14,0.12962962962962962,2048,1,4096,2.9655039310455322,2.9890663504600523,27.226519970092838,1000.0,2.7226519970092835,falcon_h1,attn,
14,0.12962962962962962,2048,4,4096,11.413503646850586,11.437055587768555,22.508523933480202,1000.0,2.25085239334802,falcon_h1,attn,
14,0.12962962962962962,2048,16,4096,44.99507141113281,45.01710006713867,21.36998924202378,1000.0,2.1369989242023784,falcon_h1,attn,
14,0.12962962962962962,2048,32,4096,89.70649719238281,89.72801734924316,21.192091403624932,1000.0,2.1192091403624933,falcon_h1,attn,
14,0.12962962962962962,4096,1,4096,7.155712127685547,7.188479900360107,18.90326239881183,1000.0,1.8903262398811829,falcon_h1,attn,
14,0.12962962962962962,4096,4,4096,27.94598388671875,27.979796867370606,16.997251910166053,1000.0,1.6997251910166051,falcon_h1,attn,
14,0.12962962962962962,4096,16,4096,110.80191802978516,110.83677955627441,16.551693838973122,1000.0,1.6551693838973123,falcon_h1,attn,
14,0.12962962962962962,4096,32,4096,221.38265991210938,221.43391464233397,16.46876387449428,1000.0,1.6468763874494279,falcon_h1,attn,
