model_name,layer_type,seq_len,batch_size,sm_count,sm_ratio,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,nvml_sm_util_mean_pct,nvml_sm_util_max_pct,effective_sm_util_mean_pct,effective_sm_util_max_pct
falcon_h1,ssm,1024,4,108,1.0,0.5345280170440674,0.5503897744417193,102.37574505938117,1000.0,10.237574505938117,,,,
falcon_h1,ssm,1024,16,108,1.0,0.9881600141525269,1.0031923162937173,221.51309592073142,1000.0,22.151309592073144,,,,
falcon_h1,ssm,1024,32,108,1.0,2.1560319662094116,2.1744948148727423,203.04922694150775,1000.0,20.304922694150775,,,,
falcon_h1,ssm,4096,4,108,1.0,0.9707520008087158,0.9856511831283578,225.48538021827036,1000.0,22.548538021827035,,,,
falcon_h1,ssm,4096,16,108,1.0,4.165119886398315,4.17842185497284,210.21270164617516,1000.0,21.021270164617516,,,,
falcon_h1,ssm,4096,32,108,1.0,8.283648014068604,8.344442520141602,211.3950352581335,1000.0,21.13950352581335,,,,
falcon_h1,ssm,8192,4,108,1.0,2.1022720336914062,2.1192293524742136,208.2416628219591,1000.0,20.82416628219591,,,,
falcon_h1,ssm,8192,16,108,1.0,8.286208152770996,8.313046674728394,211.32972183596502,1000.0,21.1329721835965,,,,
falcon_h1,ssm,8192,32,108,1.0,16.503807067871094,16.548289699554445,212.20824804829542,1000.0,21.22082480482954,,,,
falcon_h1,ssm,16384,4,108,1.0,4.151296138763428,4.170137634277345,210.91270647360002,1000.0,21.091270647360002,,,,
falcon_h1,ssm,16384,16,108,1.0,16.484864234924316,16.541429080963137,212.45209751744608,1000.0,21.245209751744607,,,,
falcon_h1,ssm,16384,32,108,1.0,33.04857635498047,33.17621795654297,211.94522114246573,1000.0,21.194522114246574,,,,
falcon_h1,attn,1024,4,108,1.0,0.6072319746017456,0.63388671875,215.85161105187822,1000.0,21.585161105187822,,,,
falcon_h1,attn,1024,16,108,1.0,2.2466559410095215,2.256906259059906,203.95989596613452,1000.0,20.395989596613454,,,,
falcon_h1,attn,1024,32,108,1.0,4.229119777679443,4.240650339126587,211.49444211078477,1000.0,21.149444211078478,,,,
falcon_h1,attn,4096,4,108,1.0,3.0766080617904663,3.1191141486167906,148.93925478870693,1000.0,14.893925478870692,,,,
falcon_h1,attn,4096,16,108,1.0,11.374079704284668,11.625472068786621,155.34008956649208,1000.0,15.53400895664921,,,,
falcon_h1,attn,4096,32,108,1.0,22.492671966552734,22.996725387573242,156.1255607702799,1000.0,15.612556077027989,,,,
falcon_h1,attn,8192,4,108,1.0,7.916543960571289,8.50666464805603,112.98305579489943,1000.0,11.298305579489941,,,,
falcon_h1,attn,8192,16,108,1.0,30.722047805786133,31.195423488616942,114.30491372839465,1000.0,11.430491372839466,,,,
falcon_h1,attn,8192,32,108,1.0,61.69344139099121,62.64585258483887,113.48600100986377,1000.0,11.348600100986376,,,,
falcon_h1,attn,16384,4,108,1.0,23.927295684814453,24.651478157043456,73.84246775206353,1000.0,7.384246775206353,,,,
falcon_h1,attn,16384,16,108,1.0,94.47987365722656,95.31540390014648,74.10405709686809,1000.0,7.410405709686809,,,,
falcon_h1,attn,16384,32,108,1.0,186.36287689208984,189.37533630371092,75.01850175931366,1000.0,7.5018501759313665,,,,
