model_name,layer_type,seq_len,batch_size,sm_count,sm_ratio,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,nvml_sm_util_mean_pct,nvml_sm_util_max_pct,effective_sm_util_mean_pct,effective_sm_util_max_pct
zamba2,ssm,1024,4,108,1.0,0.5360639989376068,0.5522841745615018,224.70421486748637,1000.0,22.470421486748638,,,,
zamba2,ssm,1024,16,108,1.0,1.5872000455856323,1.5920434701442727,303.56686628132087,1000.0,30.356686628132085,,,,
zamba2,ssm,1024,32,108,1.0,3.630079984664917,3.6589260363578804,265.46027086754435,1000.0,26.546027086754435,,,,
zamba2,ssm,4096,4,108,1.0,1.5841280221939087,1.5910501825809489,304.1555589255409,1000.0,30.415555892554092,,,,
zamba2,ssm,4096,16,108,1.0,7.526400089263916,7.548907532691956,256.069746112645,1000.0,25.606974611264505,,,,
zamba2,ssm,4096,32,108,1.0,15.675392150878906,15.699957847595215,245.89917820868538,1000.0,24.58991782086854,,,,
zamba2,ssm,8192,4,108,1.0,3.615744113922119,3.6344320082664496,266.5127801189186,1000.0,26.65127801189186,,,,
zamba2,ssm,8192,16,108,1.0,15.664128303527832,15.691571226119995,246.076000739338,1000.0,24.607600073933803,,,,
zamba2,ssm,8192,32,108,1.0,31.500288009643555,31.526635723114016,244.7320932951442,1000.0,24.473209329514418,,,,
zamba2,ssm,16384,4,108,1.0,7.512063980102539,7.530485634803773,256.55843255659977,1000.0,25.655843255659978,,,,
zamba2,ssm,16384,16,108,1.0,31.485952377319336,31.5151456451416,244.84352042510278,1000.0,24.484352042510277,,,,
