sm_count,sm_ratio,seq_len,batch_size,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,error
14,0.12962962962962962,512,1,2.959359884262085,2.9706239700317383,71.92803049470166,2000.0,3.596401524735083,zamba2,mlp,
14,0.12962962962962962,512,4,11.781120300292969,11.784202327728272,19.937070330582998,2000.0,0.9968535165291498,zamba2,mlp,
14,0.12962962962962962,512,16,45.911041259765625,45.93972274780273,7.0345041004989985,2000.0,0.3517252050249499,zamba2,mlp,
14,0.12962962962962962,512,32,91.82208251953125,91.833384475708,4.796252795794771,2000.0,0.23981263978973855,zamba2,mlp,
14,0.12962962962962962,512,64,183.58578491210938,183.6114096069336,3.6782964668167955,2000.0,0.18391482334083978,zamba2,mlp,
14,0.12962962962962962,1024,1,6.041600227355957,6.043647766113281,36.447456255537226,2000.0,1.8223728127768613,zamba2,mlp,
14,0.12962962962962962,1024,4,22.965248107910156,22.97755573272705,11.506130948743579,2000.0,0.5753065474371789,zamba2,mlp,
14,0.12962962962962962,1024,16,91.82054138183594,91.83643859863281,4.7963332972367,2000.0,0.23981666486183498,zamba2,mlp,
14,0.12962962962962962,1024,32,183.5898895263672,183.6114710998535,3.678214229237367,2000.0,0.18391071146186835,zamba2,mlp,
14,0.12962962962962962,1024,64,367.1060485839844,367.16655517578124,3.1191123012456803,2000.0,0.155955615062284,zamba2,mlp,
14,0.12962962962962962,2048,1,11.781120300292969,11.785226564407349,19.937070330582998,2000.0,0.9968535165291498,zamba2,mlp,
14,0.12962962962962962,2048,4,45.91411209106445,45.943819732666014,7.034033618235926,2000.0,0.3517016809117963,zamba2,mlp,
14,0.12962962962962962,2048,16,183.5898895263672,183.61654678344726,3.678214229237367,2000.0,0.18391071146186835,zamba2,mlp,
14,0.12962962962962962,2048,32,367.1050109863281,367.16236389160156,3.119121117207099,2000.0,0.15595605586035494,zamba2,mlp,
14,0.12962962962962962,2048,64,734.149658203125,734.2172821044921,2.8394334380024184,2000.0,0.14197167190012092,zamba2,mlp,
14,0.12962962962962962,4096,1,22.965248107910156,22.975498905181883,11.506130948743579,2000.0,0.5753065474371789,zamba2,mlp,
14,0.12962962962962962,4096,4,91.82259368896484,91.84122596740723,4.796226095418247,2000.0,0.2398113047709124,zamba2,mlp,
14,0.12962962962962962,4096,16,367.10400390625,367.1512463378906,3.1191296739231933,2000.0,0.15595648369615966,zamba2,mlp,
14,0.12962962962962962,4096,32,734.166015625,734.2612408447266,2.839370174640124,2000.0,0.1419685087320062,zamba2,mlp,
14,0.12962962962962962,4096,64,1468.2506103515625,1468.352548828125,2.699550915937259,2000.0,0.13497754579686294,zamba2,mlp,
14,0.12962962962962962,8192,1,45.921791076660156,45.94075534820556,7.0328573957592395,2000.0,0.351642869787962,zamba2,mlp,
14,0.12962962962962962,8192,4,183.59091186523438,183.62778732299805,3.678193746843493,2000.0,0.18390968734217467,zamba2,mlp,
14,0.12962962962962962,8192,16,734.1598510742188,734.2438562011719,2.839394016098632,2000.0,0.14196970080493163,zamba2,mlp,
14,0.12962962962962962,8192,32,1468.2142333984375,1468.316845703125,2.699617800888306,2000.0,0.1349808900444153,zamba2,mlp,
