sm_count,sm_ratio,seq_len,batch_size,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type
14,0.12962962962962962,256,1,4.038144111633301,6.19833366394043,39.0801704043619,1935,2.0196470493210286,zamba2,ssm
14,0.12962962962962962,256,4,10.639359951019287,19.627233715057372,15.867628201057935,1935,0.8200324651709526,zamba2,ssm
14,0.12962962962962962,256,16,47.35436820983887,68.35693405151368,4.495078448872084,1935,0.23230379580734284,zamba2,ssm
14,0.12962962962962962,512,1,5.472768068313599,12.289096031188965,29.50634377052261,1935,1.524875647055432,zamba2,ssm
14,0.12962962962962962,512,4,23.93344020843506,38.3791498184204,7.667158185446615,1935,0.39623556513936,zamba2,ssm
14,0.12962962962962962,512,16,94.60019302368164,134.37420013427734,2.8708382860488864,1935,0.14836373571312075,zamba2,ssm
14,0.12962962962962962,1024,1,10.63424015045166,19.605523567199707,15.875267589554086,1935,0.8204272656100303,zamba2,ssm
14,0.12962962962962962,1024,4,47.321088790893555,68.31625427246094,4.498239694792546,1935,0.23246716768953726,zamba2,ssm
14,0.12962962962962962,1024,16,190.7409896850586,230.19862091064454,2.039532082969335,1935,0.1054021748304566,zamba2,ssm
14,0.12962962962962962,2048,1,23.9237117767334,35.737836647033674,7.670275988630713,1935,0.39639669191889987,zamba2,ssm
14,0.12962962962962962,2048,4,94.58688354492188,134.11202499389648,2.8712422465110445,1935,0.148384612222793,zamba2,ssm
14,0.12962962962962962,2048,16,415.7542266845703,419.25120056152343,1.5006543576846207,1935,0.07755319677956697,zamba2,ssm
14,0.12962962962962962,4096,1,47.310848236083984,68.37879806518555,4.499213350346369,1935,0.23251748580601392,zamba2,ssm
14,0.12962962962962962,4096,4,189.3012466430664,229.88589599609375,2.0550438779387132,1935,0.10620381798132886,zamba2,ssm
14,0.12962962962962962,4096,16,804.6484375,837.3965045166016,1.359184196514394,1935,0.07024207733924517,zamba2,ssm
27,0.25,256,1,0.7352319955825806,5.5204452753067015,214.6415838105005,1935,11.09258831062018,zamba2,ssm
27,0.25,256,4,5.427200078964233,12.30552017211914,31.106538462502954,1935,1.6075730471577752,zamba2,ssm
27,0.25,256,16,23.820799827575684,34.385931701660155,8.935955196331609,1935,0.4618064700946568,zamba2,ssm
27,0.25,512,1,4.058112144470215,6.214717316627502,39.79224088719248,1935,2.0564465574776474,zamba2,ssm
27,0.25,512,4,13.301759719848633,19.69564649581909,13.795277907943456,1935,0.7129342588084474,zamba2,ssm
27,0.25,512,16,47.51820755004883,68.54150428771973,5.715321978716366,1935,0.2953654769362463,zamba2,ssm
27,0.25,1024,1,5.404160022735596,12.266516189575196,31.239157850574216,1935,1.6144267623035768,zamba2,ssm
27,0.25,1024,4,23.805439949035645,38.26934852600097,8.941720903109083,1935,0.4621044394371619,zamba2,ssm
27,0.25,1024,16,94.98828887939453,134.77999938964842,4.095477164494846,1935,0.21165256664056054,zamba2,ssm
27,0.25,2048,1,13.296128273010254,19.676304168701172,13.801120764793518,1935,0.7132362152348072,zamba2,ssm
27,0.25,2048,4,47.504384994506836,70.20178604125975,5.716984990573067,1935,0.29545142070145053,zamba2,ssm
27,0.25,2048,16,194.86412811279297,233.5156802368164,3.2017354761101373,1935,0.16546436569044637,zamba2,ssm
27,0.25,4096,1,23.782912254333496,35.719823875427224,8.95019069673498,1935,0.46254215487002476,zamba2,ssm
27,0.25,4096,4,94.9140510559082,134.7393589782715,4.098680476411761,1935,0.21181811247605997,zamba2,ssm
27,0.25,4096,16,418.0736083984375,423.47856842041017,2.6159638351476664,1935,0.13519192946499567,zamba2,ssm
40,0.37037037037037035,256,1,0.6123520135879517,3.3579315757751464,257.71346627136336,1935,13.31852538870095,zamba2,ssm
40,0.37037037037037035,256,4,4.71398401260376,6.865920066833496,35.812893626415125,1935,1.8507955362488437,zamba2,ssm
40,0.37037037037037035,256,16,18.21542453765869,26.713271408081056,11.685788577692959,1935,0.6039167223613932,zamba2,ssm
40,0.37037037037037035,512,1,1.4617600440979004,5.913692126274109,110.47050892655601,1935,5.7090702287625845,zamba2,ssm
40,0.37037037037037035,512,4,9.26361608505249,13.532211008071899,19.808838181030925,1935,1.0237125674951382,zamba2,ssm
40,0.37037037037037035,512,16,33.684478759765625,52.450210647583006,8.062522146680523,1935,0.4166678111979598,zamba2,ssm
40,0.37037037037037035,1024,1,4.708352088928223,6.865961027145386,35.85573143456852,1935,1.8530093764634894,zamba2,ssm
40,0.37037037037037035,1024,4,18.1975040435791,26.62215684890747,11.697296480343807,1935,0.6045114460125999,zamba2,ssm
40,0.37037037037037035,1024,16,67.03308868408203,100.46904197692871,5.803437908603769,1935,0.2999192717624687,zamba2,ssm
40,0.37037037037037035,2048,1,9.264639854431152,13.531166286468506,19.806649247378324,1935,1.0235994443089573,zamba2,ssm
40,0.37037037037037035,2048,4,33.67833709716797,50.97389923095701,8.0639924476211,1935,0.41674379574269255,zamba2,ssm
40,0.37037037037037035,2048,16,136.53759765625,177.26497283935547,4.569462204621122,1935,0.2361479175514792,zamba2,ssm
40,0.37037037037037035,4096,1,18.19443130493164,26.709207038879395,11.699271960333459,1935,0.6046135380017291,zamba2,ssm
40,0.37037037037037035,4096,4,69.24390411376953,100.36563835144042,5.618146073347138,1935,0.2903434663228495,zamba2,ssm
40,0.37037037037037035,4096,16,288.9676818847656,313.56334228515624,3.7847327177443026,1935,0.19559342210564873,zamba2,ssm
54,0.5,256,1,0.5345280170440674,3.2994202470779417,295.2349642450824,1935,15.257620891218728,zamba2,ssm
54,0.5,256,4,4.273152112960815,6.445127639770508,39.507465107069564,1935,2.041729462897652,zamba2,ssm
54,0.5,256,16,13.749247550964355,20.150466918945312,15.481690849698184,1935,0.8000873824133429,zamba2,ssm
54,0.5,512,1,0.9026560187339783,5.710991215705872,178.89580598652185,1935,9.245261291293119,zamba2,ssm
54,0.5,512,4,7.75219202041626,12.593233966827393,23.670914177142215,1935,1.2233030582502438,zamba2,ssm
54,0.5,512,16,27.111936569213867,39.86350131988525,10.017058549347098,1935,0.5176774444107027,zamba2,ssm
54,0.5,1024,1,4.268032073974609,6.427750468254089,39.554859259242846,1935,2.0441787730874856,zamba2,ssm
54,0.5,1024,4,13.737983703613281,20.150354290008544,15.494384371995903,1935,0.8007433783977211,zamba2,ssm
54,0.5,1024,16,51.62444877624512,74.69111236572266,7.535622698580906,1935,0.38943786555973675,zamba2,ssm
54,0.5,2048,1,7.725056171417236,12.542197895050048,23.75406313276488,1935,1.2276001618999939,zamba2,ssm
54,0.5,2048,4,27.130367279052734,39.85219554901123,10.010253573297087,1935,0.517325766061865,zamba2,ssm
54,0.5,2048,16,102.92377853393555,141.1797218322754,6.061800303943268,1935,0.3132713335371198,zamba2,ssm
54,0.5,4096,1,13.745664119720459,20.12367841720581,15.485726855104394,1935,0.8002959615041031,zamba2,ssm
54,0.5,4096,4,51.61472129821777,74.7450806427002,7.5370428865113865,1935,0.3895112602848262,zamba2,ssm
54,0.5,4096,16,209.11206817626953,244.4767579650879,5.230044585844288,1935,0.27028654190409757,zamba2,ssm
68,0.6296296296296297,256,1,0.42905598878860474,3.127910370826721,367.8106450525585,1935,19.008302069899667,zamba2,ssm
68,0.6296296296296297,256,4,3.951616048812866,6.112389168739319,42.722118220649726,1935,2.2078614067519235,zamba2,ssm
68,0.6296296296296297,256,16,10.012160301208496,18.96885290145874,21.26030682652045,1935,1.0987238670036408,zamba2,ssm
68,0.6296296296296297,512,1,0.7239680290222168,5.562367916107178,223.05042422673688,1935,11.527153706808107,zamba2,ssm
68,0.6296296296296297,512,4,5.108223915100098,12.02509801864624,35.922754180286205,1935,1.856473084252517,zamba2,ssm
68,0.6296296296296297,512,16,22.237183570861816,32.946317977905274,12.212961013456017,1935,0.6311607758891998,zamba2,ssm
68,0.6296296296296297,1024,1,3.9511040449142456,6.109275951385498,42.72765436721475,1935,2.208147512517558,zamba2,ssm
68,0.6296296296296297,1024,4,6.216192007064819,14.265159320831266,34.24308640371449,1935,1.7696685479955812,zamba2,ssm
68,0.6296296296296297,1024,16,42.10176086425781,61.177925987243654,9.240049822482831,1935,0.4775219546502755,zamba2,ssm
68,0.6296296296296297,2048,1,4.962303876876831,7.800872755050659,36.97908805123235,1935,1.9110639819758322,zamba2,ssm
68,0.6296296296296297,2048,4,22.49113655090332,33.15717094421387,12.075061453001242,1935,0.6240341836176352,zamba2,ssm
68,0.6296296296296297,2048,16,82.74687957763672,120.11387565612792,7.539902352627409,1935,0.38965903631149396,zamba2,ssm
68,0.6296296296296297,4096,1,10.053632259368896,19.012863578796388,21.17260652752005,1935,1.0941915518098217,zamba2,ssm
68,0.6296296296296297,4096,4,42.267648696899414,61.13516696929931,9.203785400736928,1935,0.4756478243274898,zamba2,ssm
68,0.6296296296296297,4096,16,166.44710540771484,208.0878451538086,6.570648599271517,1935,0.33956840306312747,zamba2,ssm
81,0.75,256,1,0.419840008020401,3.134853146076202,375.8845202583256,1935,19.425556602497448,zamba2,ssm
81,0.75,256,4,3.727871894836426,5.9341415643692015,45.2862686171805,1935,2.3403756391307753,zamba2,ssm
81,0.75,256,16,9.363455772399902,13.656084508895875,22.733230676161188,1935,1.1748439625923095,zamba2,ssm
81,0.75,512,1,0.6266880035400391,5.440563378334045,257.67427346274866,1935,13.316499920555486,zamba2,ssm
81,0.75,512,4,4.740095853805542,11.588494911193846,38.712607858484034,1935,2.0006515689139035,zamba2,ssm
81,0.75,512,16,18.502144813537598,27.009105587005614,14.678398571461281,1935,0.7585735695845623,zamba2,ssm
81,0.75,1024,1,3.7550079822540283,5.933117318153381,44.95900109875696,1935,2.323462589083047,zamba2,ssm
81,0.75,1024,4,9.3537278175354,13.641738634109497,22.756873425475256,1935,1.1760658101020804,zamba2,ssm
81,0.75,1024,16,36.564992904663086,53.76137264251709,10.639202611478929,1935,0.5498295923244925,zamba2,ssm
81,0.75,2048,1,4.733952045440674,6.879262652397156,38.76284977933659,1935,2.00324805061171,zamba2,ssm
81,0.75,2048,4,18.432512283325195,26.923079643249512,14.73384918048768,1935,0.7614392341337302,zamba2,ssm
81,0.75,2048,16,71.1377944946289,101.97269660949706,8.77035050681964,1935,0.4532480882077333,zamba2,ssm
