sm_count,sm_ratio,seq_len,batch_size,context_len,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type
11,0.10185185185185185,256,1,0,0.04915200173854828,0.0583782411366701,85.33333031502046,2000,4.266666515751023,zamba2,attn
11,0.10185185185185185,256,4,0,0.0798719972372055,0.08419327862560728,210.05128931701407,2000,10.502564465850703,zamba2,attn
11,0.10185185185185185,256,16,0,0.08806400001049042,0.08908800035715103,762.0465115371301,2000,38.10232557685651,zamba2,attn
11,0.10185185185185185,512,1,0,0.04915200173854828,0.06348799914121628,170.66666063004092,2000,8.533333031502046,zamba2,attn
11,0.10185185185185185,512,4,0,0.07884799689054489,0.08089599758386612,425.55845834079395,2000,21.277922917039696,zamba2,attn
11,0.10185185185185185,512,16,0,0.2027519941329956,0.20483071491122243,661.9798171354092,2000,33.09899085677046,zamba2,attn
11,0.10185185185185185,1024,1,0,0.09625600278377533,0.09732096306979653,174.2978672996374,2000,8.71489336498187,zamba2,attn
11,0.10185185185185185,1024,4,0,0.19660800695419312,0.19865599274635315,341.33332126008185,2000,17.066666063004092,zamba2,attn
11,0.10185185185185185,1024,16,0,0.48844799399375916,0.4916531080007552,549.5681409297174,2000,27.47840704648587,zamba2,attn
11,0.10185185185185185,2048,1,0,0.187391996383667,0.18943999707698822,179.06011274515987,2000,8.953005637257993,zamba2,attn
11,0.10185185185185185,2048,4,0,0.4792320132255554,0.48127999901771545,280.06836833921835,2000,14.003418416960917,zamba2,attn
11,0.10185185185185185,2048,16,0,1.6517119407653809,1.6547839641571045,325.03906931327344,2000,16.25195346566367,zamba2,attn
11,0.10185185185185185,4096,1,0,0.5406720042228699,0.5468159914016724,124.12121115177462,2000,6.206060557588731,zamba2,attn
11,0.10185185185185185,4096,4,0,1.6046080589294434,1.6076799631118774,167.29035760863238,2000,8.364517880431618,zamba2,attn
11,0.10185185185185185,4096,16,0,5.965824127197266,5.96889591217041,179.98214514990107,2000,8.999107257495053,zamba2,attn
22,0.2037037037037037,256,1,0,0.04608000069856644,0.057395200766622974,91.02222084233793,2000,4.551111042116897,zamba2,attn
22,0.2037037037037037,256,4,0,0.0727040022611618,0.07680000364780426,230.7605562034145,2000,11.538027810170725,zamba2,attn
22,0.2037037037037037,256,16,0,0.07577600330114365,0.07680000364780426,885.6215830399591,2000,44.28107915199796,zamba2,attn
22,0.2037037037037037,512,1,0,0.050175998359918594,0.06348799914121628,167.18367893404903,2000,8.359183946702451,zamba2,attn
22,0.2037037037037037,512,4,0,0.06656000018119812,0.06758400052785873,504.1230755506889,2000,25.206153777534446,zamba2,attn
22,0.2037037037037037,512,16,0,0.16793599724769592,0.16999423801898955,799.2195252935354,2000,39.96097626467677,zamba2,attn
22,0.2037037037037037,1024,1,0,0.0798719972372055,0.08089599758386612,210.05128931701407,2000,10.502564465850703,zamba2,attn
22,0.2037037037037037,1024,4,0,0.16383999586105347,0.1658879965543747,409.6000103473666,2000,20.480000517368328,zamba2,attn
22,0.2037037037037037,1024,16,0,0.48844799399375916,0.4925439953804016,549.5681409297174,2000,27.47840704648587,zamba2,attn
22,0.2037037037037037,2048,1,0,0.1884160041809082,0.19046400487422943,178.08695257003015,2000,8.904347628501508,zamba2,attn
22,0.2037037037037037,2048,4,0,0.4782080054283142,0.48127999901771545,280.6680910324491,2000,14.033404551622455,zamba2,attn
22,0.2037037037037037,2048,16,0,1.651199996471405,1.6537701964378357,325.13984565606034,2000,16.25699228280302,zamba2,attn
22,0.2037037037037037,4096,1,0,0.5406720042228699,0.5468262314796448,124.12121115177462,2000,6.206060557588731,zamba2,attn
22,0.2037037037037037,4096,4,0,1.6035840511322021,1.6066559553146362,167.3971849560817,2000,8.369859247804085,zamba2,attn
22,0.2037037037037037,4096,16,0,5.964799880981445,5.967872142791748,180.01305080218836,2000,9.000652540109417,zamba2,attn
33,0.3055555555555556,256,1,0,0.04608000069856644,0.06964224122464656,91.02222084233793,2000,4.551111042116897,zamba2,attn
33,0.3055555555555556,256,4,0,0.0727040022611618,0.07578624330461024,230.7605562034145,2000,11.538027810170725,zamba2,attn
33,0.3055555555555556,256,16,0,0.07475200295448303,0.07680000364780426,897.7533891749097,2000,44.887669458745485,zamba2,attn
33,0.3055555555555556,512,1,0,0.050175998359918594,0.062494718804955454,167.18367893404903,2000,8.359183946702451,zamba2,attn
33,0.3055555555555556,512,4,0,0.0655359998345375,0.06758400052785873,512.0000012926757,2000,25.60000006463379,zamba2,attn
33,0.3055555555555556,512,16,0,0.16896000504493713,0.17100800573825836,794.3757338566784,2000,39.718786692833916,zamba2,attn
33,0.3055555555555556,1024,1,0,0.08089599758386612,0.08294399827718735,207.39241125751377,2000,10.369620562875689,zamba2,attn
33,0.3055555555555556,1024,4,0,0.16383999586105347,0.1658879965543747,409.6000103473666,2000,20.480000517368328,zamba2,attn
33,0.3055555555555556,1024,16,0,0.48691199719905853,0.49050624936819076,551.3017907633496,2000,27.56508953816748,zamba2,attn
33,0.3055555555555556,2048,1,0,0.187391996383667,0.18943999707698822,179.06011274515987,2000,8.953005637257993,zamba2,attn
33,0.3055555555555556,2048,4,0,0.4792320132255554,0.48127999901771545,280.06836833921835,2000,14.003418416960917,zamba2,attn
33,0.3055555555555556,2048,16,0,1.6517119407653809,1.6537599563598633,325.03906931327344,2000,16.25195346566367,zamba2,attn
33,0.3055555555555556,4096,1,0,0.5396479964256287,0.5468467116355896,124.35673706656407,2000,6.217836853328204,zamba2,attn
33,0.3055555555555556,4096,4,0,1.6035840511322021,1.6066559553146362,167.3971849560817,2000,8.369859247804085,zamba2,attn
33,0.3055555555555556,4096,16,0,5.976064205169678,6.034442176818848,179.67374297470644,2000,8.983687148735322,zamba2,attn
