"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm_full,1,2048,512,512,0,27,ok,30,128,4.7407,0.73626,0.00633,121.814,5.974
falcon_h1_3b,verified,ssm_full,8,2048,256,256,0,27,ok,30,512,18.963,2.34752,0.00171,72.417,3.552
falcon_h1_3b,verified,ssm_full,8,2048,512,512,0,27,ok,30,1024,37.9259,4.58086,0.00177,60.488,2.967
falcon_h1_3b,verified,ssm_full,32,2048,256,256,0,27,ok,30,2048,75.8519,9.03373,0.00655,54.38,2.667
falcon_h1_3b,verified,ssm_full,32,2048,512,512,0,27,ok,30,4096,151.7037,17.88621,0.00459,51.414,2.522
falcon_h1_3b,verified,ssm_full,128,2048,256,256,0,27,ok,30,8192,303.4074,35.86918,0.0071,49.521,2.429
falcon_h1_3b,verified,ssm_full,128,2048,512,512,0,27,ok,30,16384,606.8148,71.25299,0.04588,48.976,2.402
falcon_h1_3b,verified,attn,1,2048,256,256,0,27,ok,30,40,1.4815,0.05632,0.00155,102.4,5.022
falcon_h1_3b,verified,attn,1,2048,256,256,4096,27,ok,30,40,1.4815,0.17306,0.00186,57.562,2.823
falcon_h1_3b,verified,attn,1,2048,512,512,0,27,ok,30,80,2.963,0.08704,0.00211,132.518,6.499
falcon_h1_3b,verified,attn,1,2048,512,512,4096,27,ok,30,80,2.963,0.31283,0.00301,50.278,2.466
falcon_h1_3b,verified,attn,8,2048,256,256,0,27,ok,30,320,11.8519,0.0809,0.0019,570.329,27.971
falcon_h1_3b,verified,attn,8,2048,256,256,4096,27,ok,30,320,11.8519,0.9001,0.00074,88.537,4.342
falcon_h1_3b,verified,attn,8,2048,512,512,0,27,ok,30,640,23.7037,0.1833,0.00223,503.419,24.69
falcon_h1_3b,verified,attn,8,2048,512,512,4096,27,ok,30,640,23.7037,1.86368,0.00128,67.516,3.311
falcon_h1_3b,verified,attn,32,2048,256,256,0,27,ok,30,1280,47.4074,0.22938,0.00133,804.571,39.459
falcon_h1_3b,verified,attn,32,2048,256,256,4096,27,ok,30,1280,47.4074,3.34797,0.00184,95.212,4.67
falcon_h1_3b,verified,attn,32,2048,512,512,0,27,ok,30,2560,94.8148,0.61747,0.00329,597.758,29.316
falcon_h1_3b,verified,attn,32,2048,512,512,4096,27,ok,30,2560,94.8148,7.02976,0.00199,71.598,3.511
falcon_h1_3b,verified,attn,128,2048,256,256,0,27,ok,30,5120,189.6296,0.82227,0.00253,897.753,44.029
falcon_h1_3b,verified,attn,128,2048,256,256,4096,27,ok,30,5120,189.6296,13.25466,0.00386,96.198,4.718
falcon_h1_3b,verified,attn,128,2048,512,512,0,27,ok,30,10240,379.2593,2.35008,0.0034,628.232,30.811
falcon_h1_3b,verified,attn,128,2048,512,512,4096,27,ok,30,10240,379.2593,27.84154,0.00382,72.312,3.546
falcon_h1_3b,verified,ssm,1,2048,256,256,0,40,ok,30,64,1.6,0.51661,0.00664,8.658,0.425
falcon_h1_3b,verified,ssm,1,2048,512,512,0,40,ok,30,128,3.2,0.53453,0.00851,16.736,0.821
falcon_h1_3b,verified,ssm,8,2048,256,256,0,40,ok,30,512,12.8,0.64461,0.0064,55.511,2.722
falcon_h1_3b,verified,ssm,8,2048,512,512,0,40,ok,30,1024,25.6,0.93594,0.00496,76.464,3.75
falcon_h1_3b,verified,ssm,32,2048,256,256,0,40,ok,30,2048,51.2,1.70906,0.00456,83.748,4.107
falcon_h1_3b,verified,ssm,32,2048,512,512,0,40,ok,30,4096,102.4,3.1488,0.00357,90.911,4.459
falcon_h1_3b,verified,ssm,128,2048,256,256,0,40,ok,30,8192,204.8,6.26278,0.00462,91.417,4.483
falcon_h1_3b,verified,ssm,128,2048,512,512,0,40,ok,30,16384,409.6,11.99053,0.05864,95.496,4.683
