"# value_kind: measured=bw_util_pct_at_sat; derived=grid_sat_sm_e0,sat_sm_point,sat_sm_ci_low,sat_sm_ci_high; metadata=model,config_status,layer_type,batch,chunk_granularity,context_len,n_sm_points,min_n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,chunk_granularity__metadata,context_len__metadata,n_sm_points__metadata,min_n_measure__metadata,grid_sat_sm_e0__derived,sat_sm_point__derived,sat_sm_ci_low__derived,sat_sm_ci_high__derived,bw_util_pct_at_sat__measured
zamba2_2.7b,verified,ssm,1,256,0,8,30,80,27,27,27,0.483
zamba2_2.7b,verified,ssm,1,512,0,8,30,160,27,27,40,0.88
zamba2_2.7b,verified,ssm,2,256,0,8,30,160,27,27,27,0.884
zamba2_2.7b,verified,ssm,2,512,0,8,30,320,54,40,81,1.714
zamba2_2.7b,verified,ssm,4,256,0,8,30,320,54,54,68,1.734
zamba2_2.7b,verified,ssm,4,512,0,8,30,640,81,81,81,3.282
zamba2_2.7b,verified,ssm,8,256,0,8,30,640,81,81,81,3.309
zamba2_2.7b,verified,ssm,8,512,0,8,30,1280,94,81,94,5.65
zamba2_2.7b,verified,ssm,16,256,0,8,30,1280,94,81,94,5.639
zamba2_2.7b,verified,ssm,16,512,0,8,30,2560,94,94,94,8.571
zamba2_2.7b,verified,ssm,32,256,0,8,30,2560,94,94,94,8.549
zamba2_2.7b,verified,ssm,32,512,0,8,30,5120,108,108,108,12.048
zamba2_2.7b,verified,ssm,64,256,0,8,30,5120,108,108,108,11.805
zamba2_2.7b,verified,ssm,64,512,0,8,30,10240,108,108,108,12.474
zamba2_2.7b,verified,ssm,128,256,0,8,30,10240,108,108,108,12.209
zamba2_2.7b,verified,ssm,128,512,0,8,30,20480,108,108,108,12.39
zamba2_2.7b,verified,ssm,256,256,0,8,30,20480,108,108,108,12.099
zamba2_2.7b,verified,ssm,256,512,0,8,30,40960,108,108,108,11.939
zamba2_2.7b,verified,ssm,512,256,0,8,30,40960,108,108,108,11.726
zamba2_2.7b,verified,ssm,512,512,0,8,30,81920,108,108,108,11.769
zamba2_2.7b,verified,ssm_full,1,256,0,8,30,80,27,27,40,6.689
zamba2_2.7b,verified,ssm_full,1,512,0,8,30,160,40,40,40,7.242
zamba2_2.7b,verified,ssm_full,2,256,0,8,30,160,40,40,40,7.292
zamba2_2.7b,verified,ssm_full,2,512,0,8,30,320,54,54,54,7.693
zamba2_2.7b,verified,ssm_full,4,256,0,8,30,320,54,54,54,7.675
zamba2_2.7b,verified,ssm_full,4,512,0,8,30,640,94,94,94,10.945
zamba2_2.7b,verified,ssm_full,8,256,0,8,30,640,94,94,94,10.963
zamba2_2.7b,verified,ssm_full,8,512,0,8,30,1280,108,108,108,10.622
zamba2_2.7b,verified,ssm_full,16,256,0,8,30,1280,108,108,108,10.013
zamba2_2.7b,verified,ssm_full,16,512,0,8,30,2560,108,108,108,9.032
zamba2_2.7b,verified,ssm_full,32,256,0,8,30,2560,108,108,108,8.989
zamba2_2.7b,verified,ssm_full,32,512,0,8,30,5120,108,108,108,8.426
zamba2_2.7b,verified,ssm_full,64,256,0,8,30,5120,108,108,108,8.126
zamba2_2.7b,verified,ssm_full,64,512,0,8,30,10240,108,108,108,8.13
zamba2_2.7b,verified,ssm_full,128,256,0,8,30,10240,108,108,108,8.002
zamba2_2.7b,verified,ssm_full,128,512,0,8,30,20480,108,108,108,7.85
zamba2_2.7b,verified,ssm_full,256,256,0,8,30,20480,108,108,108,7.822
zamba2_2.7b,verified,ssm_full,256,512,0,8,30,40960,108,108,108,7.745
zamba2_2.7b,verified,ssm_full,512,256,0,8,30,40960,108,108,108,7.715
zamba2_2.7b,verified,ssm_full,512,512,0,8,30,81920,108,108,108,7.685
zamba2_2.7b,verified,attn,1,256,0,8,30,80,68,68,94,17.656
zamba2_2.7b,verified,attn,1,256,4096,8,30,80,81,81,81,21.629
zamba2_2.7b,verified,attn,1,512,0,8,30,160,81,81,81,33.234
zamba2_2.7b,verified,attn,1,512,4096,8,30,160,68,68,68,14.481
zamba2_2.7b,verified,attn,2,256,0,8,30,160,68,68,68,42.64
zamba2_2.7b,verified,attn,2,256,4096,8,30,160,68,68,68,24.838
zamba2_2.7b,verified,attn,2,512,0,8,30,320,81,81,81,42.44
zamba2_2.7b,verified,attn,2,512,4096,8,30,320,68,68,68,15.127
zamba2_2.7b,verified,attn,4,256,0,8,30,320,68,68,68,55.12
zamba2_2.7b,verified,attn,4,256,4096,8,30,320,68,68,68,26.097
zamba2_2.7b,verified,attn,4,512,0,8,30,640,108,108,108,63.215
zamba2_2.7b,verified,attn,4,512,4096,8,30,640,108,108,108,23.315
zamba2_2.7b,verified,attn,8,256,0,8,30,640,94,94,94,78.606
zamba2_2.7b,verified,attn,8,256,4096,8,30,640,108,108,108,39.09
zamba2_2.7b,verified,attn,8,512,0,8,30,1280,108,108,108,75.018
zamba2_2.7b,verified,attn,8,512,4096,8,30,1280,108,108,108,23.501
zamba2_2.7b,verified,attn,16,256,0,8,30,1280,108,108,108,98.795
zamba2_2.7b,verified,attn,16,256,4096,8,30,1280,108,108,108,39.635
zamba2_2.7b,verified,attn,16,512,0,8,30,2560,108,108,108,83.993
zamba2_2.7b,verified,attn,16,512,4096,8,30,2560,108,108,108,24.293
zamba2_2.7b,verified,attn,32,256,0,8,30,2560,94,94,94,102.724
zamba2_2.7b,verified,attn,32,256,4096,8,30,2560,108,108,108,41.253
zamba2_2.7b,verified,attn,32,512,0,8,30,5120,108,108,108,87.605
zamba2_2.7b,verified,attn,32,512,4096,8,30,5120,108,108,108,24.351
