"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_2.7b,verified,ssm_full,128,2048,512,512,0,27,ok,30,20480,758.5185,85.9648,0.05164,48.071,2.358
zamba2_2.7b,verified,attn,1,2048,256,256,0,27,ok,30,128,4.7407,0.10342,0.00173,228.119,11.188
zamba2_2.7b,verified,attn,1,2048,256,256,4096,27,ok,30,128,4.7407,0.56218,0.00272,191.184,9.376
zamba2_2.7b,verified,attn,1,2048,512,512,0,27,ok,30,256,9.4815,0.12237,0.0041,385.607,18.912
zamba2_2.7b,verified,attn,1,2048,512,512,4096,27,ok,30,256,9.4815,1.05677,0.00448,124.031,6.083
zamba2_2.7b,verified,attn,8,2048,256,256,0,27,ok,30,1024,37.9259,0.25805,0.00258,731.429,35.872
zamba2_2.7b,verified,attn,8,2048,256,256,4096,27,ok,30,1024,37.9259,3.63315,0.00212,236.663,11.607
zamba2_2.7b,verified,attn,8,2048,512,512,0,27,ok,30,2048,75.8519,0.6871,0.00342,549.389,26.944
zamba2_2.7b,verified,attn,8,2048,512,512,4096,27,ok,30,2048,75.8519,7.42502,0.00151,141.222,6.926
zamba2_2.7b,verified,attn,32,2048,256,256,0,27,ok,30,4096,151.7037,0.92928,0.00203,812.43,39.845
zamba2_2.7b,verified,attn,32,2048,256,256,4096,27,ok,30,4096,151.7037,13.98579,0.23825,245.916,12.061
zamba2_2.7b,verified,attn,32,2048,512,512,0,27,ok,30,8192,303.4074,2.6153,0.00304,577.353,28.316
zamba2_2.7b,verified,attn,32,2048,512,512,4096,27,ok,30,8192,303.4074,29.31968,0.01128,143.054,7.016
zamba2_2.7b,verified,attn,128,2048,256,256,0,27,ok,30,16384,606.8148,3.60141,0.0022,838.533,41.125
zamba2_2.7b,verified,attn,128,2048,256,256,4096,27,ok,30,16384,606.8148,55.24787,0.01394,249.011,12.212
zamba2_2.7b,verified,attn,128,2048,512,512,0,27,ok,30,32768,1213.6296,10.31475,0.00399,585.55,28.717
zamba2_2.7b,verified,attn,128,2048,512,512,4096,27,ok,30,32768,1213.6296,116.68787,0.02814,143.779,7.051
zamba2_2.7b,verified,ssm,1,2048,256,256,0,40,ok,30,80,2.0,0.52736,0.00941,10.145,0.498
zamba2_2.7b,verified,ssm,1,2048,512,512,0,40,ok,30,160,4.0,0.5673,0.00796,18.86,0.925
zamba2_2.7b,verified,ssm,8,2048,256,256,0,40,ok,30,640,16.0,0.78797,0.00637,54.311,2.664
zamba2_2.7b,verified,ssm,8,2048,512,512,0,40,ok,30,1280,32.0,1.0839,0.00571,78.965,3.873
zamba2_2.7b,verified,ssm,32,2048,256,256,0,40,ok,30,2560,64.0,1.66912,0.03402,102.557,5.03
zamba2_2.7b,verified,ssm,32,2048,512,512,0,40,ok,30,5120,128.0,3.0976,0.02952,110.524,5.421
zamba2_2.7b,verified,ssm,128,2048,256,256,0,40,ok,30,10240,256.0,6.1225,0.07765,111.837,5.485
zamba2_2.7b,verified,ssm,128,2048,512,512,0,40,ok,30,20480,512.0,11.93984,0.04143,114.695,5.625
zamba2_2.7b,verified,ssm_full,1,2048,256,256,0,40,ok,30,80,2.0,0.6441,0.00621,146.684,7.194
zamba2_2.7b,verified,ssm_full,1,2048,512,512,0,40,ok,30,160,4.0,0.73523,0.18978,150.04,7.358
