"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_1.2b,verified,ssm,1,2048,256,256,0,14,ok,30,64,4.5714,0.57549,0.00877,7.574,0.371
zamba2_1.2b,verified,ssm,1,2048,512,512,0,14,ok,30,128,9.1429,0.66509,0.00588,13.106,0.643
zamba2_1.2b,verified,ssm,2,2048,256,256,0,14,ok,30,128,9.1429,0.66253,0.00677,13.157,0.645
zamba2_1.2b,verified,ssm,2,2048,512,512,0,14,ok,30,256,18.2857,0.8448,0.008,20.636,1.012
zamba2_1.2b,verified,ssm,4,2048,256,256,0,14,ok,30,256,18.2857,0.84122,0.00602,20.724,1.016
zamba2_1.2b,verified,ssm,4,2048,512,512,0,14,ok,30,512,36.5714,1.19347,0.00692,29.214,1.433
zamba2_1.2b,verified,ssm,8,2048,256,256,0,14,ok,30,512,36.5714,1.18938,0.00709,29.314,1.438
zamba2_1.2b,verified,ssm,8,2048,512,512,0,14,ok,30,1024,73.1429,2.04749,0.00428,34.057,1.67
zamba2_1.2b,verified,ssm,16,2048,256,256,0,14,ok,30,1024,73.1429,2.0649,0.0051,33.77,1.656
zamba2_1.2b,verified,ssm,16,2048,512,512,0,14,ok,30,2048,146.2857,3.88813,0.05861,35.868,1.759
zamba2_1.2b,verified,ssm,32,2048,256,256,0,14,ok,30,2048,146.2857,3.91424,0.00707,35.629,1.747
zamba2_1.2b,verified,ssm,32,2048,512,512,0,14,ok,30,4096,292.5714,7.65235,0.00401,36.449,1.788
zamba2_1.2b,verified,ssm,64,2048,256,256,0,14,ok,30,4096,292.5714,7.71123,0.02093,36.171,1.774
zamba2_1.2b,verified,ssm,64,2048,512,512,0,14,ok,30,8192,585.1429,15.2919,0.00406,36.48,1.789
zamba2_1.2b,verified,ssm,128,2048,256,256,0,14,ok,30,8192,585.1429,15.43117,0.06351,36.15,1.773
zamba2_1.2b,verified,ssm,128,2048,512,512,0,14,ok,30,16384,1170.2857,30.4512,0.01832,36.638,1.797
zamba2_1.2b,verified,ssm,256,2048,256,256,0,14,ok,30,16384,1170.2857,30.73075,0.05771,36.305,1.781
zamba2_1.2b,verified,ssm,256,2048,512,512,0,14,ok,30,32768,2340.5714,60.77798,0.05667,36.713,1.801
zamba2_1.2b,verified,ssm,512,2048,256,256,0,14,ok,30,32768,2340.5714,61.48147,0.05802,36.293,1.78
zamba2_1.2b,verified,ssm,512,2048,512,512,0,14,ok,30,65536,4681.1429,121.84115,0.05768,36.628,1.796
zamba2_1.2b,verified,ssm_full,1,2048,256,256,0,14,ok,30,64,4.5714,0.7552,0.00756,83.526,4.096
zamba2_1.2b,verified,ssm_full,1,2048,512,512,0,14,ok,30,128,9.1429,1.06598,0.00198,71.132,3.489
zamba2_1.2b,verified,ssm_full,2,2048,256,256,0,14,ok,30,128,9.1429,1.06803,0.00115,70.996,3.482
zamba2_1.2b,verified,ssm_full,2,2048,512,512,0,14,ok,30,256,18.2857,2.02957,0.00261,49.921,2.448
zamba2_1.2b,verified,ssm_full,4,2048,256,256,0,14,ok,30,256,18.2857,2.03878,0.00177,49.696,2.437
