"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,ssm_full,128,2048,256,256,0,27,ok,30,12288,455.1111,24.94874,0.02007,54.092,2.653
falcon_h1_1.5b,verified,ssm_full,128,2048,512,512,0,27,ok,30,24576,910.2222,49.45203,0.01291,53.816,2.639
falcon_h1_1.5b,verified,attn,1,2048,256,256,0,27,ok,30,32,1.1852,0.05222,0.00175,90.353,4.431
falcon_h1_1.5b,verified,attn,1,2048,256,256,4096,27,ok,30,32,1.1852,0.15002,0.00288,59.413,2.914
falcon_h1_1.5b,verified,attn,1,2048,512,512,0,27,ok,30,64,2.3704,0.07578,0.00183,124.541,6.108
falcon_h1_1.5b,verified,attn,1,2048,512,512,4096,27,ok,30,64,2.3704,0.24371,0.00194,55.933,2.743
falcon_h1_1.5b,verified,attn,8,2048,256,256,0,27,ok,30,256,9.4815,0.07168,0.00302,526.629,25.828
falcon_h1_1.5b,verified,attn,8,2048,256,256,4096,27,ok,30,256,9.4815,0.76595,0.00162,93.091,4.566
falcon_h1_1.5b,verified,attn,8,2048,512,512,0,27,ok,30,512,18.963,0.1536,0.00362,491.52,24.106
falcon_h1_1.5b,verified,attn,8,2048,512,512,4096,27,ok,30,512,18.963,1.55955,0.00183,69.925,3.429
falcon_h1_1.5b,verified,attn,32,2048,256,256,0,27,ok,30,1024,37.9259,0.19149,0.00233,788.535,38.673
falcon_h1_1.5b,verified,attn,32,2048,256,256,4096,27,ok,30,1024,37.9259,2.77197,0.0014,102.892,5.046
falcon_h1_1.5b,verified,attn,32,2048,512,512,0,27,ok,30,2048,75.8519,0.50278,0.00236,600.635,29.457
falcon_h1_1.5b,verified,attn,32,2048,512,512,4096,27,ok,30,2048,75.8519,5.66579,0.00168,76.99,3.776
falcon_h1_1.5b,verified,attn,128,2048,256,256,0,27,ok,30,4096,151.7037,0.66458,0.00237,908.82,44.572
falcon_h1_1.5b,verified,attn,128,2048,256,256,4096,27,ok,30,4096,151.7037,10.66906,0.00258,106.931,5.244
falcon_h1_1.5b,verified,attn,128,2048,512,512,0,27,ok,30,8192,303.4074,1.88928,0.00379,639.376,31.357
falcon_h1_1.5b,verified,attn,128,2048,512,512,4096,27,ok,30,8192,303.4074,22.36621,0.00855,78.012,3.826
falcon_h1_1.5b,verified,ssm,1,2048,256,256,0,40,ok,30,96,2.4,0.50688,0.00854,6.772,0.332
falcon_h1_1.5b,verified,ssm,1,2048,512,512,0,40,ok,30,192,4.8,0.52787,0.00689,13.005,0.638
falcon_h1_1.5b,verified,ssm,8,2048,256,256,0,40,ok,30,768,19.2,0.67891,0.00635,40.447,1.984
falcon_h1_1.5b,verified,ssm,8,2048,512,512,0,40,ok,30,1536,38.4,0.95642,0.00237,57.422,2.816
falcon_h1_1.5b,verified,ssm,32,2048,256,256,0,40,ok,30,3072,76.8,1.72237,0.00343,63.772,3.128
falcon_h1_1.5b,verified,ssm,32,2048,512,512,0,40,ok,30,6144,153.6,3.2215,0.05892,68.191,3.344
falcon_h1_1.5b,verified,ssm,128,2048,256,256,0,40,ok,30,12288,307.2,6.5024,0.01246,67.568,3.314
falcon_h1_1.5b,verified,ssm,128,2048,512,512,0,40,ok,30,24576,614.4,12.55834,0.01178,69.97,3.432
