"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,bw_util_pct,scan_share_pct; metadata=model,config_status,layer_type,component,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status"
model__metadata,config_status__metadata,layer_type__metadata,component__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived,n_blocks_per_call__derived,status__metadata,scan_share_pct__derived
zamba2_1.2b,verified,ssm,in_proj,1,2048,256,256,0,108,0.07168,0.01014,541.257,26.545,,ok,82.747
zamba2_1.2b,verified,ssm,scan,1,2048,256,256,0,108,0.50586,0.00958,8.616,0.423,64,ok,82.747
zamba2_1.2b,verified,ssm,out_proj,1,2048,256,256,0,108,0.03379,0.00254,589.576,28.915,,ok,82.747
zamba2_1.2b,verified,ssm,attn,1,2048,256,256,0,108,0.03482,0.00262,542.118,26.587,128,ok,82.747
zamba2_1.2b,verified,ssm,in_proj,1,2048,512,512,0,108,0.13619,0.00314,323.368,15.859,,ok,72.359
zamba2_1.2b,verified,ssm,scan,1,2048,512,512,0,108,0.512,0.00656,17.025,0.835,128,ok,72.359
zamba2_1.2b,verified,ssm,out_proj,1,2048,512,512,0,108,0.05939,0.0023,388.414,19.049,,ok,72.359
zamba2_1.2b,verified,ssm,attn,1,2048,512,512,0,108,0.04608,0.00245,819.2,40.177,256,ok,72.359
zamba2_1.2b,verified,ssm,in_proj,1,2048,full,2048,0,108,0.33178,0.00353,227.556,11.16,,ok,49.033
zamba2_1.2b,verified,ssm,scan,1,2048,full,2048,0,108,0.51917,0.01565,67.157,3.294,512,ok,49.033
zamba2_1.2b,verified,ssm,out_proj,1,2048,full,2048,0,108,0.20787,0.00253,201.773,9.896,,ok,49.033
zamba2_1.2b,verified,ssm,attn,1,2048,full,2048,0,108,0.25242,0.0061,598.199,29.338,1024,ok,49.033
zamba2_1.2b,verified,ssm,in_proj,2,2048,256,256,0,108,0.13568,0.0033,324.589,15.919,,ok,72.291
zamba2_1.2b,verified,ssm,scan,2,2048,256,256,0,108,0.50893,0.00668,17.128,0.84,128,ok,72.291
zamba2_1.2b,verified,ssm,out_proj,2,2048,256,256,0,108,0.05939,0.00256,388.414,19.049,,ok,72.291
zamba2_1.2b,verified,ssm,attn,2,2048,256,256,0,108,0.03686,0.00262,1024.0,50.221,256,ok,72.291
zamba2_1.2b,verified,ssm,in_proj,2,2048,512,512,0,108,0.2007,0.00331,271.673,13.324,,ok,63.763
zamba2_1.2b,verified,ssm,scan,2,2048,512,512,0,108,0.51712,0.00738,33.712,1.653,256,ok,63.763
zamba2_1.2b,verified,ssm,out_proj,2,2048,512,512,0,108,0.09318,0.00266,315.077,15.453,,ok,63.763
zamba2_1.2b,verified,ssm,attn,2,2048,512,512,0,108,0.05734,0.00262,1316.571,64.569,512,ok,63.763
zamba2_1.2b,verified,ssm,in_proj,2,2048,full,2048,0,108,0.65331,0.0033,179.762,8.816,,ok,34.808
zamba2_1.2b,verified,ssm,scan,2,2048,full,2048,0,108,0.51558,0.02402,135.246,6.633,1024,ok,34.808
zamba2_1.2b,verified,ssm,out_proj,2,2048,full,2048,0,108,0.31232,0.00253,214.872,10.538,,ok,34.808
zamba2_1.2b,verified,ssm,attn,2,2048,full,2048,0,108,0.42854,0.00736,704.688,34.56,2048,ok,34.808
zamba2_1.2b,verified,ssm,in_proj,4,2048,256,256,0,108,0.2007,0.00346,271.673,13.324,,ok,63.991
zamba2_1.2b,verified,ssm,scan,4,2048,256,256,0,108,0.52224,0.00868,33.381,1.637,256,ok,63.991
zamba2_1.2b,verified,ssm,out_proj,4,2048,256,256,0,108,0.09318,0.00266,315.077,15.453,,ok,63.991
zamba2_1.2b,verified,ssm,attn,4,2048,256,256,0,108,0.04301,0.00249,1755.429,86.093,512,ok,63.991
zamba2_1.2b,verified,ssm,in_proj,4,2048,512,512,0,108,0.33178,0.00311,227.556,11.16,,ok,49.666
zamba2_1.2b,verified,ssm,scan,4,2048,512,512,0,108,0.53248,0.01237,65.478,3.211,512,ok,49.666
zamba2_1.2b,verified,ssm,out_proj,4,2048,512,512,0,108,0.20787,0.00256,201.773,9.896,,ok,49.666
zamba2_1.2b,verified,ssm,attn,4,2048,512,512,0,108,0.09318,0.00311,1620.396,79.47,1024,ok,49.666
zamba2_1.2b,verified,ssm,in_proj,4,2048,full,2048,0,108,1.23085,0.00532,163.567,8.022,,ok,24.721
zamba2_1.2b,verified,ssm,scan,4,2048,full,2048,0,108,0.57856,0.0425,241.048,11.822,2048,ok,24.721
zamba2_1.2b,verified,ssm,out_proj,4,2048,full,2048,0,108,0.53094,0.00596,221.192,10.848,,ok,24.721
zamba2_1.2b,verified,ssm,attn,4,2048,full,2048,0,108,0.82534,0.01033,731.792,35.89,4096,ok,24.721
zamba2_1.2b,verified,ssm,in_proj,8,2048,256,256,0,108,0.27341,0.00324,276.135,13.543,,ok,51.869
zamba2_1.2b,verified,ssm,scan,8,2048,256,256,0,108,0.51866,0.01154,67.223,3.297,512,ok,51.869
zamba2_1.2b,verified,ssm,out_proj,8,2048,256,256,0,108,0.20787,0.00265,201.773,9.896,,ok,51.869
zamba2_1.2b,verified,ssm,attn,8,2048,256,256,0,108,0.06861,0.00269,2200.836,107.937,1024,ok,51.869
zamba2_1.2b,verified,ssm,in_proj,8,2048,512,512,0,108,0.65331,0.00343,179.762,8.816,,ok,35.122
zamba2_1.2b,verified,ssm,scan,8,2048,512,512,0,108,0.52275,0.02298,133.392,6.542,1024,ok,35.122
zamba2_1.2b,verified,ssm,out_proj,8,2048,512,512,0,108,0.31232,0.00244,214.872,10.538,,ok,35.122
zamba2_1.2b,verified,ssm,attn,8,2048,512,512,0,108,0.15565,0.00348,1940.211,95.155,2048,ok,35.122
zamba2_1.2b,verified,ssm,in_proj,8,2048,full,2048,0,108,2.45146,0.00728,150.563,7.384,,ok,24.262
zamba2_1.2b,verified,ssm,scan,8,2048,full,2048,0,108,1.14074,0.02477,244.51,11.992,4096,ok,24.262
zamba2_1.2b,verified,ssm,out_proj,8,2048,full,2048,0,108,1.1095,0.0229,196.578,9.641,,ok,24.262
zamba2_1.2b,verified,ssm,attn,8,2048,full,2048,0,108,1.56928,0.00893,769.754,37.752,8192,ok,24.262
zamba2_1.2b,verified,ssm,in_proj,16,2048,256,256,0,108,0.65229,0.00427,180.044,8.83,,ok,35.016
zamba2_1.2b,verified,ssm,scan,16,2048,256,256,0,108,0.51866,0.02416,134.445,6.594,1024,ok,35.016
zamba2_1.2b,verified,ssm,out_proj,16,2048,256,256,0,108,0.31027,0.00247,216.29,10.608,,ok,35.016
zamba2_1.2b,verified,ssm,attn,16,2048,256,256,0,108,0.11469,0.00265,2633.143,129.139,2048,ok,35.016
zamba2_1.2b,verified,ssm,in_proj,16,2048,512,512,0,108,1.23494,0.00483,163.025,7.995,,ok,25.163
zamba2_1.2b,verified,ssm,scan,16,2048,512,512,0,108,0.59187,0.04115,235.627,11.556,2048,ok,25.163
zamba2_1.2b,verified,ssm,out_proj,16,2048,512,512,0,108,0.52531,0.00327,223.563,10.964,,ok,25.163
zamba2_1.2b,verified,ssm,attn,16,2048,512,512,0,108,0.29594,0.00356,2040.914,100.094,4096,ok,25.163
zamba2_1.2b,verified,ssm,in_proj,16,2048,full,2048,0,108,4.85376,0.14776,145.175,7.12,,ok,26.466
zamba2_1.2b,verified,ssm,scan,16,2048,full,2048,0,108,2.52314,0.02558,221.091,10.843,8192,ok,26.466
zamba2_1.2b,verified,ssm,out_proj,16,2048,full,2048,0,108,2.15654,0.0097,194.492,9.539,,ok,26.466
zamba2_1.2b,verified,ssm,attn,16,2048,full,2048,0,108,3.08941,0.00808,782.001,38.352,16384,ok,26.466
zamba2_1.2b,verified,ssm,in_proj,32,2048,256,256,0,108,1.23392,0.00349,163.16,8.002,,ok,25.809
zamba2_1.2b,verified,ssm,scan,32,2048,256,256,0,108,0.61645,0.03519,226.233,11.095,2048,ok,25.809
zamba2_1.2b,verified,ssm,out_proj,32,2048,256,256,0,108,0.53811,0.01167,218.245,10.704,,ok,25.809
zamba2_1.2b,verified,ssm,attn,32,2048,256,256,0,108,0.21094,0.00318,2863.223,140.423,4096,ok,25.809
zamba2_1.2b,verified,ssm,in_proj,32,2048,512,512,0,108,2.43917,0.11187,151.322,7.421,,ok,24.842
zamba2_1.2b,verified,ssm,scan,32,2048,512,512,0,108,1.16736,0.05192,238.934,11.718,4096,ok,24.842
zamba2_1.2b,verified,ssm,out_proj,32,2048,512,512,0,108,1.09261,0.02392,199.618,9.79,,ok,24.842
zamba2_1.2b,verified,ssm,attn,32,2048,512,512,0,108,0.56371,0.00369,2142.866,105.094,8192,ok,24.842
zamba2_1.2b,verified,ssm,in_proj,32,2048,full,2048,0,108,8.77056,0.06646,156.858,7.693,,ok,29.191
zamba2_1.2b,verified,ssm,scan,32,2048,full,2048,0,108,5.38624,0.02564,207.136,10.159,16384,ok,29.191
zamba2_1.2b,verified,ssm,out_proj,32,2048,full,2048,0,108,4.29517,0.03977,191.397,9.387,,ok,29.191
zamba2_1.2b,verified,ssm,attn,32,2048,full,2048,0,108,6.16346,0.03198,783.949,38.448,32768,ok,29.191
zamba2_1.2b,verified,ssm,in_proj,64,2048,256,256,0,108,2.45043,0.00782,150.626,7.387,,ok,25.921
zamba2_1.2b,verified,ssm,scan,64,2048,256,256,0,108,1.21754,0.02516,229.087,11.235,4096,ok,25.921
