"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,bw_util_pct,scan_share_pct; metadata=model,config_status,layer_type,component,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status"
model__metadata,config_status__metadata,layer_type__metadata,component__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived,n_blocks_per_call__derived,status__metadata,scan_share_pct__derived
zamba2_2.7b,verified,ssm,attn,8,2048,full,2048,0,108,2.16064,0.01722,698.844,34.274,8192,ok,17.051
zamba2_2.7b,verified,ssm,in_proj,16,2048,256,256,0,108,0.96154,0.00378,163.578,8.022,,ok,27.418
zamba2_2.7b,verified,ssm,scan,16,2048,256,256,0,108,0.51098,0.02628,167.504,8.215,1280,ok,27.418
zamba2_2.7b,verified,ssm,out_proj,16,2048,256,256,0,108,0.39117,0.0024,227.853,11.175,,ok,27.418
zamba2_2.7b,verified,ssm,attn,16,2048,256,256,0,108,0.16589,0.00285,2275.556,111.602,2048,ok,27.418
zamba2_2.7b,verified,ssm,in_proj,16,2048,512,512,0,108,1.90771,0.00413,137.413,6.739,,ok,17.674
zamba2_2.7b,verified,ssm,scan,16,2048,512,512,0,108,0.58675,0.047,291.743,14.308,2560,ok,17.674
zamba2_2.7b,verified,ssm,out_proj,16,2048,512,512,0,108,0.82534,0.0261,184.218,9.035,,ok,17.674
zamba2_2.7b,verified,ssm,attn,16,2048,512,512,0,108,0.42854,0.0047,1761.72,86.401,4096,ok,17.674
zamba2_2.7b,verified,ssm,in_proj,16,2048,full,2048,0,108,6.80346,0.3423,131.005,6.425,,ok,19.545
zamba2_2.7b,verified,ssm,scan,16,2048,full,2048,0,108,2.47091,0.02451,277.113,13.591,10240,ok,19.545
zamba2_2.7b,verified,ssm,out_proj,16,2048,full,2048,0,108,3.36794,0.02162,157.227,7.711,,ok,19.545
zamba2_2.7b,verified,ssm,attn,16,2048,full,2048,0,108,4.27315,0.04536,706.715,34.66,16384,ok,19.545
zamba2_2.7b,verified,ssm,in_proj,32,2048,256,256,0,108,1.90771,0.00561,137.413,6.739,,ok,18.025
zamba2_2.7b,verified,ssm,scan,32,2048,256,256,0,108,0.60006,0.04492,285.27,13.991,2560,ok,18.025
zamba2_2.7b,verified,ssm,out_proj,32,2048,256,256,0,108,0.82125,0.02166,185.137,9.08,,ok,18.025
zamba2_2.7b,verified,ssm,attn,32,2048,256,256,0,108,0.32563,0.00344,2318.491,113.707,4096,ok,18.025
zamba2_2.7b,verified,ssm,in_proj,32,2048,512,512,0,108,3.70176,0.01735,127.469,6.252,,ok,17.581
zamba2_2.7b,verified,ssm,scan,32,2048,512,512,0,108,1.152,0.02784,297.188,14.575,5120,ok,17.581
zamba2_2.7b,verified,ssm,out_proj,32,2048,512,512,0,108,1.69882,0.02814,163.568,8.022,,ok,17.581
zamba2_2.7b,verified,ssm,attn,32,2048,512,512,0,108,0.81408,0.00583,1854.792,90.966,8192,ok,17.581
zamba2_2.7b,verified,ssm,in_proj,32,2048,full,2048,0,108,13.58848,0.22187,127.325,6.244,,ok,20.17
zamba2_2.7b,verified,ssm,scan,32,2048,full,2048,0,108,5.14714,0.01905,266.059,13.048,20480,ok,20.17
zamba2_2.7b,verified,ssm,out_proj,32,2048,full,2048,0,108,6.78349,0.10928,152.259,7.467,,ok,20.17
zamba2_2.7b,verified,ssm,attn,32,2048,full,2048,0,108,8.41933,0.02073,717.373,35.183,32768,ok,20.17
zamba2_2.7b,verified,ssm,in_proj,64,2048,256,256,0,108,3.44064,0.01822,137.143,6.726,,ok,18.781
zamba2_2.7b,verified,ssm,scan,64,2048,256,256,0,108,1.18374,0.02559,289.218,14.184,5120,ok,18.781
zamba2_2.7b,verified,ssm,out_proj,64,2048,256,256,0,108,1.67834,0.02247,165.564,8.12,,ok,18.781
zamba2_2.7b,verified,ssm,attn,64,2048,256,256,0,108,0.66355,0.00564,2275.556,111.602,8192,ok,18.781
zamba2_2.7b,verified,ssm,in_proj,64,2048,512,512,0,108,6.80602,0.36614,130.956,6.423,,ok,19.792
zamba2_2.7b,verified,ssm,scan,64,2048,512,512,0,108,2.50522,0.02477,273.318,13.405,10240,ok,19.792
zamba2_2.7b,verified,ssm,out_proj,64,2048,512,512,0,108,3.34643,0.22897,158.237,7.761,,ok,19.792
zamba2_2.7b,verified,ssm,attn,64,2048,512,512,0,108,1.58618,0.00742,1903.886,93.374,16384,ok,19.792
zamba2_2.7b,verified,ssm,in_proj,64,2048,full,2048,0,108,27.16467,0.52589,125.452,6.153,,ok,21.027
zamba2_2.7b,verified,ssm,scan,64,2048,full,2048,0,108,10.79091,0.03832,253.814,12.448,40960,ok,21.027
zamba2_2.7b,verified,ssm,out_proj,64,2048,full,2048,0,108,13.3632,0.0576,152.619,7.485,,ok,21.027
zamba2_2.7b,verified,ssm,attn,64,2048,full,2048,0,108,16.79667,0.12189,719.166,35.271,65536,ok,21.027
zamba2_2.7b,verified,ssm,in_proj,128,2048,256,256,0,108,6.80243,0.22753,131.025,6.426,,ok,20.174
zamba2_2.7b,verified,ssm,scan,128,2048,256,256,0,108,2.56819,0.02399,266.616,13.076,10240,ok,20.174
zamba2_2.7b,verified,ssm,out_proj,128,2048,256,256,0,108,3.35974,0.02225,157.61,7.73,,ok,20.174
zamba2_2.7b,verified,ssm,attn,128,2048,256,256,0,108,1.3097,0.01107,2305.801,113.085,16384,ok,20.174
zamba2_2.7b,verified,ssm,in_proj,128,2048,512,512,0,108,13.59053,0.13895,127.306,6.244,,ok,20.499
zamba2_2.7b,verified,ssm,scan,128,2048,512,512,0,108,5.24544,0.18937,261.073,12.804,20480,ok,20.499
zamba2_2.7b,verified,ssm,out_proj,128,2048,512,512,0,108,6.75277,0.05757,152.952,7.501,,ok,20.499
zamba2_2.7b,verified,ssm,attn,128,2048,512,512,0,108,3.17389,0.01871,1902.965,93.328,32768,ok,20.499
zamba2_2.7b,verified,ssm,in_proj,128,2048,full,2048,0,108,54.25152,0.56815,124.666,6.114,,ok,21.14
zamba2_2.7b,verified,ssm,scan,128,2048,full,2048,0,108,21.7001,0.11031,252.43,12.38,81920,ok,21.14
zamba2_2.7b,verified,ssm,out_proj,128,2048,full,2048,0,108,26.69619,0.26622,151.81,7.445,,ok,21.14
zamba2_2.7b,verified,ssm,attn,128,2048,full,2048,0,108,33.39622,0.34078,723.411,35.479,131072,ok,21.14
zamba2_2.7b,verified,ssm,in_proj,256,2048,256,256,0,108,13.59155,0.28359,127.296,6.243,,ok,20.774
zamba2_2.7b,verified,ssm,scan,256,2048,256,256,0,108,5.35603,0.18955,255.682,12.54,20480,ok,20.774
zamba2_2.7b,verified,ssm,out_proj,256,2048,256,256,0,108,6.8352,0.06509,151.107,7.411,,ok,20.774
zamba2_2.7b,verified,ssm,attn,256,2048,256,256,0,108,2.6327,0.00556,2294.142,112.513,32768,ok,20.774
zamba2_2.7b,verified,ssm,in_proj,256,2048,512,512,0,108,27.48058,0.32194,124.01,6.082,,ok,21.235
zamba2_2.7b,verified,ssm,scan,256,2048,512,512,0,108,11.05203,0.01915,247.817,12.154,40960,ok,21.235
zamba2_2.7b,verified,ssm,out_proj,256,2048,512,512,0,108,13.51322,0.07682,150.925,7.402,,ok,21.235
zamba2_2.7b,verified,ssm,attn,256,2048,512,512,0,108,6.41536,0.00514,1882.918,92.345,65536,ok,21.235
zamba2_2.7b,verified,ssm,in_proj,256,2048,full,2048,0,108,110.40512,0.8309,122.043,5.985,,ok,20.973
zamba2_2.7b,verified,ssm,scan,256,2048,full,2048,0,108,43.63674,0.20423,251.062,12.313,163840,ok,20.973
zamba2_2.7b,verified,ssm,out_proj,256,2048,full,2048,0,108,54.02317,0.38257,149.552,7.335,,ok,20.973
zamba2_2.7b,verified,ssm,attn,256,2048,full,2048,0,108,67.88608,0.59575,711.757,34.907,262144,ok,20.973
zamba2_2.7b,verified,ssm,in_proj,512,2048,256,256,0,108,27.48006,0.46003,124.013,6.082,,ok,21.636
zamba2_2.7b,verified,ssm,scan,512,2048,256,256,0,108,11.27834,0.05275,242.844,11.91,40960,ok,21.636
zamba2_2.7b,verified,ssm,out_proj,512,2048,256,256,0,108,13.36832,0.22338,152.561,7.482,,ok,21.636
zamba2_2.7b,verified,ssm,attn,512,2048,256,256,0,108,5.18554,0.00734,2329.479,114.246,65536,ok,21.636
zamba2_2.7b,verified,ssm,in_proj,512,2048,512,512,0,108,54.87616,0.61304,123.247,6.044,,ok,21.329
zamba2_2.7b,verified,ssm,scan,512,2048,512,512,0,108,22.11994,0.09207,247.639,12.145,81920,ok,21.329
zamba2_2.7b,verified,ssm,out_proj,512,2048,512,512,0,108,26.7136,0.24833,151.711,7.44,,ok,21.329
zamba2_2.7b,verified,ssm,attn,512,2048,512,512,0,108,12.63565,0.24136,1911.987,93.771,131072,ok,21.329
zamba2_2.7b,verified,ssm,in_proj,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
zamba2_2.7b,verified,ssm,scan,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
zamba2_2.7b,verified,ssm,out_proj,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
zamba2_2.7b,verified,ssm,attn,512,2048,full,,0,108,,,,,,failed:AcceleratorError: CUDA error: an illegal,
