"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,bw_util_pct,scan_share_pct; metadata=model,config_status,layer_type,component,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status"
model__metadata,config_status__metadata,layer_type__metadata,component__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived,n_blocks_per_call__derived,status__metadata,scan_share_pct__derived
falcon_h1_1.5b,verified,ssm,out_proj,8,2048,full,2048,0,108,0.82022,0.02567,219.885,10.784,,ok,34.106
falcon_h1_1.5b,verified,ssm,attn,8,2048,full,2048,0,108,0.45773,0.00974,659.758,32.357,2048,ok,34.106
falcon_h1_1.5b,verified,ssm,in_proj,16,2048,256,256,0,108,0.51763,0.00315,178.263,8.743,,ok,40.644
falcon_h1_1.5b,verified,ssm,scan,16,2048,256,256,0,108,0.51712,0.01573,106.203,5.209,1536,ok,40.644
falcon_h1_1.5b,verified,ssm,out_proj,16,2048,256,256,0,108,0.23757,0.00258,229.517,11.256,,ok,40.644
falcon_h1_1.5b,verified,ssm,attn,16,2048,256,256,0,108,0.04198,0.00286,1798.244,88.192,512,ok,40.644
falcon_h1_1.5b,verified,ssm,in_proj,16,2048,512,512,0,108,0.96461,0.00337,165.231,8.104,,ok,33.697
falcon_h1_1.5b,verified,ssm,scan,16,2048,512,512,0,108,0.69478,0.02538,158.09,7.753,3072,ok,33.697
falcon_h1_1.5b,verified,ssm,out_proj,16,2048,512,512,0,108,0.40243,0.00441,239.715,11.756,,ok,33.697
falcon_h1_1.5b,verified,ssm,attn,16,2048,512,512,0,108,0.09523,0.00328,1585.548,77.761,1024,ok,33.697
falcon_h1_1.5b,verified,ssm,in_proj,16,2048,full,2048,0,108,3.29933,0.11376,170.349,8.355,,ok,40.859
falcon_h1_1.5b,verified,ssm,scan,16,2048,full,2048,0,108,3.42477,0.02468,128.287,6.292,12288,ok,40.859
falcon_h1_1.5b,verified,ssm,out_proj,16,2048,full,2048,0,108,1.65786,0.02664,209.986,10.298,,ok,40.859
falcon_h1_1.5b,verified,ssm,attn,16,2048,full,2048,0,108,0.8576,0.02423,704.267,34.54,4096,ok,40.859
falcon_h1_1.5b,verified,ssm,in_proj,32,2048,256,256,0,108,0.96461,0.00356,165.231,8.104,,ok,34.683
falcon_h1_1.5b,verified,ssm,scan,32,2048,256,256,0,108,0.72806,0.02491,150.864,7.399,3072,ok,34.683
falcon_h1_1.5b,verified,ssm,out_proj,32,2048,256,256,0,108,0.40653,0.00689,237.3,11.638,,ok,34.683
falcon_h1_1.5b,verified,ssm,attn,32,2048,256,256,0,108,0.06963,0.00297,2168.471,106.35,1024,ok,34.683
falcon_h1_1.5b,verified,ssm,in_proj,32,2048,512,512,0,108,1.85754,0.00413,158.06,7.752,,ok,34.902
falcon_h1_1.5b,verified,ssm,scan,32,2048,512,512,0,108,1.43565,0.02451,153.016,7.504,6144,ok,34.902
falcon_h1_1.5b,verified,ssm,out_proj,32,2048,512,512,0,108,0.82022,0.02437,219.885,10.784,,ok,34.902
falcon_h1_1.5b,verified,ssm,attn,32,2048,512,512,0,108,0.16282,0.00379,1854.792,90.966,2048,ok,34.902
falcon_h1_1.5b,verified,ssm,in_proj,32,2048,full,2048,0,108,6.58637,0.02123,166.846,8.183,,ok,41.176
falcon_h1_1.5b,verified,ssm,scan,32,2048,full,2048,0,108,6.87206,0.02248,127.867,6.271,24576,ok,41.176
falcon_h1_1.5b,verified,ssm,out_proj,32,2048,full,2048,0,108,3.23123,0.01891,211.582,10.377,,ok,41.176
falcon_h1_1.5b,verified,ssm,attn,32,2048,full,2048,0,108,1.56774,0.00881,770.508,37.789,8192,ok,41.176
falcon_h1_1.5b,verified,ssm,in_proj,64,2048,256,256,0,108,1.85754,0.00343,158.06,7.752,,ok,35.819
falcon_h1_1.5b,verified,ssm,scan,64,2048,256,256,0,108,1.49504,0.02414,146.937,7.206,6144,ok,35.819
falcon_h1_1.5b,verified,ssm,out_proj,64,2048,256,256,0,108,0.82125,0.02064,219.611,10.771,,ok,35.819
falcon_h1_1.5b,verified,ssm,attn,64,2048,256,256,0,108,0.11878,0.00304,2542.345,124.686,2048,ok,35.819
falcon_h1_1.5b,verified,ssm,in_proj,64,2048,512,512,0,108,3.64237,0.00374,154.305,7.568,,ok,40.34
