sm_count,sm_ratio,seq_len,batch_size,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,n_blocks,waves,analytical
14,0.12962962962962962,512,1,2.0848639011383057,2.163425297737121,13.124049001501163,2000,0.6562024500750582,falcon_h1,ssm,48,4,True
14,0.12962962962962962,512,4,3.6341761350631714,3.741767799854279,52.702445033438295,2000,2.635122251671915,falcon_h1,ssm,192,14,True
14,0.12962962962962962,512,16,3.5622400790452957,3.710150375962258,211.22556967066015,2000,10.561278483533007,falcon_h1,ssm,768,55,True
14,0.12962962962962962,512,32,7.561898549397786,7.682198111216228,212.27422436937715,2000,10.613711218468858,falcon_h1,ssm,1536,110,True
14,0.12962962962962962,512,64,16.872695232259815,16.98921844877046,196.83247656934725,2000,9.841623828467363,falcon_h1,ssm,3072,220,True
14,0.12962962962962962,1024,1,3.5840001702308655,3.655751562118531,26.720279980854805,2000,1.3360139990427404,falcon_h1,ssm,96,7,True
14,0.12962962962962962,1024,4,3.64134418964386,3.7345997452735906,105.19712173582386,2000,5.259856086791192,falcon_h1,ssm,384,28,True
14,0.12962962962962962,1024,16,7.29907206694285,7.40427818218867,219.91783813221824,2000,10.995891906610913,falcon_h1,ssm,1536,110,True
14,0.12962962962962962,1024,32,16.391062078804804,16.539124735470473,202.61618026936807,2000,10.130809013468403,falcon_h1,ssm,3072,220,True
14,0.12962962962962962,1024,64,32.977803690391674,33.100124796900836,204.48167610619282,2000,10.224083805309641,falcon_h1,ssm,6144,439,True
14,0.12962962962962962,2048,1,3.648511826992035,3.771013041138649,52.49536717492409,2000,2.6247683587462047,falcon_h1,ssm,192,14,True
14,0.12962962962962962,2048,4,3.6185600981116295,3.711065574735402,207.9380111422397,2000,10.396900557111985,falcon_h1,ssm,768,55,True
14,0.12962962962962962,2048,16,16.142477167063745,16.24362088894022,205.73635350971426,2000,10.286817675485713,falcon_h1,ssm,3072,220,True
14,0.12962962962962962,2048,32,32.57953028929861,32.768967779477435,206.9813933176093,2000,10.349069665880466,falcon_h1,ssm,6144,439,True
14,0.12962962962962962,2048,64,64.65431455980267,64.80424535433453,208.5972471999105,2000,10.429862359995525,falcon_h1,ssm,12288,878,True
14,0.12962962962962962,4096,1,3.6700159907341003,3.7848473906517026,104.37527492172535,2000,5.2187637460862675,falcon_h1,ssm,384,28,True
14,0.12962962962962962,4096,4,7.1113386154174805,7.17997399886449,225.7234869751872,2000,11.28617434875936,falcon_h1,ssm,1536,110,True
14,0.12962962962962962,4096,16,32.240405894162365,32.406023845337984,209.15855076543164,2000,10.457927538271582,falcon_h1,ssm,6144,439,True
14,0.12962962962962962,4096,32,64.18112251214814,64.63854491919803,210.13518475341684,2000,10.506759237670842,falcon_h1,ssm,12288,878,True
14,0.12962962962962962,4096,64,127.87327599107174,128.0234433669375,210.9387028324397,2000,10.546935141621985,falcon_h1,ssm,24576,1756,True
14,0.12962962962962962,8192,1,3.604479990899563,3.6893118172883987,208.7502751852469,2000,10.437513759262345,falcon_h1,ssm,768,55,True
14,0.12962962962962962,8192,4,16.080330486955315,16.18963096059602,206.5314759332624,2000,10.326573796663121,falcon_h1,ssm,3072,220,True
14,0.12962962962962962,8192,16,64.08648263362416,64.22843877892745,210.44550242949168,2000,10.522275121474584,falcon_h1,ssm,12288,878,True
14,0.12962962962962962,8192,32,127.7076617123788,127.89702020745528,211.21225306936051,2000,10.560612653468025,falcon_h1,ssm,24576,1756,True
14,0.12962962962962962,8192,64,256.1783335083409,256.54896330908724,210.5232060901887,2000,10.526160304509434,falcon_h1,ssm,49152,3511,True
14,0.12962962962962962,16384,1,7.118848005930582,7.1789226929346714,225.48538021827036,2000,11.274269010913518,falcon_h1,ssm,1536,110,True
14,0.12962962962962962,16384,4,32.208859267987705,32.33528235402024,209.36340889335636,2000,10.468170444667818,falcon_h1,ssm,6144,439,True
14,0.12962962962962962,16384,16,127.50260496976084,127.73951653329951,211.55193629877903,2000,10.577596814938952,falcon_h1,ssm,24576,1756,True
14,0.12962962962962962,16384,32,255.5002631555524,255.79205986148432,211.08191214732037,2000,10.554095607366017,falcon_h1,ssm,49152,3511,True
27,0.25,512,1,1.0424319505691528,1.0817126488685604,13.124049001501163,2000,0.6562024500750582,falcon_h1,ssm,48,2,True
27,0.25,512,4,2.076672077178955,2.1381530284881594,52.702445033438295,2000,2.635122251671915,falcon_h1,ssm,192,8,True
27,0.25,512,16,1.8782720416784286,1.956261107325554,211.22556967066015,2000,10.561278483533007,falcon_h1,ssm,768,29,True
27,0.25,512,32,3.9184383392333983,3.9807753849029544,212.27422436937715,2000,10.613711218468858,falcon_h1,ssm,1536,57,True
27,0.25,512,64,8.743123893080087,8.803504105271964,196.83247656934725,2000,9.841623828467363,falcon_h1,ssm,3072,114,True
27,0.25,1024,1,2.0480000972747803,2.0890008926391603,26.720279980854805,2000,1.3360139990427404,falcon_h1,ssm,96,4,True
27,0.25,1024,4,1.950720101594925,2.0006784349679947,105.19712173582386,2000,5.259856086791192,falcon_h1,ssm,384,15,True
27,0.25,1024,16,3.782246434688568,3.8367623307704926,219.91783813221824,2000,10.995891906610913,falcon_h1,ssm,1536,57,True
27,0.25,1024,32,8.493550349926126,8.570273726561974,202.61618026936807,2000,10.130809013468403,falcon_h1,ssm,3072,114,True
27,0.25,1024,64,17.127424240112305,17.19095319747925,204.48167610619282,2000,10.224083805309641,falcon_h1,ssm,6144,228,True
27,0.25,2048,1,2.0848639011383057,2.1548645949363707,52.49536717492409,2000,2.6247683587462047,falcon_h1,ssm,192,8,True
27,0.25,2048,4,1.9079680517315865,1.9567436666786666,207.9380111422397,2000,10.396900557111985,falcon_h1,ssm,768,29,True
27,0.25,2048,16,8.364738168387577,8.417149006087204,205.73635350971426,2000,10.286817675485713,falcon_h1,ssm,3072,114,True
27,0.25,2048,32,16.920576095581055,17.01896276473999,206.9813933176093,2000,10.349069665880466,falcon_h1,ssm,6144,228,True
27,0.25,2048,64,33.57900619506836,33.6568745803833,208.5972471999105,2000,10.429862359995525,falcon_h1,ssm,12288,456,True
27,0.25,4096,1,1.9660799950361252,2.027596816420555,104.37527492172535,2000,5.2187637460862675,falcon_h1,ssm,384,15,True
27,0.25,4096,4,3.6849663734436033,3.7205319812297812,225.7234869751872,2000,11.28617434875936,falcon_h1,ssm,1536,57,True
27,0.25,4096,16,16.744447708129883,16.830463409423828,209.15855076543164,2000,10.457927538271582,falcon_h1,ssm,6144,228,True
27,0.25,4096,32,33.333248138427734,33.57081604003906,210.13518475341684,2000,10.506759237670842,falcon_h1,ssm,12288,456,True
27,0.25,4096,64,66.3397234782838,66.41762921826881,210.9387028324397,2000,10.546935141621985,falcon_h1,ssm,24576,911,True
27,0.25,8192,1,1.9005439952015877,1.9452735036611557,208.7502751852469,2000,10.437513759262345,falcon_h1,ssm,768,29,True
27,0.25,8192,4,8.332534888695026,8.3891724068543,206.5314759332624,2000,10.326573796663121,falcon_h1,ssm,3072,114,True
27,0.25,8192,16,33.284095764160156,33.35782241821289,210.44550242949168,2000,10.522275121474584,falcon_h1,ssm,12288,456,True
27,0.25,8192,32,66.25380399770904,66.352041804665,211.21225306936051,2000,10.560612653468025,falcon_h1,ssm,24576,911,True
27,0.25,8192,64,132.8683410192791,133.060570260851,210.5232060901887,2000,10.526160304509434,falcon_h1,ssm,49152,1821,True
27,0.25,16384,1,3.68885760307312,3.719987213611603,225.48538021827036,2000,11.274269010913518,falcon_h1,ssm,1536,57,True
27,0.25,16384,4,16.728063583374023,16.793722953796387,209.36340889335636,2000,10.468170444667818,falcon_h1,ssm,6144,228,True
27,0.25,16384,16,66.14742205435769,66.27033004660356,211.55193629877903,2000,10.577596814938952,falcon_h1,ssm,24576,911,True
27,0.25,16384,32,132.5166559972261,132.66799800847704,211.08191214732037,2000,10.554095607366017,falcon_h1,ssm,49152,1821,True
40,0.37037037037037035,512,1,1.0424319505691528,1.0817126488685604,13.124049001501163,2000,0.6562024500750582,falcon_h1,ssm,48,2,True
40,0.37037037037037035,512,4,1.297920048236847,1.3363456428050995,52.702445033438295,2000,2.635122251671915,falcon_h1,ssm,192,5,True
40,0.37037037037037035,512,16,1.295360028743744,1.3491455912590027,211.22556967066015,2000,10.561278483533007,falcon_h1,ssm,768,20,True
40,0.37037037037037035,512,32,2.681036758422852,2.72368842124939,212.27422436937715,2000,10.613711218468858,falcon_h1,ssm,1536,39,True
40,0.37037037037037035,512,64,5.905443331290936,5.946226457069661,196.83247656934725,2000,9.841623828467363,falcon_h1,ssm,3072,77,True
40,0.37037037037037035,1024,1,1.5360000729560852,1.5667506694793703,26.720279980854805,2000,1.3360139990427404,falcon_h1,ssm,96,3,True
40,0.37037037037037035,1024,4,1.30048006772995,1.3337856233119965,105.19712173582386,2000,5.259856086791192,falcon_h1,ssm,384,10,True
40,0.37037037037037035,1024,16,2.5878528237342837,2.625153173685074,219.91783813221824,2000,10.995891906610913,falcon_h1,ssm,1536,39,True
40,0.37037037037037035,1024,32,5.736871727581683,5.788693657414666,202.61618026936807,2000,10.130809013468403,falcon_h1,ssm,3072,77,True
40,0.37037037037037035,1024,64,11.568523390251293,11.611433300051774,204.48167610619282,2000,10.224083805309641,falcon_h1,ssm,6144,154,True
40,0.37037037037037035,2048,1,1.303039938211441,1.3467903718352316,52.49536717492409,2000,2.6247683587462047,falcon_h1,ssm,192,5,True
40,0.37037037037037035,2048,4,1.3158400356769562,1.3494783908128736,207.9380111422397,2000,10.396900557111985,falcon_h1,ssm,768,20,True
40,0.37037037037037035,2048,16,5.649867008472311,5.685267311129078,205.73635350971426,2000,10.286817675485713,falcon_h1,ssm,3072,77,True
40,0.37037037037037035,2048,32,11.428810169822292,11.495264323552448,206.9813933176093,2000,10.349069665880466,falcon_h1,ssm,6144,154,True
40,0.37037037037037035,2048,64,22.680556815967226,22.733152128855387,208.5972471999105,2000,10.429862359995525,falcon_h1,ssm,12288,308,True
40,0.37037037037037035,4096,1,1.3107199966907501,1.3517312109470367,104.37527492172535,2000,5.2187637460862675,falcon_h1,ssm,384,10,True
40,0.37037037037037035,4096,4,2.521292781829834,2.545627145051956,225.7234869751872,2000,11.28617434875936,falcon_h1,ssm,1536,39,True
40,0.37037037037037035,4096,16,11.30984625900001,11.367944583558199,209.15855076543164,2000,10.457927538271582,falcon_h1,ssm,6144,154,True
40,0.37037037037037035,4096,32,22.514562339113468,22.67502486914919,210.13518475341684,2000,10.506759237670842,falcon_h1,ssm,12288,308,True
40,0.37037037037037035,4096,64,44.7847749057569,44.83736769400145,210.9387028324397,2000,10.546935141621985,falcon_h1,ssm,24576,615,True
40,0.37037037037037035,8192,1,1.3107199966907501,1.3415679335594177,208.7502751852469,2000,10.437513759262345,falcon_h1,ssm,768,20,True
40,0.37037037037037035,8192,4,5.628115670434361,5.666370836208607,206.5314759332624,2000,10.326573796663121,falcon_h1,ssm,3072,77,True
40,0.37037037037037035,8192,16,22.481362928423966,22.531160756161338,210.44550242949168,2000,10.522275121474584,falcon_h1,ssm,12288,308,True
40,0.37037037037037035,8192,32,44.72677218286614,44.793090790196466,211.21225306936051,2000,10.560612653468025,falcon_h1,ssm,24576,615,True
40,0.37037037037037035,8192,64,89.67336140180889,89.80309766643926,210.5232060901887,2000,10.526160304509434,falcon_h1,ssm,49152,1229,True
40,0.37037037037037035,16384,1,2.523955202102661,2.545254409313202,225.48538021827036,2000,11.274269010913518,falcon_h1,ssm,1536,39,True
40,0.37037037037037035,16384,4,11.298779788770174,11.343128661774752,209.36340889335636,2000,10.468170444667818,falcon_h1,ssm,6144,154,True
40,0.37037037037037035,16384,16,44.65495561298571,44.737928626411836,211.55193629877903,2000,10.577596814938952,falcon_h1,ssm,24576,615,True
40,0.37037037037037035,16384,32,89.43600780922071,89.5381491226899,211.08191214732037,2000,10.554095607366017,falcon_h1,ssm,49152,1229,True
54,0.5,512,1,0.5212159752845764,0.5408563244342802,13.124049001501163,2000,0.6562024500750582,falcon_h1,ssm,48,1,True
54,0.5,512,4,1.0383360385894775,1.0690765142440797,52.702445033438295,2000,2.635122251671915,falcon_h1,ssm,192,4,True
54,0.5,512,16,0.9715200215578079,1.011859193444252,211.22556967066015,2000,10.561278483533007,falcon_h1,ssm,768,15,True
54,0.5,512,32,1.9935914357503255,2.025306774775187,212.27422436937715,2000,10.613711218468858,falcon_h1,ssm,1536,29,True
54,0.5,512,64,4.3715619465400435,4.401752052635982,196.83247656934725,2000,9.841623828467363,falcon_h1,ssm,3072,57,True
54,0.5,1024,1,1.0240000486373901,1.0445004463195802,26.720279980854805,2000,1.3360139990427404,falcon_h1,ssm,96,2,True
54,0.5,1024,4,1.04038405418396,1.0670284986495973,105.19712173582386,2000,5.259856086791192,falcon_h1,ssm,384,8,True
54,0.5,1024,16,1.9243008176485699,1.9520369753042859,219.91783813221824,2000,10.995891906610913,falcon_h1,ssm,1536,29,True
54,0.5,1024,32,4.246775174963063,4.285136863280987,202.61618026936807,2000,10.130809013468403,falcon_h1,ssm,3072,57,True
54,0.5,1024,64,8.563712120056152,8.595476598739625,204.48167610619282,2000,10.224083805309641,falcon_h1,ssm,6144,114,True
54,0.5,2048,1,1.0424319505691528,1.0774322974681854,52.49536717492409,2000,2.6247683587462047,falcon_h1,ssm,192,4,True
54,0.5,2048,4,0.9868800267577171,1.012108793109655,207.9380111422397,2000,10.396900557111985,falcon_h1,ssm,768,15,True
54,0.5,2048,16,4.182369084193788,4.208574503043602,205.73635350971426,2000,10.286817675485713,falcon_h1,ssm,3072,57,True
54,0.5,2048,32,8.460288047790527,8.509481382369994,206.9813933176093,2000,10.349069665880466,falcon_h1,ssm,6144,114,True
54,0.5,2048,64,16.78950309753418,16.82843729019165,208.5972471999105,2000,10.429862359995525,falcon_h1,ssm,12288,228,True
54,0.5,4096,1,1.0485759973526,1.0813849687576294,104.37527492172535,2000,5.2187637460862675,falcon_h1,ssm,384,8,True
54,0.5,4096,4,1.8748074531555177,1.8929022360642749,225.7234869751872,2000,11.28617434875936,falcon_h1,ssm,1536,29,True
54,0.5,4096,16,8.372223854064941,8.415231704711914,209.15855076543164,2000,10.457927538271582,falcon_h1,ssm,6144,114,True
54,0.5,4096,32,16.666624069213867,16.78540802001953,210.13518475341684,2000,10.506759237670842,falcon_h1,ssm,12288,228,True
54,0.5,4096,64,33.20627212524414,33.24526775360108,210.9387028324397,2000,10.546935141621985,falcon_h1,ssm,24576,456,True
54,0.5,8192,1,0.9830399975180626,1.0061759501695633,208.7502751852469,2000,10.437513759262345,falcon_h1,ssm,768,15,True
54,0.5,8192,4,4.166267444347513,4.19458620342715,206.5314759332624,2000,10.326573796663121,falcon_h1,ssm,3072,57,True
54,0.5,8192,16,16.642047882080078,16.678911209106445,210.44550242949168,2000,10.522275121474584,falcon_h1,ssm,12288,228,True
54,0.5,8192,32,33.163265228271484,33.212438049316404,211.21225306936051,2000,10.560612653468025,falcon_h1,ssm,24576,456,True
54,0.5,8192,64,66.47065275593808,66.56682015795457,210.5232060901887,2000,10.526160304509434,falcon_h1,ssm,49152,911,True
54,0.5,16384,1,1.8767872015635172,1.8926250735918682,225.48538021827036,2000,11.274269010913518,falcon_h1,ssm,1536,29,True
54,0.5,16384,4,8.364031791687012,8.396861476898193,209.36340889335636,2000,10.468170444667818,falcon_h1,ssm,6144,114,True
54,0.5,16384,16,33.110015869140625,33.17153732299805,211.55193629877903,2000,10.577596814938952,falcon_h1,ssm,24576,456,True
54,0.5,16384,32,66.29471368120427,66.37042624147314,211.08191214732037,2000,10.554095607366017,falcon_h1,ssm,49152,911,True
68,0.6296296296296297,512,1,0.5212159752845764,0.5408563244342802,13.124049001501163,2000,0.6562024500750582,falcon_h1,ssm,48,1,True
68,0.6296296296296297,512,4,0.7787520289421082,0.8018073856830598,52.702445033438295,2000,2.635122251671915,falcon_h1,ssm,192,3,True
68,0.6296296296296297,512,16,0.7772160172462463,0.8094873547554017,211.22556967066015,2000,10.561278483533007,falcon_h1,ssm,768,12,True
68,0.6296296296296297,512,32,1.58112424214681,1.606277786890666,212.27422436937715,2000,10.613711218468858,falcon_h1,ssm,1536,23,True
68,0.6296296296296297,512,64,3.527927184927053,3.5522911301974593,196.83247656934725,2000,9.841623828467363,falcon_h1,ssm,3072,46,True
68,0.6296296296296297,1024,1,1.0240000486373901,1.0445004463195802,26.720279980854805,2000,1.3360139990427404,falcon_h1,ssm,96,2,True
68,0.6296296296296297,1024,4,0.78028804063797,0.8002713739871979,105.19712173582386,2000,5.259856086791192,falcon_h1,ssm,384,6,True
68,0.6296296296296297,1024,16,1.5261696139971417,1.548167256275813,219.91783813221824,2000,10.995891906610913,falcon_h1,ssm,1536,23,True
68,0.6296296296296297,1024,32,3.427222071022823,3.458180626507463,202.61618026936807,2000,10.130809013468403,falcon_h1,ssm,3072,46,True
68,0.6296296296296297,1024,64,6.835945639693946,6.861301495485139,204.48167610619282,2000,10.224083805309641,falcon_h1,ssm,6144,91,True
68,0.6296296296296297,2048,1,0.7818239629268646,0.8080742231011391,52.49536717492409,2000,2.6247683587462047,falcon_h1,ssm,192,3,True
68,0.6296296296296297,2048,4,0.7895040214061737,0.809687034487724,207.9380111422397,2000,10.396900557111985,falcon_h1,ssm,768,12,True
68,0.6296296296296297,2048,16,3.3752452258406014,3.3963934585965916,205.73635350971426,2000,10.286817675485713,falcon_h1,ssm,3072,46,True
68,0.6296296296296297,2048,32,6.753387827622263,6.792656191190083,206.9813933176093,2000,10.349069665880466,falcon_h1,ssm,6144,91,True
68,0.6296296296296297,2048,64,13.328509037954765,13.359417322476705,208.5972471999105,2000,10.429862359995525,falcon_h1,ssm,12288,181,True
68,0.6296296296296297,4096,1,0.7864319980144501,0.811038726568222,104.37527492172535,2000,5.2187637460862675,falcon_h1,ssm,384,6,True
