sm_count,sm_ratio,seq_len,batch_size,context_len,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type
14,0.12962962962962962,256,1,0,2.367487907409668,4.531251134872437,100.76124961542257,1935,5.2072997217272645,zamba2,attn
14,0.12962962962962962,256,4,0,7.223296165466309,13.642782421112061,46.74340692469767,1935,2.4156799444288204,zamba2,attn
14,0.12962962962962962,256,16,0,28.49894428253174,53.247466468811034,25.75545229757521,1935,1.331031126489675,zamba2,attn
14,0.12962962962962962,512,1,0,3.9383039474487305,9.244282827377306,68.95891927689654,1935,3.563768438082508,zamba2,attn
14,0.12962962962962962,512,4,0,28.440064430236816,45.01090145111083,16.517615462943883,1935,0.8536235381366348,zamba2,attn
14,0.12962962962962962,512,16,0,113.30662155151367,153.97425674438477,11.14220410698614,1935,0.5758245016530306,zamba2,attn
14,0.12962962962962962,1024,1,0,14.72767972946167,25.710612754821778,22.92563921827906,1935,1.1847875565002097,zamba2,attn
14,0.12962962962962962,1024,4,0,60.69759941101074,87.95539222717285,12.092787970570866,1935,0.6249502827168406,zamba2,attn
14,0.12962962962962962,1024,16,0,253.29408264160156,281.43873443603513,9.157142906026374,1935,0.4732373594845672,zamba2,attn
14,0.12962962962962962,2048,1,0,33.36550331115723,48.47411315917968,14.079273542470863,1935,0.7276110357866079,zamba2,attn
14,0.12962962962962962,2048,4,0,132.46720123291016,164.0214500427246,9.530551655426294,1935,0.49253496927267665,zamba2,attn
14,0.12962962962962962,2048,16,0,569.3926391601562,570.0051831054687,7.786154971267549,1935,0.40238526983294826,zamba2,attn
14,0.12962962962962962,4096,1,0,79.75884628295898,114.73405860900878,9.202781060748928,1935,0.475595920452141,zamba2,attn
14,0.12962962962962962,4096,4,0,347.10169982910156,357.48153717041015,6.682335791331477,1935,0.3453403509732029,zamba2,attn
14,0.12962962962962962,4096,16,0,1343.7188720703125,1384.3332116699219,6.44572160146515,1935,0.33311222746589925,zamba2,attn
27,0.25,256,1,0,2.31987202167511,5.816401863098145,102.82939652323988,1935,5.314180698875446,zamba2,attn
