"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,attn,128,16384,14,ok,30,40.60672,0.02889,52.943,2.597
falcon_h1_1.5b,verified,attn,256,1024,14,ok,30,5.56954,0.01799,49.044,2.405
falcon_h1_1.5b,verified,attn,256,4096,14,ok,30,20.5527,0.02965,52.473,2.573
falcon_h1_1.5b,verified,attn,256,16384,14,ok,30,80.48998,0.03153,53.419,2.62
falcon_h1_1.5b,verified,attn,512,1024,14,ok,30,11.07763,0.02409,49.316,2.419
falcon_h1_1.5b,verified,attn,512,4096,14,ok,30,40.95078,0.02685,52.671,2.583
falcon_h1_1.5b,verified,attn,512,16384,14,ok,30,160.22221,0.02811,53.672,2.632
falcon_h1_1.5b,verified,ssm,1,1024,27,ok,30,0.51558,0.01119,0.027,0.001
falcon_h1_1.5b,verified,ssm,1,4096,27,ok,30,0.51507,0.02362,0.027,0.001
falcon_h1_1.5b,verified,ssm,1,16384,27,ok,30,0.512,0.00683,0.027,0.001
falcon_h1_1.5b,verified,ssm,2,1024,27,ok,30,0.51507,0.1113,0.053,0.003
falcon_h1_1.5b,verified,ssm,2,4096,27,ok,30,0.51405,0.00823,0.053,0.003
falcon_h1_1.5b,verified,ssm,2,16384,27,ok,30,0.51456,0.00597,0.053,0.003
falcon_h1_1.5b,verified,ssm,4,1024,27,ok,30,0.52429,0.01268,0.103,0.005
falcon_h1_1.5b,verified,ssm,4,4096,27,ok,30,0.52224,0.03052,0.103,0.005
falcon_h1_1.5b,verified,ssm,4,16384,27,ok,30,0.52173,0.00788,0.103,0.005
falcon_h1_1.5b,verified,ssm,8,1024,27,ok,30,0.55296,0.00581,0.195,0.01
falcon_h1_1.5b,verified,ssm,8,4096,27,ok,30,0.55962,0.00996,0.192,0.009
falcon_h1_1.5b,verified,ssm,8,16384,27,ok,30,0.55654,0.02053,0.193,0.009
falcon_h1_1.5b,verified,ssm,16,1024,27,ok,30,0.64,0.00875,0.336,0.016
falcon_h1_1.5b,verified,ssm,16,4096,27,ok,30,0.63539,0.00628,0.338,0.017
falcon_h1_1.5b,verified,ssm,16,16384,27,ok,30,0.63488,0.01593,0.338,0.017
falcon_h1_1.5b,verified,ssm,32,1024,27,ok,30,0.87194,0.00601,0.492,0.024
falcon_h1_1.5b,verified,ssm,32,4096,27,ok,30,0.87091,0.00678,0.493,0.024
falcon_h1_1.5b,verified,ssm,32,16384,27,ok,30,0.87245,0.00825,0.492,0.024
falcon_h1_1.5b,verified,ssm,64,1024,27,ok,30,1.53754,0.00583,0.558,0.027
falcon_h1_1.5b,verified,ssm,64,4096,27,ok,30,1.53907,0.00723,0.558,0.027
falcon_h1_1.5b,verified,ssm,64,16384,27,ok,30,1.53805,0.01407,0.558,0.027
falcon_h1_1.5b,verified,ssm,128,1024,27,ok,30,2.87027,0.01056,0.598,0.029
falcon_h1_1.5b,verified,ssm,128,4096,27,ok,30,2.87232,0.04203,0.598,0.029
falcon_h1_1.5b,verified,ssm,128,16384,27,ok,30,2.86925,0.067,0.598,0.029
falcon_h1_1.5b,verified,ssm,256,1024,27,ok,30,5.53267,0.04567,0.62,0.03
falcon_h1_1.5b,verified,ssm,256,4096,27,ok,30,5.53011,0.03704,0.621,0.03
falcon_h1_1.5b,verified,ssm,256,16384,27,ok,30,5.53421,0.04764,0.62,0.03
falcon_h1_1.5b,verified,ssm,512,1024,27,ok,30,10.8672,0.07086,0.632,0.031
falcon_h1_1.5b,verified,ssm,512,4096,27,ok,30,10.85491,0.10057,0.632,0.031
falcon_h1_1.5b,verified,ssm,512,16384,27,ok,30,10.85747,0.08074,0.632,0.031
falcon_h1_1.5b,verified,attn,1,1024,27,ok,30,0.04403,0.00144,24.233,1.188
falcon_h1_1.5b,verified,attn,1,4096,27,ok,30,0.06656,0.00118,63.292,3.104
falcon_h1_1.5b,verified,attn,1,16384,27,ok,30,0.13926,0.00116,120.603,5.915
falcon_h1_1.5b,verified,attn,2,1024,27,ok,30,0.05222,0.00185,40.863,2.004
falcon_h1_1.5b,verified,attn,2,4096,27,ok,30,0.09011,0.00203,93.5,4.586
falcon_h1_1.5b,verified,attn,2,16384,27,ok,30,0.21965,0.00344,152.932,7.5
falcon_h1_1.5b,verified,attn,4,1024,27,ok,30,0.06451,0.00131,66.159,3.245
falcon_h1_1.5b,verified,attn,4,4096,27,ok,30,0.13466,0.00359,125.141,6.137
falcon_h1_1.5b,verified,attn,4,16384,27,ok,30,0.39373,0.00974,170.632,8.368
falcon_h1_1.5b,verified,attn,8,1024,27,ok,30,0.08806,0.00268,96.93,4.754
falcon_h1_1.5b,verified,attn,8,4096,27,ok,30,0.2089,0.00158,161.333,7.912
falcon_h1_1.5b,verified,attn,8,16384,27,ok,30,0.68403,0.00167,196.431,9.634
falcon_h1_1.5b,verified,attn,16,1024,27,ok,30,0.14234,0.00198,119.942,5.882
falcon_h1_1.5b,verified,attn,16,4096,27,ok,30,0.37478,0.00372,179.847,8.82
falcon_h1_1.5b,verified,attn,16,16384,27,ok,30,1.30458,0.00176,205.991,10.103
falcon_h1_1.5b,verified,attn,32,1024,27,ok,30,0.40755,0.00269,83.779,4.109
falcon_h1_1.5b,verified,attn,32,4096,27,ok,30,1.44384,0.0171,93.367,4.579
falcon_h1_1.5b,verified,attn,32,16384,27,ok,30,5.58182,0.02001,96.288,4.722
falcon_h1_1.5b,verified,attn,64,1024,27,ok,30,0.74854,0.00225,91.228,4.474
falcon_h1_1.5b,verified,attn,64,4096,27,ok,30,2.70029,0.01854,99.847,4.897
falcon_h1_1.5b,verified,attn,64,16384,27,ok,30,10.52621,0.03746,102.119,5.008
falcon_h1_1.5b,verified,attn,128,1024,27,ok,30,1.42746,0.00602,95.679,4.692
falcon_h1_1.5b,verified,attn,128,4096,27,ok,30,5.21165,0.02255,103.466,5.074
falcon_h1_1.5b,verified,attn,128,16384,27,ok,30,20.36429,0.0265,105.569,5.178
falcon_h1_1.5b,verified,attn,256,1024,27,ok,30,2.8201,0.00741,96.86,4.75
falcon_h1_1.5b,verified,attn,256,4096,27,ok,30,10.37568,0.01871,103.941,5.098
falcon_h1_1.5b,verified,attn,256,16384,27,ok,30,40.60826,0.03682,105.882,5.193
falcon_h1_1.5b,verified,attn,512,1024,27,ok,30,5.57261,0.02021,98.035,4.808
falcon_h1_1.5b,verified,attn,512,4096,27,ok,30,20.56704,0.02089,104.873,5.143
falcon_h1_1.5b,verified,attn,512,16384,27,ok,30,80.50842,0.02957,106.813,5.239
falcon_h1_1.5b,verified,ssm,1,1024,40,ok,30,0.52992,0.00956,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,4096,40,ok,30,0.53402,0.01053,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,16384,40,ok,30,0.52122,0.00791,0.026,0.001
falcon_h1_1.5b,verified,ssm,2,1024,40,ok,30,0.51814,0.014,0.052,0.003
falcon_h1_1.5b,verified,ssm,2,4096,40,ok,30,0.51507,0.03401,0.053,0.003
falcon_h1_1.5b,verified,ssm,2,16384,40,ok,30,0.51354,0.00751,0.053,0.003
falcon_h1_1.5b,verified,ssm,4,1024,40,ok,30,0.5248,0.00737,0.103,0.005
falcon_h1_1.5b,verified,ssm,4,4096,40,ok,30,0.52685,0.00951,0.102,0.005
falcon_h1_1.5b,verified,ssm,4,16384,40,ok,30,0.52378,0.05926,0.103,0.005
falcon_h1_1.5b,verified,ssm,8,1024,40,ok,30,0.55654,0.00682,0.193,0.009
falcon_h1_1.5b,verified,ssm,8,4096,40,ok,30,0.55501,0.00771,0.194,0.01
falcon_h1_1.5b,verified,ssm,8,16384,40,ok,30,0.5591,0.01184,0.192,0.009
falcon_h1_1.5b,verified,ssm,16,1024,40,ok,30,0.6313,0.01029,0.34,0.017
falcon_h1_1.5b,verified,ssm,16,4096,40,ok,30,0.62771,0.03676,0.342,0.017
falcon_h1_1.5b,verified,ssm,16,16384,40,ok,30,0.62874,0.00558,0.342,0.017
falcon_h1_1.5b,verified,ssm,32,1024,40,ok,30,0.76851,0.00423,0.559,0.027
falcon_h1_1.5b,verified,ssm,32,4096,40,ok,30,0.768,0.00858,0.559,0.027
falcon_h1_1.5b,verified,ssm,32,16384,40,ok,30,0.76902,0.02168,0.558,0.027
falcon_h1_1.5b,verified,ssm,64,1024,40,ok,30,1.32608,0.00702,0.647,0.032
falcon_h1_1.5b,verified,ssm,64,4096,40,ok,30,1.32813,0.00562,0.646,0.032
falcon_h1_1.5b,verified,ssm,64,16384,40,ok,30,1.32762,0.006,0.647,0.032
falcon_h1_1.5b,verified,ssm,128,1024,40,ok,30,2.44326,0.01452,0.703,0.034
falcon_h1_1.5b,verified,ssm,128,4096,40,ok,30,2.44019,0.007,0.703,0.034
falcon_h1_1.5b,verified,ssm,128,16384,40,ok,30,2.44122,0.01074,0.703,0.034
falcon_h1_1.5b,verified,ssm,256,1024,40,ok,30,4.71706,0.02245,0.728,0.036
falcon_h1_1.5b,verified,ssm,256,4096,40,ok,30,4.7273,0.02552,0.726,0.036
falcon_h1_1.5b,verified,ssm,256,16384,40,ok,30,4.73242,0.04305,0.725,0.036
falcon_h1_1.5b,verified,ssm,512,1024,40,ok,30,9.2759,0.05441,0.74,0.036
falcon_h1_1.5b,verified,ssm,512,4096,40,ok,30,9.30304,0.06178,0.738,0.036
falcon_h1_1.5b,verified,ssm,512,16384,40,ok,30,9.28154,0.04483,0.74,0.036
falcon_h1_1.5b,verified,attn,1,1024,40,ok,30,0.04198,0.00201,25.415,1.246
falcon_h1_1.5b,verified,attn,1,4096,40,ok,30,0.05837,0.00271,72.175,3.54
falcon_h1_1.5b,verified,attn,1,16384,40,ok,30,0.11571,0.00107,145.15,7.119
falcon_h1_1.5b,verified,attn,2,1024,40,ok,30,0.0471,0.00101,45.304,2.222
falcon_h1_1.5b,verified,attn,2,4096,40,ok,30,0.07475,0.0026,112.712,5.528
falcon_h1_1.5b,verified,attn,2,16384,40,ok,30,0.17818,0.00225,188.529,9.246
falcon_h1_1.5b,verified,attn,4,1024,40,ok,30,0.05632,0.00087,75.782,3.717
falcon_h1_1.5b,verified,attn,4,4096,40,ok,30,0.11162,0.00246,150.972,7.404
falcon_h1_1.5b,verified,attn,4,16384,40,ok,30,0.30464,0.01061,220.531,10.816
falcon_h1_1.5b,verified,attn,8,1024,40,ok,30,0.07373,0.00343,115.778,5.678
falcon_h1_1.5b,verified,attn,8,4096,40,ok,30,0.16077,0.0032,209.631,10.281
falcon_h1_1.5b,verified,attn,8,16384,40,ok,30,0.50483,0.00211,266.158,13.053
falcon_h1_1.5b,verified,attn,16,1024,40,ok,30,0.11162,0.0018,152.954,7.501
falcon_h1_1.5b,verified,attn,16,4096,40,ok,30,0.27853,0.00204,242.0,11.869
falcon_h1_1.5b,verified,attn,16,16384,40,ok,30,0.94413,0.00152,284.633,13.959
falcon_h1_1.5b,verified,attn,32,1024,40,ok,30,0.29696,0.00154,114.979,5.639
falcon_h1_1.5b,verified,attn,32,4096,40,ok,30,1.03424,0.00336,130.345,6.393
falcon_h1_1.5b,verified,attn,32,16384,40,ok,30,3.97107,0.01305,135.344,6.638
falcon_h1_1.5b,verified,attn,64,1024,40,ok,30,0.52224,0.00291,130.761,6.413
falcon_h1_1.5b,verified,attn,64,4096,40,ok,30,1.86675,0.00422,144.43,7.083
falcon_h1_1.5b,verified,attn,64,16384,40,ok,30,7.24019,0.01491,148.466,7.281
falcon_h1_1.5b,verified,attn,128,1024,40,ok,30,1.01274,0.00273,134.859,6.614
falcon_h1_1.5b,verified,attn,128,4096,40,ok,30,3.67821,0.00995,146.601,7.19
falcon_h1_1.5b,verified,attn,128,16384,40,ok,30,14.3401,0.04111,149.918,7.353
falcon_h1_1.5b,verified,attn,256,1024,40,ok,30,1.99066,0.00213,137.218,6.73
falcon_h1_1.5b,verified,attn,256,4096,40,ok,30,7.30214,0.01414,147.691,7.243
falcon_h1_1.5b,verified,attn,256,16384,40,ok,30,28.56141,0.02552,150.542,7.383
falcon_h1_1.5b,verified,attn,512,1024,40,ok,30,3.91373,0.01459,139.588,6.846
falcon_h1_1.5b,verified,attn,512,4096,40,ok,30,14.41894,0.02311,149.589,7.336
falcon_h1_1.5b,verified,attn,512,16384,40,ok,30,56.46797,0.02404,152.288,7.469
falcon_h1_1.5b,verified,ssm,1,1024,54,ok,30,0.52173,0.01008,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,4096,54,ok,30,0.51763,0.00711,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,16384,54,ok,30,0.51405,0.00697,0.027,0.001
falcon_h1_1.5b,verified,ssm,2,1024,54,ok,30,0.51354,0.02532,0.053,0.003
falcon_h1_1.5b,verified,ssm,2,4096,54,ok,30,0.51354,0.00659,0.053,0.003
falcon_h1_1.5b,verified,ssm,2,16384,54,ok,30,0.50432,0.00806,0.054,0.003
falcon_h1_1.5b,verified,ssm,4,1024,54,ok,30,0.512,0.00629,0.105,0.005
falcon_h1_1.5b,verified,ssm,4,4096,54,ok,30,0.51712,0.01326,0.104,0.005
