"# value_kind: derived=floor_sm_point,floor_sm_ci_low,floor_sm_ci_high,flat_region_bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,n_sm_points,memory_gap"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,n_sm_points__metadata,memory_gap__metadata,floor_sm_point__derived,floor_sm_ci_low__derived,floor_sm_ci_high__derived,flat_region_bw_util_pct__derived
zamba2_2.7b,verified,ssm,1,1024,8,False,27,14,27,0.002
zamba2_2.7b,verified,ssm,1,4096,8,False,14,14,27,0.002
zamba2_2.7b,verified,ssm,1,16384,8,False,27,14,27,0.002
zamba2_2.7b,verified,ssm,2,1024,8,False,27,27,40,0.004
zamba2_2.7b,verified,ssm,2,4096,8,False,27,27,40,0.004
zamba2_2.7b,verified,ssm,2,16384,8,False,27,27,40,0.004
zamba2_2.7b,verified,ssm,4,1024,8,False,40,27,40,0.008
zamba2_2.7b,verified,ssm,4,4096,8,False,40,40,54,0.008
zamba2_2.7b,verified,ssm,4,16384,8,False,40,40,54,0.008
zamba2_2.7b,verified,ssm,8,1024,8,False,54,54,54,0.015
zamba2_2.7b,verified,ssm,8,4096,8,False,54,54,54,0.015
zamba2_2.7b,verified,ssm,8,16384,8,False,54,54,54,0.015
zamba2_2.7b,verified,ssm,16,1024,8,False,68,68,68,0.028
zamba2_2.7b,verified,ssm,16,4096,8,False,68,54,68,0.028
zamba2_2.7b,verified,ssm,16,16384,8,False,94,54,94,0.029
zamba2_2.7b,verified,ssm,32,1024,8,False,94,94,94,0.049
zamba2_2.7b,verified,ssm,32,4096,8,False,94,94,94,0.049
zamba2_2.7b,verified,ssm,32,16384,8,False,94,94,94,0.049
zamba2_2.7b,verified,ssm,64,1024,8,False,94,94,94,0.075
zamba2_2.7b,verified,ssm,64,4096,8,False,94,94,94,0.075
zamba2_2.7b,verified,ssm,64,16384,8,False,94,94,94,0.075
zamba2_2.7b,verified,ssm,128,1024,8,False,94,94,94,0.09
zamba2_2.7b,verified,ssm,128,4096,8,False,94,94,94,0.09
zamba2_2.7b,verified,ssm,128,16384,8,False,94,94,94,0.09
zamba2_2.7b,verified,ssm,256,1024,8,False,94,94,94,0.096
zamba2_2.7b,verified,ssm,256,4096,8,False,94,94,94,0.096
zamba2_2.7b,verified,ssm,256,16384,8,False,94,94,94,0.096
zamba2_2.7b,verified,ssm,512,1024,8,False,94,94,94,0.099
zamba2_2.7b,verified,ssm,512,4096,8,False,94,94,94,0.099
zamba2_2.7b,verified,ssm,512,16384,8,False,94,94,94,0.099
zamba2_2.7b,verified,attn,1,1024,8,False,54,54,54,19.034
zamba2_2.7b,verified,attn,1,4096,8,False,54,54,54,38.305
zamba2_2.7b,verified,attn,1,16384,8,False,54,54,54,53.405
zamba2_2.7b,verified,attn,2,1024,8,False,54,54,54,29.671
zamba2_2.7b,verified,attn,2,4096,8,False,54,54,54,46.498
zamba2_2.7b,verified,attn,2,16384,8,False,54,54,54,57.207
zamba2_2.7b,verified,attn,4,1024,8,False,68,68,68,43.081
zamba2_2.7b,verified,attn,4,4096,8,False,68,68,68,63.976
zamba2_2.7b,verified,attn,4,16384,8,False,68,68,68,73.047
zamba2_2.7b,verified,attn,8,1024,8,False,68,68,68,41.923
zamba2_2.7b,verified,attn,8,4096,8,False,68,68,68,48.289
zamba2_2.7b,verified,attn,8,16384,8,False,68,68,68,49.956
zamba2_2.7b,verified,attn,16,1024,8,False,108,108,108,58.695
zamba2_2.7b,verified,attn,16,4096,8,False,108,108,108,64.905
zamba2_2.7b,verified,attn,16,16384,8,False,108,108,108,64.421
zamba2_2.7b,verified,attn,32,1024,8,False,108,108,108,59.893
zamba2_2.7b,verified,attn,32,4096,8,False,108,108,108,64.774
zamba2_2.7b,verified,attn,32,16384,8,False,108,108,108,64.843
zamba2_2.7b,verified,attn,64,1024,8,False,108,108,108,62.745
zamba2_2.7b,verified,attn,64,4096,8,False,108,108,108,65.717
zamba2_2.7b,verified,attn,64,16384,8,False,108,108,108,66.781
zamba2_2.7b,verified,attn,128,1024,8,False,108,108,108,63.831
zamba2_2.7b,verified,attn,128,4096,8,False,108,108,108,64.75
zamba2_2.7b,verified,attn,128,16384,8,False,108,108,108,66.98
zamba2_2.7b,verified,attn,256,1024,8,False,108,108,108,64.372
zamba2_2.7b,verified,attn,256,4096,8,False,108,108,108,65.849
zamba2_2.7b,verified,attn,512,1024,8,False,108,108,108,64.324
