"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_2.7b,,attn,256,16384,14,failed:oom,0,,,,
zamba2_2.7b,verified,attn,512,1024,14,ok,30,54.48653,0.23826,197.932,9.707
zamba2_2.7b,,attn,512,4096,14,failed:oom,0,,,,
zamba2_2.7b,,attn,512,16384,14,failed:oom,0,,,,
zamba2_2.7b,verified,ssm,1,1024,27,ok,30,0.50125,0.00813,0.043,0.002
zamba2_2.7b,verified,ssm,1,4096,27,ok,30,0.50022,0.00939,0.043,0.002
zamba2_2.7b,verified,ssm,1,16384,27,ok,30,0.4992,0.00745,0.043,0.002
zamba2_2.7b,verified,ssm,2,1024,27,ok,30,0.51712,0.00714,0.082,0.004
zamba2_2.7b,verified,ssm,2,4096,27,ok,30,0.51354,0.00634,0.082,0.004
zamba2_2.7b,verified,ssm,2,16384,27,ok,30,0.5161,0.00685,0.082,0.004
zamba2_2.7b,verified,ssm,4,1024,27,ok,30,0.55194,0.00783,0.152,0.007
zamba2_2.7b,verified,ssm,4,4096,27,ok,30,0.55654,0.00802,0.151,0.007
zamba2_2.7b,verified,ssm,4,16384,27,ok,30,0.55091,0.00733,0.153,0.007
zamba2_2.7b,verified,ssm,8,1024,27,ok,30,0.63232,0.00417,0.265,0.013
zamba2_2.7b,verified,ssm,8,4096,27,ok,30,0.62771,0.00562,0.267,0.013
zamba2_2.7b,verified,ssm,8,16384,27,ok,30,0.62976,0.00545,0.266,0.013
zamba2_2.7b,verified,ssm,16,1024,27,ok,30,0.80589,0.00507,0.415,0.02
zamba2_2.7b,verified,ssm,16,4096,27,ok,30,0.80026,0.00496,0.418,0.021
zamba2_2.7b,verified,ssm,16,16384,27,ok,30,0.79974,0.00571,0.419,0.021
zamba2_2.7b,verified,ssm,32,1024,27,ok,30,1.12589,0.006,0.594,0.029
zamba2_2.7b,verified,ssm,32,4096,27,ok,30,1.12435,0.00682,0.595,0.029
zamba2_2.7b,verified,ssm,32,16384,27,ok,30,1.12691,0.00594,0.594,0.029
zamba2_2.7b,verified,ssm,64,1024,27,ok,30,1.89696,0.06839,0.705,0.035
zamba2_2.7b,verified,ssm,64,4096,27,ok,30,1.89696,0.2375,0.705,0.035
zamba2_2.7b,verified,ssm,64,16384,27,ok,30,1.89645,0.00355,0.705,0.035
zamba2_2.7b,verified,ssm,128,1024,27,ok,30,3.58554,0.0053,0.746,0.037
zamba2_2.7b,verified,ssm,128,4096,27,ok,30,3.58502,0.00427,0.746,0.037
zamba2_2.7b,verified,ssm,128,16384,27,ok,30,3.58502,0.003,0.746,0.037
zamba2_2.7b,verified,ssm,256,1024,27,ok,30,6.9632,0.0032,0.768,0.038
zamba2_2.7b,verified,ssm,256,4096,27,ok,30,6.97037,0.01975,0.768,0.038
zamba2_2.7b,verified,ssm,256,16384,27,ok,30,6.96422,0.00294,0.768,0.038
zamba2_2.7b,verified,ssm,512,1024,27,ok,30,13.75539,0.23827,0.778,0.038
zamba2_2.7b,verified,ssm,512,4096,27,ok,30,13.75693,0.05505,0.778,0.038
zamba2_2.7b,verified,ssm,512,16384,27,ok,30,13.7559,0.0032,0.778,0.038
zamba2_2.7b,verified,attn,1,1024,27,ok,30,0.0768,0.0013,274.267,13.451
zamba2_2.7b,verified,attn,1,4096,27,ok,30,0.16589,0.00119,506.235,24.828
zamba2_2.7b,verified,attn,1,16384,27,ok,30,0.51098,0.00133,656.854,32.215
zamba2_2.7b,verified,attn,2,1024,27,ok,30,0.11059,0.00224,380.926,18.682
zamba2_2.7b,verified,attn,2,4096,27,ok,30,0.28058,0.00178,598.613,29.358
zamba2_2.7b,verified,attn,2,16384,27,ok,30,0.97075,0.00181,691.498,33.914
zamba2_2.7b,verified,attn,4,1024,27,ok,30,0.17715,0.00094,475.607,23.326
zamba2_2.7b,verified,attn,4,4096,27,ok,30,0.51507,0.00157,652.167,31.985
zamba2_2.7b,verified,attn,4,16384,27,ok,30,1.86266,0.00238,720.77,35.349
zamba2_2.7b,verified,attn,8,1024,27,ok,30,0.49459,0.00111,340.704,16.709
zamba2_2.7b,verified,attn,8,4096,27,ok,30,1.82374,0.00688,368.377,18.067
zamba2_2.7b,verified,attn,8,16384,27,ok,30,7.13574,0.00231,376.288,18.455
zamba2_2.7b,verified,attn,16,1024,27,ok,30,0.91443,0.00115,368.555,18.075
zamba2_2.7b,verified,attn,16,4096,27,ok,30,3.42528,0.00099,392.275,19.239
zamba2_2.7b,verified,attn,16,16384,27,ok,30,13.45894,0.00583,399.005,19.569
zamba2_2.7b,verified,attn,32,1024,27,ok,30,1.75821,0.00113,383.366,18.802
zamba2_2.7b,verified,attn,32,4096,27,ok,30,6.64269,0.00285,404.551,19.841
zamba2_2.7b,verified,attn,32,16384,27,ok,30,26.18675,0.03526,410.145,20.115
zamba2_2.7b,verified,attn,64,1024,27,ok,30,3.4775,0.00199,387.656,19.012
zamba2_2.7b,verified,attn,64,4096,27,ok,30,13.20192,0.23703,407.108,19.966
zamba2_2.7b,verified,attn,64,16384,27,ok,30,52.09651,0.23569,412.326,20.222
zamba2_2.7b,verified,attn,128,1024,27,ok,30,6.8695,0.01433,392.481,19.249
zamba2_2.7b,verified,attn,128,4096,27,ok,30,26.1417,0.00551,411.19,20.166
zamba2_2.7b,verified,attn,128,16384,27,ok,30,103.23456,0.32235,416.154,20.41
zamba2_2.7b,verified,attn,256,1024,27,ok,30,13.6745,0.00326,394.333,19.34
zamba2_2.7b,verified,attn,256,4096,27,ok,30,52.11085,0.01295,412.552,20.233
zamba2_2.7b,,attn,256,16384,27,failed:oom,0,,,,
zamba2_2.7b,verified,attn,512,1024,27,ok,30,27.3065,0.24004,394.946,19.37
