"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,attn,32,4096,40,ok,30,1.17043,0.00094,115.29,5.654
falcon_h1_3b,verified,attn,32,16384,40,ok,30,4.51277,0.00873,119.127,5.842
falcon_h1_3b,verified,attn,128,1024,40,ok,30,1.24621,0.00743,110.015,5.396
falcon_h1_3b,verified,attn,128,4096,40,ok,30,4.54298,0.0018,118.811,5.827
falcon_h1_3b,verified,attn,128,16384,40,ok,30,17.72544,0.00392,121.315,5.95
falcon_h1_3b,verified,attn,256,1024,40,ok,30,2.46067,0.01367,111.434,5.465
falcon_h1_3b,verified,attn,256,4096,40,ok,30,9.0368,0.00326,119.457,5.859
falcon_h1_3b,verified,attn,256,16384,40,ok,30,35.32851,0.00781,121.736,5.97
falcon_h1_3b,verified,ssm,8,1024,54,ok,30,0.52685,0.00684,0.266,0.013
falcon_h1_3b,verified,ssm,8,4096,54,ok,30,0.52326,0.00539,0.267,0.013
falcon_h1_3b,verified,ssm,8,16384,54,ok,30,0.5248,0.0059,0.267,0.013
falcon_h1_3b,verified,ssm,32,1024,54,ok,30,0.67891,0.00324,0.824,0.04
falcon_h1_3b,verified,ssm,32,4096,54,ok,30,0.67891,0.00376,0.824,0.04
falcon_h1_3b,verified,ssm,32,16384,54,ok,30,0.67789,0.00372,0.825,0.04
falcon_h1_3b,verified,ssm,128,1024,54,ok,30,2.13606,0.00373,1.047,0.051
falcon_h1_3b,verified,ssm,128,4096,54,ok,30,2.13606,0.00321,1.047,0.051
falcon_h1_3b,verified,ssm,128,16384,54,ok,30,2.13453,0.00357,1.048,0.051
falcon_h1_3b,verified,ssm,256,1024,54,ok,30,4.06272,0.00498,1.101,0.054
falcon_h1_3b,verified,ssm,256,4096,54,ok,30,4.06272,0.00548,1.101,0.054
falcon_h1_3b,verified,ssm,256,16384,54,ok,30,4.06016,0.0043,1.102,0.054
falcon_h1_3b,verified,attn,8,1024,54,ok,30,0.07782,0.00097,110.105,5.4
falcon_h1_3b,verified,attn,8,4096,54,ok,30,0.16026,0.00128,210.505,10.324
falcon_h1_3b,verified,attn,8,16384,54,ok,30,0.4823,0.0015,278.658,13.666
falcon_h1_3b,verified,attn,32,1024,54,ok,30,0.25702,0.00126,133.355,6.54
falcon_h1_3b,verified,attn,32,4096,54,ok,30,0.88781,0.0007,151.991,7.454
falcon_h1_3b,verified,attn,32,16384,54,ok,30,3.40685,0.00109,157.797,7.739
falcon_h1_3b,verified,attn,128,1024,54,ok,30,0.94106,0.00098,145.689,7.145
falcon_h1_3b,verified,attn,128,4096,54,ok,30,3.41811,0.00134,157.91,7.744
falcon_h1_3b,verified,attn,128,16384,54,ok,30,13.33043,0.00928,161.313,7.911
falcon_h1_3b,verified,attn,256,1024,54,ok,30,1.8473,0.00126,148.435,7.28
falcon_h1_3b,verified,attn,256,4096,54,ok,30,6.76762,0.00152,159.511,7.823
falcon_h1_3b,verified,attn,256,16384,54,ok,30,26.44224,0.01488,162.646,7.977
falcon_h1_3b,verified,ssm,8,1024,68,ok,30,0.52429,0.00812,0.267,0.013
falcon_h1_3b,verified,ssm,8,4096,68,ok,30,0.51968,0.00641,0.269,0.013
falcon_h1_3b,verified,ssm,8,16384,68,ok,30,0.51814,0.00545,0.27,0.013
falcon_h1_3b,verified,ssm,32,1024,68,ok,30,0.62669,0.00533,0.892,0.044
falcon_h1_3b,verified,ssm,32,4096,68,ok,30,0.62618,0.00385,0.893,0.044
