model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
zamba2,a100-80gb,1024,1,54,50.0,256,4,112,False,2.082304000854492,0.011026682701214822
zamba2,a100-80gb,1024,4,54,50.0,256,4,448,False,2.2159359455108643,0.01863194391100092
zamba2,a100-80gb,1024,16,54,50.0,256,4,1792,False,3.3889280557632446,0.0063902619831607945
zamba2,a100-80gb,1024,32,54,50.0,256,4,3584,False,6.112255811691284,0.004318973278596472
zamba2,a100-80gb,2048,1,54,50.0,256,8,112,False,4.061183929443359,0.013664001610665577
zamba2,a100-80gb,2048,4,54,50.0,256,8,448,False,4.167167901992798,0.01502794145448832
zamba2,a100-80gb,2048,16,54,50.0,256,8,1792,False,6.396927833557129,0.007276899787756716
zamba2,a100-80gb,2048,32,54,50.0,256,8,3584,False,11.991040229797363,0.003709288435843366
zamba2,a100-80gb,4096,1,54,50.0,256,16,112,False,7.941632032394409,0.02154570470245766
zamba2,a100-80gb,4096,4,54,50.0,256,16,448,False,8.135680198669434,0.03223453702685438
zamba2,a100-80gb,4096,16,54,50.0,256,16,1792,False,12.409855842590332,0.00733349886333463
zamba2,a100-80gb,4096,32,54,50.0,256,16,3584,False,23.74502468109131,0.005462195694086711
zamba2,a100-80gb,8192,1,54,50.0,256,32,112,False,15.855103969573975,0.041486202786892995
zamba2,a100-80gb,8192,4,54,50.0,256,32,448,False,15.975935935974121,0.3270313141725803
zamba2,a100-80gb,8192,16,54,50.0,256,32,1792,False,24.41113567352295,0.012089334379504574
zamba2,a100-80gb,8192,32,54,50.0,256,32,3584,False,47.23302459716797,0.009126443363112012
zamba2,a100-80gb,512,1,68,63.0,256,2,112,False,1.0915839672088623,0.005856598481277016
zamba2,a100-80gb,512,4,68,63.0,256,2,448,False,1.1786240339279175,0.00881475467109682
zamba2,a100-80gb,512,16,68,63.0,256,2,1792,False,1.6430079936981201,0.010358210610390023
zamba2,a100-80gb,512,32,68,63.0,256,2,3584,False,2.6808319091796875,0.006502334083884568
zamba2,a100-80gb,1024,1,68,63.0,256,4,112,False,2.0776960849761963,0.008940686559176857
zamba2,a100-80gb,1024,4,68,63.0,256,4,448,False,2.177024006843567,0.009469129830078752
zamba2,a100-80gb,1024,16,68,63.0,256,4,1792,False,2.8799999952316284,0.006911525858323156
zamba2,a100-80gb,1024,32,68,63.0,256,4,3584,False,5.094912052154541,0.00544101501387634
zamba2,a100-80gb,2048,1,68,63.0,256,8,112,False,4.06988787651062,0.017400944464276025
zamba2,a100-80gb,2048,4,68,63.0,256,8,448,False,4.149248123168945,0.018108061442056195
zamba2,a100-80gb,2048,16,68,63.0,256,8,1792,False,5.363199949264526,0.008769685953342073
zamba2,a100-80gb,2048,32,68,63.0,256,8,3584,False,9.9169282913208,0.0053053707887213445
zamba2,a100-80gb,4096,1,68,63.0,256,16,112,False,7.9774720668792725,0.023155640952228
zamba2,a100-80gb,4096,4,68,63.0,256,16,448,False,8.134655952453613,0.033054958380619316
zamba2,a100-80gb,4096,16,68,63.0,256,16,1792,False,10.323455810546875,0.007069018408914182
zamba2,a100-80gb,4096,32,68,63.0,256,16,3584,False,19.564544677734375,0.009335793853848535
zamba2,a100-80gb,8192,1,68,63.0,256,32,112,False,15.864831924438477,0.11277950690049728
zamba2,a100-80gb,8192,4,68,63.0,256,32,448,False,15.940095901489258,0.04510878635242422
zamba2,a100-80gb,8192,16,68,63.0,256,32,1792,False,20.22553539276123,0.005912056748694202
zamba2,a100-80gb,8192,32,68,63.0,256,32,3584,False,38.85055923461914,0.011431012832079094
zamba2,a100-80gb,512,1,81,75.0,256,2,112,False,1.0885120034217834,0.00931285150475392
zamba2,a100-80gb,512,4,81,75.0,256,2,448,False,1.1642879843711853,0.007280089166458521
zamba2,a100-80gb,512,16,81,75.0,256,2,1792,False,1.4812159538269043,0.006860715930645235
zamba2,a100-80gb,512,32,81,75.0,256,2,3584,False,2.3639039993286133,0.00796115138675962
zamba2,a100-80gb,1024,1,81,75.0,256,4,112,False,2.064895987510681,0.011834481785704634
zamba2,a100-80gb,1024,4,81,75.0,256,4,448,False,2.152959942817688,0.012819314148804505
zamba2,a100-80gb,1024,16,81,75.0,256,4,1792,False,2.5569279193878174,0.005483614573083797
zamba2,a100-80gb,1024,32,81,75.0,256,4,3584,False,4.443135976791382,0.006632708822397927
zamba2,a100-80gb,2048,1,81,75.0,256,8,112,False,4.037631988525391,0.01565075373927016
zamba2,a100-80gb,2048,4,81,75.0,256,8,448,False,4.136959791183472,0.015670117264230208
zamba2,a100-80gb,2048,16,81,75.0,256,8,1792,False,4.710400104522705,0.007167114281202228
zamba2,a100-80gb,2048,32,81,75.0,256,8,3584,False,8.604159832000732,0.0063499145212535775
zamba2,a100-80gb,4096,1,81,75.0,256,16,112,False,7.991296052932739,0.04396138210279257
zamba2,a100-80gb,4096,4,81,75.0,256,16,448,False,8.109568119049072,0.025186853673659314
zamba2,a100-80gb,4096,16,81,75.0,256,16,1792,False,9.01427173614502,0.003062496173944967
zamba2,a100-80gb,4096,32,81,75.0,256,16,3584,False,16.917503356933594,0.00501765540983771
zamba2,a100-80gb,8192,1,81,75.0,256,32,112,False,15.772672176361084,0.026636146657586044
zamba2,a100-80gb,8192,4,81,75.0,256,32,448,False,15.888383865356445,0.018795075419796255
zamba2,a100-80gb,8192,16,81,75.0,256,32,1792,False,17.60102367401123,0.010068556458440238
zamba2,a100-80gb,8192,32,81,75.0,256,32,3584,False,33.553409576416016,0.006800568376141078
zamba2,a100-80gb,512,1,94,87.0,256,2,112,False,1.0844160318374634,0.008845733367447966
zamba2,a100-80gb,512,4,94,87.0,256,2,448,False,1.1571199893951416,0.006840311663965452
zamba2,a100-80gb,512,16,94,87.0,256,2,1792,False,1.4064639806747437,0.0061968595458421726
zamba2,a100-80gb,512,32,94,87.0,256,2,3584,False,2.1754881143569946,0.007465717447591314
zamba2,a100-80gb,1024,1,94,87.0,256,4,112,False,2.091007947921753,0.012923843021480185
zamba2,a100-80gb,1024,4,94,87.0,256,4,448,False,2.1601279973983765,0.010694171415144808
zamba2,a100-80gb,1024,16,94,87.0,256,4,1792,False,2.4053759574890137,0.009707925871161864
zamba2,a100-80gb,1024,32,94,87.0,256,4,3584,False,4.052992105484009,0.005243702093154461
zamba2,a100-80gb,2048,1,94,87.0,256,8,112,False,4.040704011917114,0.019672094826153702
zamba2,a100-80gb,2048,4,94,87.0,256,8,448,False,4.13593602180481,0.022186349167792843
zamba2,a100-80gb,2048,16,94,87.0,256,8,1792,False,4.392959833145142,0.026013376116754992
zamba2,a100-80gb,2048,32,94,87.0,256,8,3584,False,7.804415941238403,0.007485225297703384
zamba2,a100-80gb,4096,1,94,87.0,256,16,112,False,7.980543851852417,0.031198751216182704
zamba2,a100-80gb,4096,4,94,87.0,256,16,448,False,8.070144176483154,0.022739989138583647
zamba2,a100-80gb,4096,16,94,87.0,256,16,1792,False,8.32153606414795,0.01927131126332641
zamba2,a100-80gb,4096,32,94,87.0,256,16,3584,False,15.308288097381592,0.007849760798968142
zamba2,a100-80gb,8192,1,94,87.0,256,32,112,False,15.806975841522217,0.044043550061882986
zamba2,a100-80gb,8192,4,94,87.0,256,32,448,False,15.946239948272705,0.053621833932599165
zamba2,a100-80gb,8192,16,94,87.0,256,32,1792,False,16.168448448181152,0.03941109608360495
zamba2,a100-80gb,8192,32,94,87.0,256,32,3584,False,30.326272010803223,0.00546251749114899
zamba2,a100-80gb,512,1,108,100.0,256,2,112,False,1.0803200006484985,0.007349399351895291
zamba2,a100-80gb,512,4,108,100.0,256,2,448,False,1.1494399905204773,0.006840300956487441
zamba2,a100-80gb,512,16,108,100.0,256,2,1792,False,1.354752004146576,0.007923774776745855
zamba2,a100-80gb,512,32,108,100.0,256,2,3584,False,1.9967999458312988,0.0052213863849517594
zamba2,a100-80gb,1024,1,108,100.0,256,4,112,False,2.089471936225891,0.009095728896645052
zamba2,a100-80gb,1024,4,108,100.0,256,4,448,False,2.1406720876693726,0.01177674461064853
zamba2,a100-80gb,1024,16,108,100.0,256,4,1792,False,2.3613439798355103,0.008367141952530426
zamba2,a100-80gb,1024,32,108,100.0,256,4,3584,False,3.69868803024292,0.007312081741027993
zamba2,a100-80gb,2048,1,108,100.0,256,8,112,False,4.047359943389893,0.01939575060567968
zamba2,a100-80gb,2048,4,108,100.0,256,8,448,False,4.113408088684082,0.017538312818252848
zamba2,a100-80gb,2048,16,108,100.0,256,8,1792,False,4.3182079792022705,0.02182107649290332
zamba2,a100-80gb,2048,32,108,100.0,256,8,3584,False,7.10041618347168,0.005550293468554715
zamba2,a100-80gb,4096,1,108,100.0,256,16,112,False,7.9759361743927,0.030266844757488646
zamba2,a100-80gb,4096,4,108,100.0,256,16,448,False,8.069120407104492,0.020661551637964577
zamba2,a100-80gb,4096,16,108,100.0,256,16,1792,False,8.243199825286865,0.035504745504110535
zamba2,a100-80gb,4096,32,108,100.0,256,16,3584,False,13.901312351226807,0.005478331956713053
zamba2,a100-80gb,8192,1,108,100.0,256,32,112,False,15.774720191955566,0.07260720191375569
zamba2,a100-80gb,8192,4,108,100.0,256,32,448,False,15.913984298706055,0.05559814955800281
zamba2,a100-80gb,8192,16,108,100.0,256,32,1792,False,16.165888786315918,0.04702268620543
zamba2,a100-80gb,8192,32,108,100.0,256,32,3584,False,27.494400024414062,0.00715660552579651
zamba2,a100-80gb,512,1,14,13.0,512,1,224,False,0.8350720107555389,0.007814220106086076
zamba2,a100-80gb,512,4,14,13.0,512,1,896,False,1.6547839641571045,0.007590352342355425
zamba2,a100-80gb,512,16,14,13.0,512,1,3584,False,5.448703765869141,0.00623437393625609
zamba2,a100-80gb,512,32,14,13.0,512,1,7168,False,10.677248001098633,0.007011917486682213
zamba2,a100-80gb,1024,1,14,13.0,512,2,224,False,1.3393920063972473,0.01018524243221571
zamba2,a100-80gb,1024,4,14,13.0,512,2,896,False,2.9900801181793213,0.0043990488971332046
zamba2,a100-80gb,1024,16,14,13.0,512,2,3584,False,10.674688339233398,0.00683000247564917
zamba2,a100-80gb,1024,32,14,13.0,512,2,7168,False,21.124095916748047,0.006148929140877504
zamba2,a100-80gb,2048,1,14,13.0,512,4,224,False,2.350592017173767,0.010119237905718947
zamba2,a100-80gb,2048,4,14,13.0,512,4,896,False,5.656575918197632,0.006462889490547494
zamba2,a100-80gb,2048,16,14,13.0,512,4,3584,False,21.128704071044922,0.004974121852945763
zamba2,a100-80gb,2048,32,14,13.0,512,4,7168,False,42.04390335083008,0.009579452029072108
zamba2,a100-80gb,4096,1,14,13.0,512,8,224,False,4.329472064971924,0.01503768628793454
zamba2,a100-80gb,4096,4,14,13.0,512,8,896,False,10.976256370544434,0.007524810481221888
zamba2,a100-80gb,4096,16,14,13.0,512,8,3584,False,42.0316162109375,0.02368851573969775
zamba2,a100-80gb,4096,32,14,13.0,512,8,7168,False,83.88556671142578,0.010344962474170024
zamba2,a100-80gb,8192,1,14,13.0,512,16,224,False,8.283135890960693,0.022346725153742607
zamba2,a100-80gb,8192,4,14,13.0,512,16,896,False,21.622783660888672,0.007095282191517867
zamba2,a100-80gb,8192,16,14,13.0,512,16,3584,False,83.8292465209961,0.012391389951501538
zamba2,a100-80gb,8192,32,14,13.0,512,16,7168,False,167.54380798339844,0.0711993545022176
zamba2,a100-80gb,512,1,27,25.0,512,1,224,False,0.7019520103931427,0.008235277245747631
zamba2,a100-80gb,512,4,27,25.0,512,1,896,False,1.1156480312347412,0.009449449561539116
zamba2,a100-80gb,512,16,27,25.0,512,1,3584,False,2.8943361043930054,0.0057885253722840275
zamba2,a100-80gb,512,32,27,25.0,512,1,7168,False,5.534208059310913,0.0041818415376561726
zamba2,a100-80gb,1024,1,27,25.0,512,2,224,False,1.2165119647979736,0.008989465471427364
zamba2,a100-80gb,1024,4,27,25.0,512,2,896,False,1.8119679689407349,0.00827408792905327
zamba2,a100-80gb,1024,16,27,25.0,512,2,3584,False,5.552128076553345,0.005050123275687394
zamba2,a100-80gb,1024,32,27,25.0,512,2,7168,False,10.842623710632324,0.0031284995666300912
zamba2,a100-80gb,2048,1,27,25.0,512,4,224,False,2.2133759260177612,0.011063076059670754
