"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,green_ctx,0.7,76,32,ok,0.5105,7.6508,0.5407,22.015,22.015,2.6975,0.3707,187.7468,17.4427
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,sequential,,108,108,ok,0.511,15.1741,0.511,15.1741,15.6851,1.0,1.0,0.0,32.6424
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,two_stream,,108,108,ok,0.511,15.1741,0.5325,14.8255,14.8255,0.9452,1.058,-2.2978,34.5352
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,green_ctx,0.5,54,54,ok,0.511,15.1741,0.5468,26.3588,26.3588,1.6805,0.5951,73.7085,19.4243
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,green_ctx,0.7,76,32,ok,0.511,15.1741,0.5627,43.9025,43.9025,2.799,0.3573,189.3242,11.6622
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,sequential,,108,108,ok,0.5135,0.5207,0.5135,0.5207,1.0342,1.0,1.0,0.0,255.2599
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,two_stream,,108,108,ok,0.5135,0.5207,0.5033,0.5089,0.5115,0.4946,2.022,-2.2616,516.1411
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,green_ctx,0.5,54,54,ok,0.5135,0.5207,0.5064,0.5253,0.5253,0.5079,1.9688,0.885,502.5585
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,green_ctx,0.7,76,32,ok,0.5135,0.5207,0.5074,0.5514,0.5514,0.5332,1.8756,5.8997,478.7604
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,sequential,,108,108,ok,0.51,0.5908,0.51,0.5908,1.1008,1.0,1.0,0.0,261.6279
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,two_stream,,108,108,ok,0.51,0.5908,0.5094,0.5821,0.5821,0.5288,1.8909,-1.4731,494.7229
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,green_ctx,0.5,54,54,ok,0.51,0.5908,0.5166,0.7045,0.7045,0.64,1.5625,19.2374,408.7936
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,green_ctx,0.7,76,32,ok,0.51,0.5908,0.5202,0.919,0.919,0.8349,1.1978,55.5459,313.3705
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,sequential,,108,108,ok,0.5135,0.9421,0.5135,0.9421,1.4556,1.0,1.0,0.0,219.8382
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,two_stream,,108,108,ok,0.5135,0.9421,0.5146,0.9364,0.9364,0.6433,1.5544,-0.5978,341.7168
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,green_ctx,0.5,54,54,ok,0.5135,0.9421,0.5248,1.2165,1.2165,0.8357,1.1965,29.1304,263.0471
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,green_ctx,0.7,76,32,ok,0.5135,0.9421,0.5263,1.6328,1.6328,1.1217,0.8915,73.3152,195.9862
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,sequential,,108,108,ok,0.5125,1.6794,0.5125,1.6794,2.1919,1.0,1.0,0.0,175.1927
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,two_stream,,108,108,ok,0.5125,1.6794,0.5217,1.6758,1.6758,0.7645,1.308,-0.2134,229.1476
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,green_ctx,0.5,54,54,ok,0.5125,1.6794,0.5315,2.2559,2.2559,1.0292,0.9716,34.3293,170.2224
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,green_ctx,0.7,76,32,ok,0.5125,1.6794,0.5309,3.1078,3.1078,1.4179,0.7053,85.061,123.5585
