"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,sequential,,108,108,ok,0.5335,0.0748,0.5335,0.0748,0.6083,1.0,1.0,0.0,422.5195
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,two_stream,,108,108,ok,0.5335,0.0748,0.532,0.0881,0.532,0.8746,1.1434,17.8082,483.1118
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,green_ctx,0.5,54,54,ok,0.5335,0.0748,0.5309,0.1034,0.5309,0.8729,1.1456,38.3562,484.0435
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,green_ctx,0.7,76,32,ok,0.5335,0.0748,0.5335,0.13,0.5335,0.8771,1.1401,73.9726,481.7208
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,sequential,,108,108,ok,0.5253,0.1126,0.5253,0.1126,0.638,1.0,1.0,0.0,404.4191
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,two_stream,,108,108,ok,0.5253,0.1126,0.5253,0.1219,0.5253,0.8234,1.2144,8.1818,491.1367
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,green_ctx,0.5,54,54,ok,0.5253,0.1126,0.5381,0.1454,0.5381,0.8435,1.1855,29.0909,479.4541
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,green_ctx,0.7,76,32,ok,0.5253,0.1126,0.535,0.1915,0.535,0.8387,1.1923,70.0,482.2069
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,sequential,,108,108,ok,0.5207,0.1925,0.5207,0.1925,0.7132,1.0,1.0,0.0,364.5459
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,two_stream,,108,108,ok,0.5207,0.1925,0.5268,0.1915,0.5268,0.7387,1.3537,-0.5319,493.501
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,green_ctx,0.5,54,54,ok,0.5207,0.1925,0.5356,0.2417,0.5356,0.7509,1.3317,25.5319,485.4804
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,green_ctx,0.7,76,32,ok,0.5207,0.1925,0.5386,0.3379,0.5386,0.7552,1.3241,75.5319,482.7115
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,sequential,,108,108,ok,0.5187,0.4838,0.5187,0.4838,1.0025,1.0,1.0,0.0,263.3427
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,two_stream,,108,108,ok,0.5187,0.4838,0.532,0.4946,0.532,0.5306,1.8845,2.2222,496.2705
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,green_ctx,0.5,54,54,ok,0.5187,0.4838,0.5427,0.769,0.769,0.7671,1.3036,58.9418,343.2923
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,green_ctx,0.7,76,32,ok,0.5187,0.4838,0.5478,1.1817,1.1817,1.1788,0.8484,144.2328,223.4077
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,sequential,,108,108,ok,0.5248,0.7613,0.5248,0.7613,1.2861,1.0,1.0,0.0,211.4849
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,two_stream,,108,108,ok,0.5248,0.7613,0.5391,0.7711,0.7711,0.5995,1.668,1.2777,352.7557
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,green_ctx,0.5,54,54,ok,0.5248,0.7613,0.5468,1.4572,1.4572,1.133,0.8826,91.3921,186.6655
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,green_ctx,0.7,76,32,ok,0.5248,0.7613,0.5519,2.3096,2.3096,1.7958,0.5569,203.3625,117.7677
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,sequential,,108,108,ok,0.5217,1.451,0.5217,1.451,1.9727,1.0,1.0,0.0,145.9901
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,two_stream,,108,108,ok,0.5217,1.451,0.5417,1.4623,1.4623,0.7412,1.3491,0.7763,196.9538
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,green_ctx,0.5,54,54,ok,0.5217,1.451,0.5514,2.7443,2.7443,1.3911,0.7188,89.132,104.944
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,green_ctx,0.7,76,32,ok,0.5217,1.451,0.5555,4.5292,4.5292,2.2959,0.4356,212.1383,63.5881
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,sequential,,108,108,ok,0.5238,2.8682,0.5238,2.8682,3.392,1.0,1.0,0.0,94.3396
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,two_stream,,108,108,ok,0.5238,2.8682,0.5427,2.8974,2.8974,0.8542,1.1707,1.0175,110.4435
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.5,54,54,ok,0.5238,2.8682,0.5622,5.3734,5.3734,1.5842,0.6313,87.3438,59.5522
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,green_ctx,0.7,76,32,ok,0.5238,2.8682,0.554,9.0675,9.0675,2.6732,0.3741,216.1371,35.2908
