prefill_layer,decode_layer,decode_batch,context_len,backend,speedup_vs_seq_micro,concurrent_ms_micro,speedup_vs_seq_full,concurrent_ms_full,speedup_delta
attn,attn,1,4096,two_stream,1.5052,0.0993,1.0094,3.5768,-0.4958
attn,attn,2,4096,two_stream,1.3288,0.1495,1.0182,3.6214,-0.3106
attn,attn,4,4096,two_stream,1.2133,0.2473,1.0083,3.7176,-0.20500000000000007
attn,attn,8,4096,two_stream,1.0809,0.6262,1.0352,4.0049,-0.045700000000000074
attn,attn,16,4096,two_stream,1.0166,1.0184,1.005,4.4933,-0.011600000000000055
attn,attn,32,4096,two_stream,0.9508,2.0388,1.0073,5.3847,0.056500000000000106
attn,attn,64,4096,two_stream,1.0108,3.9235,1.021,7.3344,0.010199999999999987
attn,attn,128,4096,two_stream,1.0325,7.7599,1.0235,11.1785,-0.008999999999999897
attn,attn,256,4096,two_stream,1.0072,15.6242,1.0071,19.0894,-9.999999999998899e-05
attn,attn,512,4096,two_stream,1.0028,31.1547,0.9976,34.8298,-0.005199999999999871
attn,ssm,1,4096,two_stream,1.1312,0.5151,1.1536,3.5333,0.022399999999999975
attn,ssm,2,4096,two_stream,1.1234,0.5064,1.1529,3.5384,0.02950000000000008
attn,ssm,4,4096,two_stream,1.1011,0.5166,1.1505,3.5492,0.04940000000000011
attn,ssm,8,4096,two_stream,1.0945,0.5473,1.1532,3.5548,0.058699999999999974
attn,ssm,16,4096,two_stream,1.0826,0.6072,1.1274,3.692,0.04479999999999995
attn,ssm,32,4096,two_stream,1.0721,0.7316,1.11,3.8523,0.037900000000000045
attn,ssm,64,4096,two_stream,1.0453,0.9723,1.0707,4.224,0.02540000000000009
attn,ssm,128,4096,two_stream,1.0309,1.6415,1.0521,4.9439,0.021200000000000108
attn,ssm,256,4096,two_stream,1.0173,3.0833,1.0456,6.3836,0.028299999999999992
attn,ssm,512,4096,two_stream,1.0001,5.9904,1.0142,9.4515,0.014100000000000001
ssm,attn,1,4096,two_stream,1.1685,0.5228,1.0057,9.0189,-0.16280000000000006
ssm,attn,2,4096,two_stream,1.2591,0.5217,1.0122,8.9728,-0.24690000000000012
ssm,attn,4,4096,two_stream,1.4431,0.5222,1.0285,8.9247,-0.4146000000000001
ssm,attn,8,4096,two_stream,1.7891,0.6287,1.0605,8.9774,-0.7285999999999999
ssm,attn,16,4096,two_stream,1.4985,0.9953,1.099,9.0312,-0.39949999999999997
ssm,attn,32,4096,two_stream,1.219,1.9589,1.2043,9.068,-0.014700000000000157
ssm,attn,64,4096,two_stream,1.1322,3.9537,1.4209,8.9083,0.28869999999999996
ssm,attn,128,4096,two_stream,1.1065,7.6503,1.8526,9.0547,0.7461
ssm,attn,256,4096,two_stream,1.0464,15.4798,1.7544,14.039,0.708
ssm,attn,512,4096,two_stream,1.0253,31.1695,1.3473,29.7759,0.32199999999999984
ssm,ssm,1,4096,two_stream,2.0495,0.5069,1.0369,9.1474,-1.0126000000000002
ssm,ssm,2,4096,two_stream,2.0141,0.5089,1.0605,8.982,-0.9536
ssm,ssm,4,4096,two_stream,2.003,0.5069,1.0664,8.8837,-0.9366000000000001
ssm,ssm,8,4096,two_stream,1.9691,0.5309,1.0599,8.9549,-0.9092
ssm,ssm,16,4096,two_stream,1.8627,0.6006,1.0593,9.0696,-0.8034000000000001
ssm,ssm,32,4096,two_stream,1.7233,0.7178,1.0857,8.9943,-0.6376
ssm,ssm,64,4096,two_stream,1.555,0.9549,1.1234,8.9656,-0.4316
ssm,ssm,128,4096,two_stream,1.3212,1.6261,1.1832,9.0204,-0.1379999999999999
ssm,ssm,256,4096,two_stream,1.1612,3.0874,1.3484,8.9933,0.18720000000000003
ssm,ssm,512,4096,two_stream,1.0822,5.9617,1.6448,9.1172,0.5626
