timestamp_ms,sm_util_pct,mem_util_pct,memory_used_mb,power_w
0.29434967041015625,100,16,10677.625,335.178
506.1947774887085,100,15,10677.625,101.634
1006.362771987915,0,0,10677.625,93.978
1506.4749431610107,0,0,10677.625,92.189
2006.6119499206543,61,9,10677.625,360.239
2507.0281686782837,100,17,10677.625,348.791
3007.2171325683594,100,14,10677.625,389.252
3507.409191131592,100,14,10677.625,373.787
4007.5963220596313,100,16,10677.625,371.14
4510.2102394104,100,17,10677.625,385.947
5010.4094524383545,100,16,10941.625,353.891
5510.63502407074,100,15,11197.625,284.147
6010.778532981873,100,54,11197.625,287.775
6510.885564804077,100,52,11197.625,285.664
7010.99125289917,100,53,11197.625,306.219
7511.0954694747925,100,37,11453.625,258.761
8011.216977119446,100,51,11453.625,211.309
8511.336651802063,91,86,11453.625,179.543
9011.45394229889,96,91,11453.625,251.22
9511.602821350098,100,56,11453.625,276.011
10011.732464790344,100,35,11455.625,274.494
10511.83416557312,100,58,11455.625,269.349
11011.93364238739,100,52,11455.625,265.434
11512.050580978394,100,54,11455.625,283.546
12012.172198295593,100,51,11455.625,277.529
12512.272536277771,100,22,11457.625,262.995
13012.385407447815,100,30,11457.625,265.11
13512.5134973526,100,31,11457.625,259.086
14012.615909576416,100,26,11457.625,250.293
14512.73541355133,100,31,11457.625,261.204
15012.846691131592,100,34,11457.625,318.26
15512.999396324158,100,14,11457.625,385.947
16013.165176391602,100,16,12397.625,346.95
16927.629631996155,100,17,12603.625,383.829
17459.164707183838,5,1,12603.625,91.595
17959.338843345642,0,0,12731.625,88.225
18493.160323143005,80,11,12751.625,301.666
18993.297510147095,100,17,12751.625,295.317
19493.44172000885,100,16,12751.625,298.029
19993.543029785156,100,16,12751.625,283.276
20493.64879798889,100,14,12751.625,290.487
20993.764394760132,100,14,12751.625,309.855
21795.025782585144,100,17,12751.625,289.57
22295.131400108337,100,17,12751.625,296.565
22795.230756759644,100,16,12751.625,285.341
23295.350680351257,100,17,12751.625,288.969
23795.458632469177,100,14,12751.625,300.741
24295.566875457764,100,15,12751.625,290.487
24795.672282218933,100,14,12751.625,294.724
25295.801244735718,100,13,12751.625,297.76
25795.90819454193,100,15,12751.625,288.7
26296.01692867279,100,15,12751.625,300.148
26796.13122177124,100,17,12751.625,288.969
27296.228003501892,100,17,12751.625,295.317
27796.335745811462,100,16,12751.625,300.148
28296.44990825653,99,16,12751.625,256.705
28796.5493144989,93,14,12751.625,240.973
29296.64530467987,93,14,12751.625,240.298
29796.741905212402,93,13,12751.625,294.123
30296.80454349518,100,16,12751.625,295.048
30796.92170238495,100,16,12751.625,275.41
31297.03449344635,100,17,12751.625,284.47
31797.1401014328,100,15,12751.625,305.294
32297.253303527832,100,15,12751.625,295.03
32797.36196613312,100,14,12751.625,300.741
33297.458086013794,100,13,12751.625,305.294
33797.5705871582,100,15,12751.625,288.969
34297.706040382385,100,15,12751.625,303.507
34797.8021402359,100,17,12751.625,288.969
35297.89873123169,100,15,12751.625,288.376
35797.998046875,100,14,12751.625,299.277
36298.11879348755,100,14,12751.625,294.123
36798.218470573425,100,15,12751.625,278.399
37298.31351852417,100,15,12751.625,291.412
37798.40807533264,100,17,12751.625,305.895
38298.50290298462,100,17,12751.625,297.76
38798.60489463806,100,16,12751.625,316.141
39298.70076370239,100,16,12751.625,281.758
39798.798466682434,100,14,12751.625,294.724
40298.990114212036,93,14,12751.625,254.263
40799.11915588379,93,14,12751.625,253.932
41299.23571395874,100,15,12751.625,302.259
41816.233803749084,100,17,12751.625,312.567
42316.327858924866,100,16,12751.625,295.317
42816.42334842682,100,16,12751.625,312.567
43316.56469249725,100,17,12751.625,281.165
43816.813446998596,100,15,12751.625,288.106
44316.917841911316,100,15,12751.625,303.183
44817.016377449036,100,13,12751.625,299.87
45317.110924720764,100,14,12751.625,314.678
45817.20841693878,100,15,12751.625,289.301
46317.32433319092,100,15,12751.625,295.641
46817.43565273285,100,17,12751.625,305.625
47317.543915748596,100,14,12751.625,300.471
47860.41827201843,100,16,12751.625,288.969
48482.212164878845,100,17,12751.625,303.183
