timestamp_ms,sm_util_pct,mem_util_pct,memory_used_mb,power_w
0.23608016967773438,100,14,12751.625,311.912
500.48748207092285,100,16,12751.625,311.049
1000.6458215713501,100,15,12751.625,296.242
1500.773512840271,100,17,12751.625,315.548
2000.8667793273926,100,17,12751.625,290.818
2500.9528427124023,100,15,12751.625,310.125
3001.0453386306763,100,16,12751.625,323.144
3501.3010482788086,100,14,12751.625,322.22
4001.7119884490967,100,14,12751.625,307.138
4501.821445465088,100,15,12751.625,311.049
5001.913690567017,100,15,12751.625,316.473
5501.99994468689,100,17,12751.625,300.471
6002.326867103577,100,16,12751.625,311.642
6502.44434928894,100,16,12751.625,314.678
7002.565267562866,100,17,12751.625,306.82
7502.672380447388,100,14,12751.625,321.026
8002.759095191956,98,16,12751.625,256.705
8502.865126609802,93,14,12751.625,256.705
9002.98222732544,93,13,12751.625,251.22
9503.141207695007,100,16,12751.625,305.625
10003.251816749573,100,15,12751.625,319.508
10503.34544467926,100,17,12751.625,298.353
11003.469288825989,100,17,12751.625,309.855
11503.622316360474,100,15,12751.625,320.379
12003.730791091919,100,14,12751.625,302.86
12503.847913742065,100,14,12751.625,307.089
13003.976806640625,100,15,12751.625,294.447
13504.124375343323,100,15,12751.625,300.148
14004.28315448761,100,17,12751.625,323.144
14504.393964767456,100,17,12751.625,313.761
15004.533677101135,100,16,12751.625,305.625
15859.426831245422,100,14,12751.625,318.907
16359.55205821991,100,15,12751.625,298.353
16859.682975769043,100,14,12751.625,306.219
17359.81043624878,100,17,12751.625,313.16
17859.955209732056,100,16,12751.625,312.243
18360.071389198303,100,17,12751.625,313.43
18860.194591522217,100,17,12751.625,298.622
19360.450612068176,97,15,12751.625,252.468
19860.686856269836,93,14,12751.625,258.762
20360.808656692505,94,14,12751.625,267.221
20860.926389694214,100,14,12751.625,314.678
21361.03936290741,100,17,12751.625,307.736
21861.15803718567,100,16,12751.625,312.567
22361.29534626007,100,16,12751.625,312.836
22861.426253318787,100,17,12751.625,304.971
23361.572479248047,100,15,12751.625,308.93
23861.69714450836,100,15,12751.625,311.642
24361.81763267517,100,13,12751.625,313.761
24861.946445465088,100,14,12751.625,313.16
25362.105996131897,100,15,12751.625,307.736
25862.274143218994,100,15,12751.625,326.449
26362.39749622345,100,17,12751.625,297.159
26862.518314361572,100,17,12751.625,309.855
27362.641637802124,100,16,12751.625,321.295
27862.764780044556,100,17,12751.625,309.531
28363.135464668274,100,14,12751.625,322.489
28863.288763046265,100,15,12751.625,291.088
29363.40772819519,100,14,12751.625,303.776
29863.53072166443,100,13,12751.625,308.006
30363.736568450928,100,16,12751.625,259.086
30863.867525100708,93,13,12751.625,259.686
31363.994775772095,93,13,12751.625,255.722
31864.118229866028,100,16,12751.625,305.294
32364.23693370819,100,14,12751.625,313.43
32864.37657737732,100,14,12751.625,302.86
33364.52724170685,100,15,12751.625,308.607
33864.69020843506,100,14,12751.625,320.101
34364.79339313507,100,17,12751.625,304.1
34864.91771888733,100,15,12751.625,310.448
35365.03267669678,100,17,12751.625,309.531
35892.20835399628,100,17,12751.625,311.049
36392.33119678497,100,15,12751.625,281.758
36892.46450805664,100,16,12751.625,298.029
37392.58546638489,100,13,12751.625,312.836
37892.703830718994,100,14,12751.625,308.337
38392.827854156494,100,15,12751.625,325.856
38892.95635700226,100,17,12751.625,298.954
39393.070172309875,100,15,12751.625,307.089
39893.17156505585,100,15,12751.625,309.531
40393.28876686096,100,13,12751.625,293.8
40893.41048622131,100,14,12751.625,312.836
41393.52847957611,100,17,12751.625,301.388
41930.714431762695,94,14,12751.625,253.932
42430.82406902313,93,14,12751.625,250.293
42930.955748558044,94,14,12751.625,303.183
43431.339767456055,100,17,12751.625,308.006
43931.48338890076,100,15,12751.625,323.144
44431.605078697205,100,15,12751.625,305.895
44931.7271194458,100,14,12751.625,302.86
45431.852816581726,100,14,12751.625,297.436
45931.98132991791,100,15,12751.625,300.148
46477.27997589111,100,14,12751.625,302.582
46977.42415714264,100,14,12751.625,308.607
47477.5450258255,100,16,12751.625,305.895
47977.665994644165,100,15,12751.625,322.22
48477.78394699097,100,17,12751.625,301.666
48977.91161823273,100,17,12751.625,308.006
49478.116057395935,100,15,12751.625,319.778
49978.278321266174,100,16,12751.625,308.006
50478.396825790405,100,14,12751.625,307.736
50978.51760196686,100,14,12751.625,299.87
51478.62971305847,100,15,12751.625,306.219
51978.73527240753,100,14,12751.625,319.778
52478.853174209595,100,17,12751.625,305.294
52978.97812080383,93,14,12751.625,255.121
53479.09845638275,93,14,12751.625,258.761
53979.25081348419,96,14,12751.625,258.437
54479.37421512604,100,13,12751.625,319.778
54979.496185302734,100,14,12751.625,303.507
55479.61734390259,100,15,12751.625,302.86
55979.74123668671,100,15,12751.625,283.276
56479.85224533081,100,17,12751.625,302.582
56979.96408653259,100,17,12751.625,315.278
57480.08431339264,100,13,12751.625,308.337
57980.274740219116,100,14,12751.625,320.379
58480.392181396484,100,15,12751.625,301.065
58980.51828956604,100,15,12751.625,301.388
59480.63944721222,100,17,12751.625,304.701
59980.77337932587,100,16,12751.625,295.03
60480.89077091217,100,16,12751.625,316.796
60981.15466403961,100,17,12751.625,302.582
61481.28832626343,100,14,12751.625,306.219
61981.413511276245,100,15,12751.625,313.16
62481.53329753876,100,14,12751.625,297.159
62981.65871334076,100,14,12751.625,306.488
63481.77188682556,100,15,12751.625,312.567
63981.930104255676,100,15,12751.625,291.681
64482.04307746887,93,14,12751.625,250.95
64982.17764091492,93,14,12751.625,250.617
65482.325538635254,97,14,12751.625,304.377
65982.48217201233,100,15,12751.625,318.907
66482.59992408752,100,13,12751.625,310.448
66982.7208328247,100,15,12751.625,324.331
67482.84678936005,100,15,12751.625,295.641
67982.974609375,100,15,12751.625,295.911
68483.09029769897,100,17,12751.625,305.895
68983.21085453033,100,17,12751.625,305.625
69483.32908725739,100,16,12751.625,313.16
69983.45403289795,100,17,12751.625,319.508
70483.5791387558,100,14,12751.625,310.448
70983.69515609741,100,15,12751.625,316.141
71484.747672081,100,15,12751.625,300.471
71985.0236492157,100,13,12751.625,311.319
72553.41691207886,100,14,12751.625,321.619
73053.61088657379,100,14,12751.625,302.86
73846.67373943329,100,17,12751.625,313.761
74347.05334949493,100,15,12751.625,295.048
74847.36689662933,100,16,12751.625,300.741
75347.51627731323,96,15,12751.625,250.033
75860.4196395874,93,14,12751.625,251.22
76360.576795578,93,14,12751.625,257.891
76860.70077800751,100,15,12751.625,301.065
77360.82242774963,100,17,12751.625,302.259
77860.94046974182,100,15,12751.625,315.278
78361.05896282196,100,13,12751.625,308.927
78861.18215465546,100,14,12751.625,316.141
79361.30109882355,100,15,12751.625,313.761
79861.42410087585,100,15,12751.625,302.86
80361.54363536835,100,17,12751.625,314.03
80861.66231918335,100,17,12751.625,313.43
81361.77358818054,100,16,12751.625,309.2
81861.87898731232,100,16,12751.625,310.718
82361.99498653412,100,14,12751.625,306.82
82862.1116361618,100,15,12751.625,314.03
83362.23864555359,100,14,12751.625,289.301
83862.3645029068,100,13,12751.625,304.701
84362.48454856873,100,16,12751.625,304.377
84862.62370967865,100,15,12751.625,304.701
85362.74468708038,100,17,12751.625,318.26
85862.88382911682,100,17,12751.625,294.123
86363.24387359619,100,15,12751.625,309.855
86863.39389514923,93,14,12751.625,257.241
87363.51313972473,93,14,12751.625,255.18
87863.63439846039,99,14,12751.625,303.776
88363.76595497131,100,15,12751.625,303.183
88863.89012908936,100,15,12751.625,295.641
89364.01393222809,100,17,12751.625,313.43
89864.13120365143,100,17,12751.625,293.233
90364.2654762268,100,15,12751.625,307.089
90864.39644241333,100,16,12751.625,325.856
91364.51234054565,100,14,12751.625,307.736
91864.63537216187,100,14,12751.625,317.389
92364.7539768219,100,15,12751.625,290.487
92864.90649223328,100,14,12751.625,309.531
93365.02748012543,100,17,12751.625,319.508
93865.14188671112,100,15,12751.625,313.761
94365.24950885773,100,16,12751.625,321.295
94865.37191963196,100,14,12751.625,300.471
95365.48303890228,100,15,12751.625,304.701
95898.82994651794,100,15,12751.625,299.547
96398.95327854156,100,13,12751.625,312.836
96899.21767425537,100,14,12751.625,311.319
97399.39267253876,100,15,12751.625,308.006
97899.53518009186,94,14,12751.625,261.151
98399.65378475189,93,14,12751.625,260.28
98899.77229785919,94,13,12751.625,308.337
99399.90055847168,100,15,12751.625,325.856
99900.01185798645,100,15,12751.625,295.317
100400.13521003723,100,14,12751.625,305.895
100900.2646446228,100,14,12751.625,306.82
101400.38894844055,100,16,12751.625,307.089
101931.03296375275,100,17,12751.625,318.584
102431.13277244568,100,17,12751.625,297.436
102931.26344871521,100,15,12751.625,307.089
103431.38425540924,100,16,12751.625,323.414
103931.50365066528,100,14,12751.625,300.148
104431.61930847168,100,14,12751.625,310.718
104931.74409389496,100,15,12751.625,299.547
105431.86783599854,100,14,12751.625,307.413
105932.00389289856,100,17,12751.625,324.932
106432.11797714233,100,16,12751.625,316.796
106932.26170730591,100,16,12751.625,319.508
107432.44637489319,100,17,12751.625,305.625
107932.57098865509,100,15,12751.625,300.741
108432.87165164948,100,15,12751.625,293.8
108932.99748802185,100,14,12751.625,306.488
109433.09601402283,93,14,12751.625,258.159
109933.2166519165,93,13,12751.625,250.617
110433.33703804016,100,17,12751.625,295.317
110933.45821666718,100,16,12751.625,308.006
111433.56524848938,100,17,12751.625,304.377
111933.67454433441,100,14,12751.625,316.141
112433.79021263123,100,15,12751.625,301.666
112933.91361427307,100,14,12751.625,307.736
113434.02757930756,100,13,12751.625,321.896
113934.1728105545,100,15,12751.625,306.488
114434.29177570343,100,15,12751.625,309.2
114934.41790390015,100,17,12751.625,294.724
115434.53303050995,100,17,12751.625,306.488
115934.6479883194,100,16,12751.625,300.148
116434.75488090515,100,16,12751.625,310.125
116934.85680389404,100,14,12751.625,311.642
117435.002658844,100,15,12751.625,323.144
117935.17209720612,100,15,12751.625,302.86
118435.2933254242,100,14,12751.625,311.049
118935.4239320755,100,17,12751.625,315.872
119435.53929042816,100,15,12751.625,312.836
119935.94304656982,100,17,12751.625,311.642
120436.06815242767,93,14,12751.625,258.762
120936.20154476166,94,14,12751.625,257.298
121436.33366298676,97,14,12751.625,329.431
121936.4588508606,100,15,12751.625,299.547
122436.573346138,100,15,12751.625,312.567
122936.696559906,100,14,12751.625,314.354
123436.81740760803,100,16,12751.625,302.86
123936.93982887268,100,15,12751.625,318.26
124437.04573822021,100,17,12751.625,314.955
124937.15914344788,100,15,12751.625,313.43
125437.27031326294,100,15,12751.625,323.414
125937.3855419159,100,16,12751.625,314.354
126438.03761005402,100,14,12751.625,325.856
126938.17169380188,100,14,12751.625,316.141
127438.27589035034,100,15,12751.625,324.331
127938.36853599548,100,14,12751.625,295.641
128438.48093891144,100,17,12751.625,303.776
128938.58557605743,100,15,12751.625,311.912
129439.00236701965,100,17,12751.625,310.125
129939.14610767365,100,17,12751.625,323.414
130439.25801944733,100,15,12751.625,309.2
130939.35290908813,100,15,12751.625,305.625
131439.45255851746,95,14,12751.625,263.315
131939.5789461136,93,13,12751.625,261.475
132439.71212863922,93,14,12751.625,258.437
132939.82944965363,100,16,12751.625,325.201
133439.994430542,100,16,12751.625,317.066
133940.37411117554,100,14,12751.625,325.201
134440.54497241974,100,15,12751.625,299.277
134940.72078323364,100,14,12751.625,298.353
135440.8803844452,100,14,12751.625,324.608
135941.31323432922,100,16,12751.625,317.066
136441.4392528534,100,15,12751.625,323.737
136941.55903816223,100,17,12751.625,311.642
137441.67411613464,100,17,12751.625,300.471
137941.80614566803,100,15,12751.625,309.2
138441.92452812195,100,16,12751.625,298.353
138942.0431623459,100,14,12751.625,309.855
139442.17306804657,100,14,12751.625,316.473
