"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.638,1.5831,0.7199,5.0345,5.0345,2.2667,0.4412,218.0142,54.0273
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,sequential,,108,108,ok,0.642,3.2072,0.642,3.2072,3.8492,1.0,1.0,0.0,74.8204
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,two_stream,,108,108,ok,0.642,3.2072,0.6728,3.1805,3.1805,0.8263,1.2102,-0.8301,90.5506
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.642,3.2072,0.7332,5.9689,5.9689,1.5507,0.6449,86.1111,48.2501
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.642,3.2072,0.7286,10.0362,10.0362,2.6073,0.3835,212.931,28.6961
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,sequential,,108,108,ok,0.6446,6.2413,0.6446,6.2413,6.8859,1.0,1.0,0.0,46.4719
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6446,6.2413,0.6769,6.1875,6.1875,0.8986,1.1129,-0.8614,51.717
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6446,6.2413,0.7378,11.9137,11.9137,1.7302,0.578,90.886,26.8598
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6446,6.2413,0.7337,20.0602,20.0602,2.9132,0.3433,221.411,15.952
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,1,1,sequential,,108,108,ok,0.6426,12.542,0.6426,12.542,13.1845,1.0,1.0,0.0,29.1251
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6426,12.542,0.684,12.3904,12.3904,0.9398,1.0641,-1.2084,30.9917
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6426,12.542,0.7465,23.7481,23.7481,1.8012,0.5552,89.3493,16.1697
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6426,12.542,0.7455,40.0988,40.0988,3.0414,0.3288,219.7175,9.5763
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,1,1,sequential,,108,108,ok,0.6508,25.2191,0.6508,25.2191,25.8698,1.0,1.0,0.0,19.7914
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6508,25.2191,0.6927,25.0327,25.0327,0.9676,1.0334,-0.739,20.4532
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6508,25.2191,0.7608,47.3656,47.3656,1.8309,0.5462,87.8167,10.8095
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6508,25.2191,0.7675,79.959,79.959,3.0908,0.3235,217.0578,6.4033
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,256,256,full,1,1,sequential,,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,256,256,full,1,1,two_stream,,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,256,256,full,1,1,green_ctx,0.5,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,256,256,full,1,1,green_ctx,0.7,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,256,256,full,1,1,sequential,,108,108,ok,0.6456,0.5171,0.6456,0.5171,1.1628,1.0,1.0,0.0,221.0274
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6456,0.5171,0.6569,0.5171,0.6569,0.5649,1.7701,0.0,391.2339
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6456,0.5171,0.7132,0.5181,0.7132,0.6134,1.6303,0.198,360.3396
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6456,0.5171,0.703,0.5243,0.703,0.6046,1.654,1.3861,365.5886
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,256,256,full,1,1,sequential,,108,108,ok,0.638,0.5202,0.638,0.5202,1.1581,1.0,1.0,0.0,222.7702
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,256,256,full,1,1,two_stream,,108,108,ok,0.638,0.5202,0.6482,0.5161,0.6482,0.5597,1.7867,-0.7874,398.0302
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.638,0.5202,0.7045,0.5253,0.7045,0.6083,1.6439,0.9842,366.2109
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.638,0.5202,0.6963,0.5509,0.6963,0.6012,1.6632,5.9055,370.5193
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,256,256,full,1,1,sequential,,108,108,ok,0.6287,0.51,0.6287,0.51,1.1387,1.0,1.0,0.0,228.333
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6287,0.51,0.6395,0.5207,0.6395,0.5616,1.7806,2.1084,406.5753
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6287,0.51,0.704,0.5612,0.704,0.6183,1.6175,10.0402,369.3182
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6287,0.51,0.7014,0.6195,0.7014,0.616,1.6234,21.4859,370.6661
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,256,256,full,1,1,sequential,,108,108,ok,0.6374,0.554,0.6374,0.554,1.1914,1.0,1.0,0.0,221.5836
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6374,0.554,0.641,0.5647,0.641,0.538,1.8586,1.9409,411.8411
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6374,0.554,0.7076,0.6533,0.7076,0.5939,1.6838,17.9298,373.1006
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6374,0.554,0.703,0.766,0.766,0.6429,1.5555,38.2625,344.6691
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,256,256,full,1,1,sequential,,108,108,ok,0.6364,0.6523,0.6364,0.6523,1.2887,1.0,1.0,0.0,211.0648
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6364,0.6523,0.6441,0.6559,0.6569,0.5097,1.9618,0.5494,414.0686
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6364,0.6523,0.7127,0.8238,0.8238,0.6393,1.5643,26.2951,330.174
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6364,0.6523,0.7101,1.0445,1.0445,0.8105,1.2338,60.1256,260.4167
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,256,256,full,1,1,sequential,,108,108,ok,0.6303,0.8182,0.6303,0.8182,1.4484,1.0,1.0,0.0,198.8335
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6303,0.8182,0.6508,0.8223,0.8223,0.5677,1.7615,0.5006,350.2491
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6303,0.8182,0.7204,1.1566,1.1566,0.7985,1.2523,41.3642,249.004
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6303,0.8182,0.7178,1.6461,1.6461,1.1364,0.8799,101.189,174.9611
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,256,256,full,1,1,sequential,,108,108,ok,0.6344,1.1663,0.6344,1.1663,1.8007,1.0,1.0,0.0,177.7083
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6344,1.1663,0.6579,1.1715,1.1715,0.6506,1.5372,0.439,273.1643
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6344,1.1663,0.726,1.9599,1.9599,1.0884,0.9188,68.0421,163.2706
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6344,1.1663,0.7214,3.0817,3.0817,1.7114,0.5843,164.223,103.8378
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,256,256,full,1,1,sequential,,108,108,ok,0.6359,2.1356,0.6359,2.1356,2.7715,1.0,1.0,0.0,138.5553
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6359,2.1356,0.6656,2.1361,2.1361,0.7707,1.2975,0.024,179.7699
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6359,2.1356,0.7332,3.7028,3.7028,1.336,0.7485,73.3877,103.7058
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6359,2.1356,0.7235,5.9474,5.9474,2.1459,0.466,178.4944,64.5661
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,256,256,full,1,1,sequential,,108,108,ok,0.639,4.076,0.639,4.076,4.715,1.0,1.0,0.0,108.5894
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,256,256,full,1,1,two_stream,,108,108,ok,0.639,4.076,0.6687,4.0776,4.0776,0.8648,1.1563,0.0377,125.565
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.639,4.076,0.7276,7.1823,7.1823,1.5233,0.6565,76.209,71.286
