sm_count,sm_ratio,seq_len,batch_size,context_len,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,error
14,0.12962962962962962,512,1,4096,0.9830399751663208,1.2011622071266175,40.533334357291494,1000.0,4.053333435729149,falcon_h1,attn,
14,0.12962962962962962,512,4,4096,3.458048105239868,3.4652159214019775,26.987265983544386,1000.0,2.6987265983544386,falcon_h1,attn,
14,0.12962962962962962,512,16,4096,13.454336166381836,13.461524467468262,22.835223098385057,1000.0,2.283522309838506,falcon_h1,attn,
14,0.12962962962962962,512,32,4096,26.75455951690674,26.764410820007324,22.143718704306156,1000.0,2.2143718704306155,falcon_h1,attn,
14,0.12962962962962962,1024,1,4096,1.5206400156021118,1.5308902144432068,35.16767640684842,1000.0,3.5167676406848427,falcon_h1,attn,
14,0.12962962962962962,1024,4,4096,5.696512222290039,5.705738291740418,25.95434017002136,1000.0,2.595434017002136,falcon_h1,attn,
14,0.12962962962962962,1024,16,4096,22.29350471496582,22.303753604888914,23.564557601718725,1000.0,2.3564557601718725,falcon_h1,attn,
14,0.12962962962962962,1024,32,4096,44.33100891113281,44.34434913635254,23.203917106016398,1000.0,2.3203917106016396,falcon_h1,attn,
14,0.12962962962962962,2048,1,4096,2.9649919271469116,2.9849703192710875,27.23122152905593,1000.0,2.723122152905593,falcon_h1,attn,
14,0.12962962962962962,2048,4,4096,11.415040016174316,11.440159044265748,22.505494473605786,1000.0,2.2505494473605787,falcon_h1,attn,
14,0.12962962962962962,2048,16,4096,45.002750396728516,45.02221939086914,21.366342801792392,1000.0,2.1366342801792393,falcon_h1,attn,
14,0.12962962962962962,2048,32,4096,89.7259521484375,89.75155906677246,21.187496398533405,1000.0,2.1187496398533403,falcon_h1,attn,
14,0.12962962962962962,4096,1,4096,7.154687881469727,7.185459313392639,18.90596853991811,1000.0,1.890596853991811,falcon_h1,attn,
14,0.12962962962962962,4096,4,4096,27.94752025604248,27.987978687286375,16.996317513976937,1000.0,1.6996317513976937,falcon_h1,attn,
14,0.12962962962962962,4096,16,4096,110.8172836303711,110.85420272827149,16.549398829492482,1000.0,1.654939882949248,falcon_h1,attn,
14,0.12962962962962962,4096,32,4096,221.41644287109375,221.46668014526367,16.46625112716946,1000.0,1.646625112716946,falcon_h1,attn,
14,0.12962962962962962,8192,1,4096,20.589567184448242,20.64080900192261,11.866116747929457,1000.0,1.1866116747929458,falcon_h1,attn,
14,0.12962962962962962,8192,4,4096,81.36089324951172,81.42644004821777,11.19963790473095,1000.0,1.119963790473095,falcon_h1,attn,
14,0.12962962962962962,8192,16,4096,324.33355712890625,324.4023547363281,11.034288032605923,1000.0,1.1034288032605923,falcon_h1,attn,
14,0.12962962962962962,8192,32,4096,648.3732299804688,648.5218206787109,11.00532741028643,1000.0,1.100532741028643,falcon_h1,attn,
14,0.12962962962962962,16384,1,4096,67.87174224853516,67.97008796691894,6.813174388638599,1000.0,0.6813174388638599,falcon_h1,attn,
14,0.12962962962962962,16384,4,4096,269.8526611328125,269.95019683837893,6.609635674936547,1000.0,0.6609635674936547,falcon_h1,attn,
14,0.12962962962962962,16384,16,4096,1077.813232421875,1078.0973327636718,6.5581406902168045,1000.0,0.6558140690216805,falcon_h1,attn,
14,0.12962962962962962,16384,32,4096,2155.07666015625,2155.428154296875,6.549596029208829,1000.0,0.654959602920883,falcon_h1,attn,
27,0.25,512,1,4096,0.6717439889907837,0.6790655839443206,59.317074142879584,1000.0,5.931707414287958,falcon_h1,attn,
27,0.25,512,4,4096,1.8309119939804077,1.8411519527435303,50.97091739353073,1000.0,5.097091739353074,falcon_h1,attn,
27,0.25,512,16,4096,6.907904148101807,6.914058432579041,44.47554010783765,1000.0,4.447554010783765,falcon_h1,attn,
27,0.25,512,32,4096,13.561856269836426,13.67463906288147,43.68468653643574,1000.0,4.368468653643574,falcon_h1,attn,
27,0.25,1024,1,4096,0.8509439826011658,0.8622182488441468,62.844766627916385,1000.0,6.284476662791638,falcon_h1,attn,
27,0.25,1024,4,4096,2.945024013519287,2.9562880992889404,50.203059574825346,1000.0,5.020305957482535,falcon_h1,attn,
27,0.25,1024,16,4096,11.284480094909668,11.295764427185059,46.55390160482226,1000.0,4.655390160482225,falcon_h1,attn,
27,0.25,1024,32,4096,22.404096603393555,22.41434549331665,45.91361455941007,1000.0,4.591361455941008,falcon_h1,attn,
27,0.25,2048,1,4096,1.5994880199432373,1.6199782955646516,50.478872610040135,1000.0,5.047887261004014,falcon_h1,attn,
27,0.25,2048,4,4096,5.882880210876465,5.903370132446289,43.66927606736453,1000.0,4.366927606736453,falcon_h1,attn,
27,0.25,2048,16,4096,22.751232147216797,22.7697159576416,42.26338977063392,1000.0,4.226338977063392,falcon_h1,attn,
27,0.25,2048,32,4096,45.2229118347168,45.24443576812744,42.03772404015313,1000.0,4.203772404015313,falcon_h1,attn,
27,0.25,4096,1,4096,3.72326397895813,3.752990686893463,36.33003320861799,1000.0,3.633003320861799,falcon_h1,attn,
27,0.25,4096,4,4096,14.157311916351318,14.188574991226197,33.551915138027155,1000.0,3.3551915138027155,falcon_h1,attn,
27,0.25,4096,16,4096,55.786495208740234,55.821322174072264,32.874612702191556,1000.0,3.287461270219155,falcon_h1,attn,
27,0.25,4096,32,4096,111.24838256835938,111.28321334838867,32.77260008485683,1000.0,3.2772600084856838,falcon_h1,attn,
27,0.25,8192,1,4096,10.551807880401611,10.6005295753479,23.154156213721837,1000.0,2.3154156213721837,falcon_h1,attn,
27,0.25,8192,4,4096,40.9989128112793,41.048075408935546,22.22528553853053,1000.0,2.222528553853053,falcon_h1,attn,
27,0.25,8192,16,4096,162.70233154296875,162.7589486694336,21.995934871129133,1000.0,2.1995934871129132,falcon_h1,attn,
27,0.25,8192,32,4096,325.0954284667969,325.1732482910156,21.94912341170857,1000.0,2.1949123411708573,falcon_h1,attn,
