"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,1.5186,1.6,2.814,3.1242,3.1242,1.0018,0.9982,95.264,87.0616
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,1.5186,1.6,1.9564,4.9142,4.9142,1.5758,0.6346,207.136,55.3501
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,8,1,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,8,1,sequential,,108,108,ok,1.5212,3.2189,1.5212,3.2189,4.7401,1.0,1.0,0.0,60.7583
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,8,1,two_stream,,108,108,ok,1.5212,3.2189,4.5839,3.4048,4.5839,0.9671,1.0341,5.7738,62.8281
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,1.5212,3.2189,2.8027,5.8993,5.8993,1.2445,0.8035,83.2671,48.8197
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,1.5212,3.2189,1.9492,9.7475,9.7475,2.0564,0.4863,202.8153,29.5462
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,256,256,full,8,1,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,8,1,sequential,,108,108,ok,1.5217,6.2495,1.5217,6.2495,7.7711,1.0,1.0,0.0,41.178
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,8,1,two_stream,,108,108,ok,1.5217,6.2495,7.7517,6.4906,7.7517,0.9975,1.0025,3.8588,41.2814
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,1.5217,6.2495,2.7633,11.586,11.586,1.4909,0.6707,85.3924,27.6194
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,1.5217,6.2495,1.9466,19.5092,19.5092,2.5105,0.3983,212.1743,16.4025
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,256,256,full,8,1,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,8,1,sequential,,108,108,ok,1.5206,12.7995,1.5206,12.7995,14.3201,1.0,1.0,0.0,26.8154
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,8,1,two_stream,,108,108,ok,1.5206,12.7995,14.0974,12.8369,14.0974,0.9844,1.0158,0.292,27.239
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,1.5206,12.7995,2.7622,23.273,23.273,1.6252,0.6153,81.8273,16.4998
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,1.5206,12.7995,1.9497,38.9484,38.9484,2.7198,0.3677,204.2962,9.8592
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,full,8,1,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,8,1,sequential,,108,108,ok,1.535,25.3573,1.535,25.3573,26.8923,1.0,1.0,0.0,19.0389
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,8,1,two_stream,,108,108,ok,1.535,25.3573,26.6363,25.3629,26.6363,0.9905,1.0096,0.0222,19.2219
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,1.535,25.3573,2.7633,46.2392,46.2392,1.7194,0.5816,82.3507,11.0728
