model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,state_passing_active
falcon_h1,a100-sxm4-80gb,16384,32,27,25.0,256,64,768,False,93.15635299682617,0.011941171818386926,True
falcon_h1,a100-sxm4-80gb,512,1,40,37.0,256,2,24,True,1.0879999995231628,0.005520743797052104,True
falcon_h1,a100-sxm4-80gb,512,4,40,37.0,256,2,96,False,1.132032036781311,0.008942661995218398,True
falcon_h1,a100-sxm4-80gb,512,16,40,37.0,256,2,384,False,1.3803520202636719,0.007418818174265363,True
falcon_h1,a100-sxm4-80gb,512,32,40,37.0,256,2,768,False,2.3823360204696655,0.004765274560368122,True
falcon_h1,a100-sxm4-80gb,1024,1,40,37.0,256,4,24,True,2.08076810836792,0.012202851464139927,True
falcon_h1,a100-sxm4-80gb,1024,4,40,37.0,256,4,96,False,2.116607904434204,0.010824075179826288,True
falcon_h1,a100-sxm4-80gb,1024,16,40,37.0,256,4,384,False,2.493951916694641,0.006086784659124911,True
falcon_h1,a100-sxm4-80gb,1024,32,40,37.0,256,4,768,False,4.528128147125244,0.005541847342974366,True
falcon_h1,a100-sxm4-80gb,2048,1,40,37.0,256,8,24,True,4.038655996322632,0.015329220658515608,True
falcon_h1,a100-sxm4-80gb,2048,4,40,37.0,256,8,96,False,4.079616069793701,0.015832878596781928,True
falcon_h1,a100-sxm4-80gb,2048,16,40,37.0,256,8,384,False,4.718591928482056,0.008234645187418366,True
falcon_h1,a100-sxm4-80gb,2048,32,40,37.0,256,8,768,False,8.818175792694092,0.012418185913652739,True
falcon_h1,a100-sxm4-80gb,4096,1,40,37.0,256,16,24,True,7.943680047988892,0.03174286578016149,True
falcon_h1,a100-sxm4-80gb,4096,4,40,37.0,256,16,96,False,7.988224029541016,0.020458666138144066,True
falcon_h1,a100-sxm4-80gb,4096,16,40,37.0,256,16,384,False,9.174015998840332,0.006986070515525652,True
falcon_h1,a100-sxm4-80gb,4096,32,40,37.0,256,16,768,False,17.38495922088623,0.004903872957609042,True
falcon_h1,a100-sxm4-80gb,8192,1,40,37.0,256,32,24,True,15.643136024475098,0.02905652356571295,True
falcon_h1,a100-sxm4-80gb,8192,4,40,37.0,256,32,96,False,15.755775928497314,0.03724082664658664,True
falcon_h1,a100-sxm4-80gb,8192,16,40,37.0,256,32,384,False,18.057727813720703,0.009916925599441618,True
falcon_h1,a100-sxm4-80gb,8192,32,40,37.0,256,32,768,False,34.529279708862305,0.005727695981646079,True
falcon_h1,a100-sxm4-80gb,16384,1,40,37.0,256,64,24,True,31.06918430328369,0.07188125809811122,True
falcon_h1,a100-sxm4-80gb,16384,4,40,37.0,256,64,96,False,31.29753589630127,0.10169677281463478,True
falcon_h1,a100-sxm4-80gb,16384,16,40,37.0,256,64,384,False,35.84307289123535,0.05977618500589671,True
falcon_h1,a100-sxm4-80gb,16384,32,40,37.0,256,64,768,False,68.80972671508789,0.011813332855950239,True
falcon_h1,a100-sxm4-80gb,512,1,54,50.0,256,2,24,True,1.0828800201416016,0.011435956144703512,True
falcon_h1,a100-sxm4-80gb,512,4,54,50.0,256,2,96,False,1.1176960468292236,0.00809831573869753,True
falcon_h1,a100-sxm4-80gb,512,16,54,50.0,256,2,384,False,1.2590080499649048,0.010726788392525579,True
falcon_h1,a100-sxm4-80gb,512,32,54,50.0,256,2,768,False,1.9420160055160522,0.002517569443007975,True
