model,policy,lambda_req_ms,slo_ms,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s
zamba2_2.7b,fused,0.05,1000.0,400,59776,28659.523,68150.919,178.8219,178.8219,644.0,1.0,644.0
zamba2_2.7b,co_schedule,0.05,1000.0,400,59776,26674.334,57976.097,80.3079,80.3079,751.8,1.0,751.8
zamba2_2.7b,agnostic_protect,0.05,1000.0,400,59776,38621.231,78205.574,37.9053,37.9053,628.8,1.0,628.8
zamba2_2.7b,layer_aware_protect,0.05,1000.0,400,59776,14954.612,30135.224,43.5033,43.5033,1266.6,1.0,1266.6
