model,policy,lambda_req_ms,slo_ms,n_req,tokens,ttft_p50,ttft_p99,itl_p50,itl_p99,throughput_tok_s,slo_attain,goodput_tok_s
zamba2_1.2b,fused,0.05,1000.0,400,59776,16002.417,39093.709,111.1954,111.1954,1047.0,1.0,1047.0
zamba2_1.2b,co_schedule,0.05,1000.0,400,59776,13794.593,30077.394,46.0196,46.0196,1300.9,1.0,1300.9
zamba2_1.2b,agnostic_protect,0.05,1000.0,400,59776,14551.615,29502.413,25.864,25.864,1374.5,1.0,1374.5
zamba2_1.2b,layer_aware_protect,0.05,1000.0,400,59776,8663.803,17769.209,29.6336,29.6336,1885.1,1.0,1885.1
